Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0627 (1182761.3)	1977_2, 3226_1, 3227_2	 	 	 	122, 1448, 2329, 3318, 78	4350	616_11	1141_15, 1815_15, 390_16	151	3432_18	3292	2100	3062, 4331	1583_26, 1584_25, 1585_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 13-1 (696866.4)	1401_2, 3079_1, 3080_2	 	 	 	3188, 3732, 3776, 3965, 750	1928	29_11	1698_15, 4488_16, 532_15	3806	636_18	776	2533	1947, 2225	2985_26, 2986_25, 2987_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 17927 (984212.3)	2116_2, 2117_1, 914_2	 	 	1414_8, 2756_8	152, 2300, 3285, 3370, 515	3240	1383_11	1517_15, 2626_15, 2761_16	3332	3484_18	3344	1788	1036, 3222	38_24, 39_25, 40_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 18569 (696867.3)	3168_1, 3169_2, 4794_2, 525_2	 	 	 	1551, 2034, 2099, 470	1508	3246_11	2882_15, 3318_15, 819_16	1521	2212_18	2073	1754	1489, 4068	637_26, 638_25, 639_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 20037 (696864.3)	1677_2, 53_1, 54_2	 	 	 	1031, 2112, 299, 3263, 4604	84	4071_11	1061_15, 1832_15, 851_16	4572	1342_18	3289	1457	2364, 331	2768_26, 2769_25, 2770_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237 (1179780.3)	3224_1, 3225_2, 3828_2	 	 	 	2284, 3316, 3556, 663, 706	4173	62_11	1664_15, 1953_15, 4023_16	738	3426_18	3290	4267	1003, 4192	2147_24, 2148_25, 2149_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0669 (1182757.3)	2664_2, 3692_2, 3693_1	 	 	 	3822, 3970, 525, 803, 847	4511	1383_11	1117_16, 2002_15, 2857_15	876	3936_18	3796	2542	3565, 4529	662_26, 663_25, 664_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-2599 (1182758.3)	2637_2, 3659_1, 3660_2	 	 	 	1059, 1103, 3751, 3898, 403	4451	1254_11	1979_15, 3059_15, 790_16	1030	3864_18	3725	2517	3494, 4469	541_26, 542_25, 543_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 22510-1 (926037.3)	2997_2, 3467_1, 3468_2	 	 	 	1225, 2627, 2671, 4030, 4124	2923	3325_11	2361_16, 3757_15, 4583_15	2597	4238_18	4098	300	2905, 509	1362_26, 1363_25, 1364_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 (910413.3)	1994_2, 618_1, 619_2	 	 	 	1790, 2319, 2363, 3915, 4132	198	3287_11	2628_16, 4603_15, 893_15	2392	1906_18	1764	371	216, 62	3414_24, 3415_25, 3416_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 50-3079 (1090945.3)	2883_2, 508_1, 509_2	 	 	 	1780, 2539, 2583, 3423, 4314	2837	133_11	1097_15, 1630_15, 2274_16	2510	3309_18	3449	1983	2819, 312	4174_24, 4175_25, 4176_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 53-407 (1116477.3)	3896_2, 3897_1, 4038_2	 	 	 	1679, 2166, 2211, 2808, 517	207	64_11	1481_16, 3164_15, 4527_15	2137	632_18	491	1995	225, 3328	3460_24, 3461_25, 3462_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 22-17 (984215.3)	1743_2, 2712_1, 2713_2	 	 	 	1860, 1952, 2082, 275, 744	2748	3452_11	2479_15, 4489_15, 933_16	3977	2195_18	2056	581	1004, 2766	3054_26, 3055_25, 3056_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 40-18 (984216.3)	3751_2, 3752_1, 4110_2	 	 	 	2800, 4033, 4186, 436, 4656	2756	3967_11	1494_15, 2127_16, 2503_15	690	552_18	410	355	2738, 2989	3151_24, 3152_25, 3153_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 42-20 (984233.3)	1765_2, 4217_2, 4218_1	 	 	 	1994, 3274, 4611, 712, 867, 912	3948	2875_11	1635_15, 2288_16, 591_15	1500	403_18	1968	4352	1369, 3930	3401_24, 3402_25, 3403_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 1-1 (984217.3)	1587_2, 2765_1, 2766_2	 	 	 	1838, 27, 3593, 3638, 3950	189	4307_11	2535_15, 3099_15, 931_16	3564	86_18	1	1465	207, 3377	4128_26, 4129_25, 4130_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 9-7 (984232.3)	1206_2, 4599_1, 4600_2	 	 	 	1918, 1974, 2161, 4278, 814	4162	4622_11	1576_15, 3372_16, 4367_15	3203	2276_18	2135	2116	1305, 4180	763_26, 764_25, 765_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 576709 (887063.3)	149_2, 4718_1, 4719_2	 	 	 	1782, 3388, 3433, 4139, 515	58	1341_11	2298_16, 4488_15, 874_15	3359	1896_18	1756	2020	3224, 40	622_26, 623_25, 624_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 58-6482 (1116476.3)	184_2, 815_1, 816_2	 	 	1297_8	1951, 2322, 3750, 3794, 497	3341	4114_11	1302_16, 1600_15, 2649_15	3825	1839_18	1977	418	3323, 3462	4204_26, 4205_25, 4206_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22 (910414.3)	1048_2, 1049_1, 2972_2	 	 	 	208, 3027, 3991, 4584, 4628	3158	2324_11	1281_15, 1754_16, 3663_15	4657	321_18	182	912	3176, 734	2607_24, 2608_25, 2609_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70 (910415.3)	1650_1, 1651_2, 570_2	 	 	 	1844, 1997, 2594, 2638, 3550	2847	4308_11	1418_15, 2329_16, 795_15	2565	1730_18	1870	277	2865, 3396	4172_26, 4173_25, 4174_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2 (887070.3)	124_2, 4255_2, 4256_1	 	 	 	3461, 3588, 3632, 3943, 4049	13	3302_11	2287_16, 4487_15, 870_15	3559	3347_18	3487	294	31, 560	1753_24, 1754_25, 1755_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6 (891413.3)	1172_2, 4242_2, 4243_1	 	 	 	1744, 2350, 2394, 3847, 4046	2897	58_11	2050_15, 2659_16, 4474_15	2423	1860_18	1718	1050	2915, 498	3378_26, 3379_25, 3380_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-16 (887068.3)	22_2, 23_1, 3782_2	 	 	 	2747, 3140, 4628, 4695, 761	1890	734_11	1617_16, 3460_15, 3986_15	2776	875_18	735	1168	1908, 2955	3351_26, 3352_25, 3353_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-19 (887069.3)	1803_1, 1804_2, 687_2	 	 	 	2416, 2460, 3343, 4364, 593	115	2944_11	1571_15, 2726_16, 3158_15	2489	477_18	619	307	133, 62	4222_24, 4223_25, 4224_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-9 (891412.3)	2751_1, 2752_2, 2836_2	 	 	 	1832, 291, 3644, 3689, 4124	3356	535_11	1017_15, 2033_16, 2519_15	3615	1718_18	1858	719	3338, 4089	3484_24, 3485_25, 3486_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 62-1976 (1079476.3)	1869_1, 1870_2, 549_2	 	 	 	2337, 2914, 321, 3925, 788	304	3242_11	1602_16, 2663_15, 3138_15	2943	902_18	762	684	286, 3460	4152_26, 4153_25, 4154_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39 (887064.3)	4738_1, 4739_2, 975_2	 	 	 	2134, 2729, 2773, 3460, 4059	116	3017_11	1909_16, 4507_15, 837_15	2802	3574_18	3434	1096	494, 98	1691_24, 1692_25, 1693_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 629163 (891414.3)	2713_1, 2714_2, 300_2	 	 	 	1810, 3849, 3908, 4704, 477	2835	60_11	2482_15, 3057_15, 4438_16	4675	1924_18	1784	3388	173, 2817	4171_26, 4172_25, 4173_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26 (910416.3)	4571_1, 4572_2, 516_2	 	 	 	1773, 2107, 2152, 2747, 3211	31	3753_11	1016_16, 4339_15, 681_15	2077	3325_18	3185	195	1541, 49	381_24, 382_25, 383_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 (910417.3)	145_2, 829_1, 830_2	 	 	 	3467, 3691, 3735, 4146, 4656	264	3228_11	1303_16, 2619_15, 319_15	3764	3353_18	3493	614	246, 540	1959_24, 1960_25, 1961_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58 (887067.3)	2693_2, 987_1, 988_2	 	 	 	1783, 2987, 3031, 3309, 3993	590	1974_11	1341_15, 2529_15, 750_16	2958	1897_18	1757	1068	516, 608	3205_26, 3206_25, 3207_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15 (938147.3)	4397_1, 4398_2, 665_2	 	 	 	1413, 1453, 1497, 2077, 3841	395	774_11	157_15, 2841_16, 4165_15	3552	2191_18	2051	3441	3070, 413	2310_26, 2311_25, 2312_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6 (887065.3)	214_1, 215_2, 385_2	 	 	 	1487, 1919, 3381, 4170, 877	58	518_11	1056_15, 2633_15, 3756_16	4199	2033_18	1893	643	3292, 40	4010_26, 4011_25, 4012_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46 (910418.3)	2919_2, 4310_2, 4311_1	 	 	 	1330, 1847, 2327, 2371, 473	2826	3307_11	2636_16, 3144_15, 4542_15	2400	588_18	447	304	2845, 60	3394_24, 3395_25, 3396_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 (910419.3)	1169_2, 2783_1, 2784_2	 	 	 	284, 328, 3511, 4223, 4325	195	3311_11	2277_15, 2553_15, 3701_16	254	3395_18	3537	1047	213, 587	1976_24, 1977_25, 1978_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 640631 (887066.3)	3967_2, 4685_1, 4686_2	 	 	 	2161, 2759, 2803, 346, 4129	488	2999_11	1212_16, 3127_15, 4452_15	2832	460_18	320	1896	248, 506	2019_24, 2020_25, 2021_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 4-1 (984218.3)	2794_2, 3462_2, 3463_1	 	 	 	1923, 2129, 2174, 2690, 3413	58	4653_11	1163_15, 3696_15, 679_16	2203	3299_18	3439	369	1442, 40	774_24, 775_25, 776_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 8-1 (984231.3)	3189_1, 3190_2, 457_2	 	 	 	1434, 241, 3743, 3968, 74, 984	3613	421_11	2454_15, 3578_15, 4176_16	720	4735_18	1010	2822	1079, 3631	3006_24, 3007_25, 3008_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 642046 4-7 (984219.3)	1094_2, 3219_2, 3220_2, 3221_1	 	 	 	1829, 1935, 2811, 495, 615	2652	3629_11	1486_15, 149_16, 2137_15	4629	380_18	521	68	2233, 2634	784_26, 785_25, 786_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648898 4-5 (984220.3)	1233_1, 1234_2, 3238_2	 	1	1	1787, 1944, 341, 603, 722	647	1992_11	2668_15, 4540_15, 894_16	310	489_18	629	2953	2277, 665	3479_26, 3480_25, 3481_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648899 3-17 (984221.3)	3355_2, 3356_1, 4618_2	 	 	 	1364, 1468, 254, 299, 988	312	2718_11	2556_15, 3842_16, 3886_15	3963	1250_18	1390	2245	330, 654	3319_26, 3320_25, 3321_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648900 1-16 (984222.3)	4261_2, 4690_1, 4691_2	 	 	 	1664, 3437, 3896, 4203, 88	3338	2094_11	3186_16, 3726_15, 4458_15	59	3553_18	3411	930	2620, 3320	1872_26, 1873_25, 1874_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 1-17 (984223.3)	2862_2, 4762_1, 4763_2	 	 	 	1964, 2614, 3307, 4022, 739	332	591_11	1542_15, 3527_16, 4471_15	1934	3422_18	3281	1787	314, 406	4225_26, 4226_25, 4227_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 16-16 (984234.3)	3570_2, 3571_1, 4662_2	 	 	 	2836, 2942, 386, 56, 562	2155	3087_11	1120_15, 1933_16, 2391_15	532	1772_18	412	4108	3479, 3810	4174_24, 4175_25, 4176_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18 (984230.3)	1830_2, 3827_2, 3828_1	 	 	 	1187, 2606, 282, 326, 3412	141	1659_11	2281_15, 4648_16, 829_15	355	3298_18	3438	2821	123, 517	1047_24, 1048_25, 1049_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 648902 6-8 (984225.3)	160_2, 2365_2, 2366_1	 	 	 	1940, 3196, 3241, 3242, 4021, 4100	58	1496_11	1392_16, 2598_15, 3721_15	3164	2054_18	1914	597	40, 4386	3553_26, 3554_25, 3555_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648903 1-6 (984226.3)	2690_1, 2691_2, 2787_2	 	 	 	2998, 3, 324, 4047, 686	4197	4662_11	2457_15, 3653_15, 503_16	35	800_18	660	854	2059, 4179	3405_24, 3406_25, 3407_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 648904 3-6 (984227.3)	1032_2, 1033_1, 781_2	 	 	 	1511, 2201, 2202, 3144, 4357, 936	1742	2351_11	2890_15, 4424_16, 4447_15	4100	1290_18	910	2959	1613, 1724	2152_26, 2153_25, 2154_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18 (984228.3)	4195_1, 4196_2, 576_2	 	 	 	1211, 1829, 2026, 2070, 2711	2824	65_11	1623_16, 2387_15, 4465_15	1997	3315_18	1803	697	2806, 3286	1349_26, 1350_25, 1351_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 653049 13-19 (984229.3)	4017_2, 4685_1, 4686_2	 	 	 	1627, 3393, 494, 636, 683	58	3891_11	1017_16, 2554_15, 4451_15	2153	379_18	520	2298	40, 4053	1768_26, 1769_25, 1770_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-0424 (891411.3)	1212_2, 4611_1, 4612_2	 	 	 	1644, 1688, 3808, 4168, 850	3252	2276_11	2056_15, 3618_16, 4380_15	1718	3923_18	3782	1334	1853, 3234	319_26, 320_25, 321_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427 (926034.3)	3100_2, 681_2, 682_1	 	 	 	1692, 1951, 2552, 2596, 392	13	1297_11	2860_16, 3833_15, 4413_15	2625	279_18	418	844	31, 3508	596_26, 597_25, 598_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-2659 (926035.3)	2798_1, 2799_2, 320_2	 	 	 	1013, 1447, 1876, 4051, 969	2833	258_11	2567_15, 3719_16, 665_15	1043	1990_18	1850	3494	15, 2851	4150_24, 4151_25, 4152_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757 (926036.3)	1658_1, 1659_2, 4099_2	 	 	 	185, 1925, 2520, 2564, 3656	3339	4657_11	1305_15, 2828_16, 3932_15	2593	299_18	159	385	3357, 671	1786_24, 1787_25, 1788_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625 (1079475.3)	1009_1, 1010_2, 148_2	 	 	 	2019, 421, 4467, 4692, 831	3163	2123_11	1614_15, 3955_16, 4011_15	291	536_18	395	2254	1148, 3145	2747_26, 2748_25, 2749_24
Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1 (930769.3)	2714_1, 2715_2, 2902_2	 	 	 	2118, 3264, 3708, 4103, 927	241	1616_11	1096_15, 2445_15, 4370_16	4132	3378_18	3238	1886	222, 517	3768_24, 3769_25, 3770_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895 (885384.3)	2773_1, 2774_2, 691_2	 	 	 	2217, 3296, 3472, 4283, 4327	110	1640_11	1996_15, 2542_15, 4593_16	4356	3410_18	3270	813	325, 92	1794_26, 1795_25, 1796_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899 (885385.3)	1719_1, 1720_2, 3937_2	 	 	 	244, 2657, 2701, 427, 4559	2907	1201_11	2392_16, 3209_15, 3776_15	2628	359_18	218	576	1811, 2925	4697_26, 4698_25, 4699_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0956 (886723.3)	1158_1, 1159_2, 62_2	 	 	 	2019, 2189, 2884, 2928, 530	1238	4278_11	2733_15, 3380_16, 856_15	2855	1905_18	2045	356	1220, 3583	2326_26, 2327_25, 2328_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968 (886715.3)	3957_2, 4737_1, 4738_2	 	 	 	1603, 2397, 2442, 3034, 511	3173	198_11	2131_16, 3819_15, 4504_15	2368	1718_18	1577	676	3096, 3191	289_26, 290_25, 291_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010 (885382.3)	2171_2, 2172_1, 976_2	 	 	 	2730, 367, 3967, 4011, 4607	3899	3409_11	1570_16, 2404_15, 639_15	1807	254_18	393	855	121, 3917	3282_26, 3283_25, 3284_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018 (885381.3)	3273_2, 4182_2, 4183_1	 	 	 	2291, 2335, 2930, 3550, 492	531	3175_11	2026_16, 4413_15, 692_15	2262	378_18	518	3395	234, 549	3067_26, 3068_25, 3069_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441 (882878.3)	2503_2, 700_1, 701_2	 	 	 	1245, 2138, 2654, 3298, 4319	58	2038_11	2981_15, 3563_16, 3901_15	3328	2252_18	2112	2380	40, 460	4179_24, 4180_25, 4181_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1444 (886716.3)	1813_2, 4746_1, 4747_2	 	 	 	1717, 2140, 2184, 3536, 499	3014	1536_11	2451_16, 3173_15, 4515_15	2213	385_18	525	225	3032, 63	3417_26, 3418_25, 3419_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1445 (886717.3)	1803_2, 1804_1, 3082_2	 	 	 	2443, 2487, 3468, 4008, 4117	2991	1_11	1279_15, 2177_16, 930_15	2414	3582_18	3442	558	3009, 3415	1648_24, 1649_25, 1650_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1455 (886724.3)	2179_2, 2180_1, 3811_2	 	 	 	2740, 3537, 4101, 839, 882	3402	246_11	1183_15, 2413_15, 4036_16	2859	4215_18	4075	3689	469, 545	1700_24, 1701_25, 1702_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1457 (885386.3)	210_2, 211_1, 798_2	 	 	 	1787, 2383, 2430, 3549, 4600	3242	479_11	2694_16, 3413_15, 4278_15	2459	3663_18	3523	920	1634, 3224	414_26, 415_25, 416_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543 (882877.3)	4068_2, 4671_1, 4672_2	 	 	 	162, 2360, 2404, 2996, 321	494	3229_11	2097_16, 4438_15, 839_15	2331	276_18	136	566	1572, 476	3132_26, 3133_25, 3134_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558 (885380.3)	3327_2, 4743_1, 4744_2	 	 	 	1899, 2497, 2541, 416, 4186	558	3027_11	2805_16, 4511_15, 720_15	2570	531_18	390	3205	134, 576	291_26, 292_25, 293_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1559 (886718.3)	1398_2, 1399_1, 34_2	 	 	 	1691, 2370, 2415, 3843, 4031	609	1927_11	1271_15, 1629_15, 1998_16	2444	1804_18	1665	242	4186, 591	692_24, 693_25, 694_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1565 (886719.3)	1189_2, 2591_1, 2592_2	 	 	 	1816, 3899, 3995, 757, 827	4145	1907_11	2359_15, 2940_16, 3571_15	1787	941_18	4111	1015	1892, 4164	3349_26, 3350_25, 3351_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566 (882875.3)	265_1, 266_2, 2930_2	 	 	 	1953, 1997, 2589, 3334, 506	99	1488_11	3659_15, 4244_16, 918_15	1924	392_18	532	754	2806, 81	2726_26, 2727_25, 2728_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1575 (886725.3)	1995_2, 1996_1, 740_2	 	 	 	2555, 310, 3650, 4559, 4603	271	3003_11	2228_15, 2899_15, 4296_16	4530	422_18	284	832	1739, 253	1827_24, 1828_25, 1829_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580 (882876.3)	3939_2, 4047_2, 4048_1	 	 	 	155, 2181, 2225, 2821, 4606	428	1395_11	1916_16, 3237_15, 4280_15	2152	269_18	129	1679	3119, 446	2959_26, 2960_25, 2961_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594 (882874.3)	1439_2, 1440_1, 415_2	 	 	 	129, 1995, 2390, 3561, 3605	1132	2830_11	1313_15, 1670_15, 3294_16	3532	15_18	155	292	1114, 4256	2526_26, 2527_25, 2528_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1725 (886726.3)	3655_2, 4092_2, 4093_1	 	 	 	1758, 183, 2352, 2397, 4651	3948	3234_11	2662_16, 4324_15, 902_15	2426	297_18	157	3777	1672, 3930	448_26, 449_25, 450_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729 (885383.3)	4735_1, 4736_2, 620_2	 	 	 	1545, 1774, 2370, 2414, 4180	3538	1271_11	2679_16, 3706_15, 4503_15	2443	1430_18	1571	742	1348, 3520	1634_24, 1635_25, 1636_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1745 (886727.3)	1939_2, 2092_2, 2093_1	 	 	 	1730, 2648, 4498, 4543, 630	2778	223_11	2324_15, 3047_15, 4231_16	4469	516_18	656	3951	2796, 397	3283_24, 3284_25, 3285_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1747 (885387.3)	4050_2, 4737_1, 4738_2	 	 	 	2018, 2614, 2658, 3672, 398	3203	106_11	2924_16, 3364_15, 4504_15	2687	512_18	372	1705	210, 3221	1880_24, 1881_25, 1882_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1791 (886728.3)	3157_2, 458_2, 459_1	 	 	 	1695, 1942, 2539, 2583, 4213	3038	4306_11	1028_15, 1436_15, 2847_16	2612	1580_18	1721	1843	3056, 320	3604_26, 3605_25, 3606_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1795 (886720.3)	110_2, 2606_1, 2607_2	 	 	 	3494, 3538, 3754, 3953, 4507	185	1_11	1101_16, 2375_15, 285_15	3465	4067_18	3927	501	203, 3278	4643_26, 4644_25, 4645_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1808 (886721.3)	1208_2, 3298_2, 3299_1	 	 	 	2461, 2506, 3764, 4008, 4657	639	3919_11	1751_15, 3103_15, 542_16	2535	4122_18	3982	1328	621, 718	1938_26, 1939_25, 1940_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810 (882879.3)	2199_2, 805_2, 806_1	 	 	 	3450, 3679, 3723, 4093, 4666	2881	65_11	1373_16, 2563_15, 409_15	3650	3564_18	3424	2321	2899, 3364	2043_26, 2044_25, 2045_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1811 (886722.3)	3475_2, 3476_1, 952_2	 	 	 	2332, 4035, 4510, 4554, 776	13	572_11	2096_16, 3021_15, 3708_15	4481	4149_18	4009	393	31, 687	3855_26, 3856_25, 3857_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882 (882872.3)	1109_2, 1110_1, 4014_2	 	 	 	2142, 2186, 3454, 371, 4564	2964	3888_11	1342_15, 2450_16, 3180_15	2215	485_18	345	1888	196, 2982	4701_26, 4702_25, 4703_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884 (882873.3)	3777_2, 4221_2, 4222_1	 	 	 	115, 1526, 2361, 2406, 3004	4116	977_11	2095_16, 3364_15, 4453_15	2332	1641_18	1500	3899	4073, 4134	3142_26, 3143_25, 3144_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS4 (984213.3)	185_2, 2626_1, 2627_2	 	 	 	1577, 2793, 3009, 330	257	4226_11	1449_15, 2392_15, 3363_16	2979	1690_18	1551	829	275, 3960	470_26, 471_25, 472_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44 (702979.3)	3030_2, 3228_1, 3229_2	 	2028	2028	1067, 187, 2866, 691	2699	1975_11	2518_15, 3823_16, 4319_15	2836	1180_18	1724	1622	1813, 2681	3667_24, 3668_25, 3669_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_56-3991 (925128.3)	172_2, 3361_1, 3362_2	 	 	 	1738, 2572, 4148, 4462, 4506	3162	1134_11	1404_15, 2744_16, 3021_15	4535	1852_18	1712	377	1906, 3180	4202_26, 4203_25, 4204_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_69-4941 (930768.3)	3505_2, 3506_1, 735_2	 	 	 	1839, 1883, 3802, 4031, 4395	58	1910_11	2412_15, 3073_16, 3739_15	1810	2010_18	3776	615	40, 515	4169_26, 4170_25, 4171_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_76-3618 (925129.3)	1326_2, 547_1, 548_2	 	 	 	1107, 2000, 408, 867, 868, 959	591	4682_11	1503_15, 2482_15, 3417_16	835	993_18	1133	1205	171, 610	2634_26, 2635_25, 2636_24
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_81-2490 (925131.3)	1839_2, 1840_1, 2952_2	 	 	 	2379, 363, 3919, 407, 4217	2905	60_11	3740_15, 4571_15, 978_16	436	4103_18	4243	562	2887, 3399	2241_24, 2242_25, 2243_26
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_N202 (925127.3)	180_2, 2406_2, 2407_1	 	 	 	2261, 303, 348, 3647, 4051	58	4653_11	1174_15, 2640_15, 702_16	377	3938_18	4077	1947	40, 4225	949_26, 950_25, 951_24
Salmonella enterica subsp. enterica serovar Enteritidis str. LA5 (1147754.3)	1117_2, 1332_1, 1333_2	 	 	 	1421, 2363, 3948, 4513	3414	506_11	2796_15, 3624_15, 643_16	4542	2249_18	2389	192	313, 3432	2048_26, 2049_25, 2050_24
Salmonella enterica subsp. enterica serovar Enteritidis str. PT23 (696868.4)	2268_2, 725_1, 726_2	 	 	 	1750, 1796, 258, 4020, 4364	2026	2565_11	1384_15, 3716_16, 398_15	3221	4251_18	4390	4716	2008, 2504	4533_26, 4534_25, 4535_24
