Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Yersinia frederiksenii ATCC 33641 (349966.5)	 	4157	 	4158_4, 4159_11	4160_5	4156	1432_15	4161_16	1604_18	 	 	 	 	 	 	 	75_40, 76_39, 77_38	 	 
Yersinia kristensenii ATCC 33638 (527012.3)	 	4451	 	3468_11, 4452_4, 4453_13	4454_5	4450	4567_21	4455_16	2633_18	 	 	 	 	 	 	 	3759_40, 3760_39, 3761_38	 	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	 	3663	 	3661_11, 3662_4	3660_5	3664	83_15	3659_16	3095_18	 	 	 	 	 	 	 	689_40, 690_39, 691_38	 	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	 	1758	 	1756_11, 1757_4	1755_5	1759	2776_21	1754_16	2167_18	 	 	 	 	 	 	 	2022_40, 2023_39, 2024_38	 	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	 	1244	 	1245_4, 1246_11, 1491_11	1247_5	1243	211_21	1248_16	2467_18	 	 	 	 	 	 	 	2249_40, 2250_39, 2251_38	 	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	 	4395	 	4393_11, 4394_4	4392_5	4396	3584_15	4391_16	1515_18	 	 	 	 	 	 	 	3915_38, 3918_38, 3919_39, 3920_40	 	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	 	454	 	2325_11, 455_4, 456_11	457_5	453	1216_15	458_16	3434_18	 	 	 	 	 	 	 	879_40, 880_39, 881_38	 	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	 	319	 	2081_11, 320_4, 321_11, 4347_11	322_5	318	1067_15	323_16	3189_18	 	 	 	 	 	 	 	728_40, 729_39, 730_38	 	 
Yersinia pseudotuberculosis YPIII (502800.6)	 	359	 	361_11	362_5	358	3506_15	363_16	1404_18	 	 	 	 	 	 	 	3833_38, 3834_39, 3835_40	 	 
Yersinia rohdei ATCC 43380 (527004.3)	 	3589	 	1704_11, 3590_4, 3591_11	3592_5	3588	 	3593_16	3260_18	 	 	 	 	 	 	 	3197_40, 3198_39, 3199_38	 	 
Yokenella regensburgei ATCC 43003 (1002368.3)	 	16	 	17_4, 18_13	19_5	15	2106_20	20_16	3976_18	 	 	 	 	 	 	 	541_40, 542_39, 543_38	 	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	 	4253	 	4251_11, 4252_4	4250_5	4254	1295_20	4249_16	1191_18	 	 	 	 	 	 	 	1680_38, 1681_39, 1682_40	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	 	562, 563	 	559_11, 560_11, 561_4	569_5	564	1122_15	 	568_18	 	556_25, 557_25, 558_24, 566_23	 	 	 	 	 	1377_40, 1378_39, 178_38	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	 	826, 827	 	824_11, 825_4	834_5	828	1112_21	 	833_18	 	821_25, 822_25, 823_24, 830_23, 831_23	 	 	 	 	 	1995_39, 1996_40, 735_38	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	 	559, 560, 561	 	558_11	566_5	562	1132_20	 	565_18	 	555_25, 556_25, 557_25, 564_23	 	 	 	 	 	1392_40, 1393_39, 206_38	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	 	600	 	599_11	606_5	601	1206_20	 	605_18	 	595_25, 596_25, 597_25, 598_24, 603_23	 	 	 	 	 	1459_40, 1460_39, 199_38	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	 	553	 	551_11, 552_4	558_5	554	1120_21	 	557_18	 	548_25, 549_25, 550_24, 556_23	 	 	 	 	 	1371_40, 1372_39, 1373_39, 208_38	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	 	589, 590	 	586_11, 587_11, 588_4	597_5	591	1155_21	 	596_18	 	583_25, 584_25, 585_24, 593_23, 594_23	 	 	 	 	 	1397_40, 1398_39, 193_38	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	 	595	 	594_11	601_5	596	1197_20	 	600_18	 	590_25, 591_25, 592_25, 593_24, 598_23	 	 	 	 	 	1451_40, 1452_39, 198_38	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	 	502, 503	 	499_11, 500_11, 501_4	508_5, 509_5	504	1742_21	 	507_18	 	496_25, 497_25, 498_24, 506_23	 	 	 	 	 	1447_40, 1448_39, 329_38	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	 	527, 528	 	525_11, 526_4	534_5, 535_5	529	1087_21	 	533_18	 	524_25, 531_23	 	 	 	 	 	1326_40, 1327_39, 177_38	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	 	537, 538	 	534_11, 535_11, 536_4	543_5	539	1102_20	 	542_18	 	531_25, 532_25, 533_24, 541_23	 	 	 	 	 	1346_40, 1347_39, 196_38	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	 	611, 612	 	609_11, 610_4	619_5	613	1224_20	 	618_18	 	606_25, 607_25, 608_25, 615_23, 616_23	 	 	 	 	 	1467_40, 1468_39, 228_38	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	 	591, 592	 	588_11, 589_11, 590_4	599_5	593	1156_21	 	598_18	 	585_25, 586_25, 587_24, 595_23, 596_23	 	 	 	 	 	1402_40, 1403_39, 179_38	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	 	591	 	590_11	597_5	592	1200_20	 	596_18	 	586_25, 587_25, 588_25, 589_24, 594_23	 	 	 	 	 	1455_40, 1456_39, 1457_39, 200_38	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	 	 	 	 	1595_5	 	327_20	 	34_18	 	 	 	 	 	 	 	35_38, 36_39, 37_40	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	 	 	 	 	1666_5	 	805_15	 	501_18	 	 	 	 	 	 	 	502_38, 503_39, 504_40	 	 
Haemophilus haemolyticus HK386 (1095742.3)	 	 	 	 	1713_5	 	494_20	 	1712_18	 	1707_25, 1708_24, 1709_23	 	 	 	1012	 	1572_38, 1573_39, 1574_40	 	 
Haemophilus haemolyticus M21621 (1028805.3)	 	 	 	 	239_5	 	1051_20	 	240_18	 	243_23, 244_24, 245_25	 	 	 	705	 	1925_38, 1926_39, 1927_40	 	 
Haemophilus haemolyticus M21639 (1028806.3)	 	 	 	 	206_5	 	1538_20	 	205_18	 	198_25, 199_24, 200_23, 201_23, 202_23	 	 	 	359	 	1055_38, 1056_39, 1057_40	 	 
Haemophilus influenzae 10810 (862964.3)	 	 	 	 	545_5	 	1702_20	 	544_18	 	482_25, 483_24, 484_23	 	 	 	410, 546	 	1233_38, 1234_39, 1235_40	 	 
Haemophilus influenzae 6P18H1 (521004.3)	 	 	 	 	576_5	 	237_21	 	577_18	 	713_23, 714_24, 715_25	 	 	 	575	 	83_40, 84_39, 85_38	 	 
Haemophilus influenzae 7P49H1 (521005.3)	 	 	 	 	750_5	 	951_21	 	749_18	 	687_25, 688_24, 689_23	 	 	 	751	 	306_38, 307_39, 308_39, 309_40	 	 
Haemophilus influenzae 86-028NP (281310.6)	 	 	 	 	499_5	 	1568_21	 	498_18	 	435_25, 436_24, 437_23	 	 	 	500	 	1099_38, 1100_39, 1101_40	 	 
Haemophilus influenzae F3031 (866630.3)	 	 	 	 	1867_5	 	734_20	 	1868_18	 	295_25, 296_24, 297_23	 	 	 	1866, 220	 	1217_40, 1218_39, 1219_38	 	 
Haemophilus influenzae F3047 (935897.3)	 	 	 	 	788_5	 	1515_20	 	789_18	 	921_23, 922_24, 923_25	 	 	 	787, 997	 	118_40, 119_39, 120_38	 	 
Haemophilus influenzae NT127 (656913.3)	 	 	 	 	767_5	 	1507_21	 	768_18	 	1002_23, 1003_24, 1004_25	 	 	 	766	 	354_40, 355_39, 356_38	 	 
Haemophilus influenzae PittAA (374928.4)	 	 	 	 	553_5	 	956_21	 	554_18	 	615_23, 616_24, 617_25	 	 	 	552	 	161_38, 162_39, 163_40	 	 
Haemophilus influenzae PittHH (374932.4)	 	 	 	 	264_5	 	99_21	 	265_18	 	326_23, 327_24, 328_25	 	 	 	262, 263	 	478_40, 479_39, 480_38	 	 
Haemophilus influenzae PittII (374933.4)	 	 	 	 	597_5	 	874_21	 	598_18	 	661_23, 662_24, 663_25	 	 	 	596	 	77_40, 78_39, 79_38	 	 
Haemophilus influenzae R2846 (262727.7)	 	 	 	 	165_5	 	906_21	 	166_18	 	227_23, 228_24, 229_25	 	 	 	164	 	1327_40, 1328_39, 1329_38	 	 
Haemophilus influenzae R2866 (262728.5)	 	 	 	 	1696_5	 	933_21	 	1695_18	 	1631_25, 1632_24, 1633_23	 	 	 	1697	 	498_38, 499_39, 500_40	 	 
Haemophilus influenzae Rd KW20 (71421.8)	 	 	 	 	437_5	 	1497_20, 1498_20	 	436_18	 	373_25, 374_24, 375_23	 	 	 	438	 	1063_38, 1064_39, 1065_40	 	 
Haemophilus influenzae RdAW (656912.3)	 	 	 	 	716_5	 	931_21	 	717_18	 	778_23, 779_24, 780_25	 	 	 	715	 	301_38, 302_39, 303_40	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	 	 	 	 	1132_5	 	755_20	 	1133_18	 	1136_23, 1137_24, 1138_25	 	600	 	1131, 238	 	352_38, 353_39, 354_40	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	 	 	 	 	1983_5	 	383_20	 	1982_18	 	1977_25, 1978_24, 1979_23	 	522	 	1839, 1984, 1985	 	789_40, 790_39, 791_38	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	 	 	 	 	335_5	 	402_20	 	334_18	 	329_25, 330_24, 331_23	 	1843	 	336, 337, 675	 	1089_40, 1090_39, 1091_38	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	 	 	 	 	1143_5	 	1670_15	 	1144_18	 	1147_23, 1148_24, 1149_25	 	1520	 	1142	 	1952_40, 1953_39, 1954_38	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	 	 	 	 	28_5	 	1432_20	 	27_18	 	1856_25, 1857_24, 1859_23	 	 	 	1726, 414	 	1442_38, 667_40, 668_39	 	 
Haemophilus sputorum HK 2154 (1078483.3)	 	 	 	 	1385_5	 	1011_20	 	1386_18	 	1274_23, 1276_24, 1277_25	 	 	 	1650, 793	 	1001_38, 1743_39, 1744_40	 	 
Acinetobacter baumannii AB0057 (480119.5)	931	2534	 	2533_4	2794_5	 	 	338_16	853_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	2620	1126	 	1127_4	950_5	 	 	3168_16	2697_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	2419	2147	 	1399_11, 2146_4	451_5	 	 	1361_16	551_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	953	2518	 	2517_4	2718_5	 	 	373_16	876_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	1372	499	 	500_4	2005_5	 	 	1939_16	1296_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	2802	1245	 	1246_4	1053_5	 	 	3374_16	2880_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	2394	1226	 	1227_4	1045_5	 	 	3100_16	2503_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 1656-2 (696749.3)	897	1240	 	1241_4	2824_5	 	 	304_16	820_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	162	1427	 	1426_4	1938_5	 	 	2978_16	2918_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	219	625	 	624_4	471_5	 	 	3060_16	2315_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	878	2364	 	2363_4	2675_5	 	 	292_16	804_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	2601	3247	 	3246_4	3427_5	 	 	837_16	730_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB1H8 (1222031.3)	999	1863	 	1864_4	497_5	 	 	2179_16	2305_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB210 (886886.3)	1059	1741	 	1740_4	104_5	 	 	2810_16	454_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	1663	545	 	546_4	174_5	 	 	1220_16	888_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB4A3 (1222032.3)	2746	1827	 	1826_4	94_5	 	 	1613_16	3503_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB5256 (1116235.3)	1597	3260	 	3259_4	3445_5	 	 	1307_16	1518_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB5711 (1116236.3)	1121	2381	 	2382_4	2058_5	 	 	1451_16	1200_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	887	2452	 	2451_4	2685_5	 	 	289_16	808_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	3298	562	 	561_4	1740_5	 	 	2344_16	2032_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	2535	2950	 	2951_4	1736_5	 	 	133_16	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	2812	319	 	318_4	57_5	 	 	1319_16	2948_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	2699	1030	 	1029_4	104_5	 	 	1163_16	2288_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	2211	759	 	758_4	433_5	 	 	1718_16	2699_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	2303	74	 	75_4	779_5	 	 	 	3109_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	3201	1470	 	1469_4	580_5	 	 	1819_16	875_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	2684	1190	 	1191_4	103_5	 	 	1107_16	2858_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	2559	787	 	788_4	25_5	 	 	888_16	2727_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	1421	723	 	722_4	3503_5	 	 	 	1498_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	2025	2959	 	2960_4	2695_5	 	 	516_16	2102_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	636	2749	 	2748_4	1224_5	 	 	3274_16	560_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	2219	1621	 	1620_4	1040_5	 	 	3308_16	915_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	3444	598	 	597_4	2894_5	 	 	 	2412_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	299	1743	 	1742_4	1607_5	 	 	2681_16	504_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	1945	362	 	363_4	2882_5	 	 	3225_16	2606_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	171	2094	 	2093_4	149_5	 	 	3512_16	1110_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	3699	1461	 	1462_4, 3213_13, 606_13	955_5	 	 	2777_16	1097_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	2416	2375	 	2376_4	2156_5	 	 	236_16	1521_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	1163	3287	 	3288_4	1812_5	 	 	498_16	2396_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	1428	1346	 	1347_4	1757_5	 	 	81_16	1065_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	399	2552	 	2551_4	2763_5	 	 	618_16	1790_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	1445	1996	 	1997_4	3785_5	 	 	2395_16	992_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	1488	482	 	481_4	724_5	 	 	23_16	1362_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	1347	3668	 	3669_4	3034_5	 	 	3717_16	2372_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	2886	3591	 	3590_4	502_5	 	 	2077_16	3128_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	1625	2617	 	2616_4	1212_5	 	 	1087_16	3724_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	992	3241	 	2687_13, 3240_4	272_5	 	 	1436_16	1709_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	2064	3598	 	3599_4	3209_5	 	 	1618_16	3696_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	2043	1402	 	1401_4	3026_5	 	 	486_16	2351_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	903	453	 	1555_13, 452_4	2173_5	 	 	1596_16	151_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	2877	350	 	1566_13, 351_4	2566_5	 	 	1524_16	3089_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	3581	3295	 	3294_4	1836_5	 	 	346_16	1681_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	3342	1020	 	1021_4, 602_13	3067_5	 	 	561_16	3561_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	1315	1051	 	1050_4	2165_5	 	 	3640_16	2495_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_515-8 (1221265.3)	172	2403	 	2404_4	2884_5	 	 	2338_16	48_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_908-12 (1221266.3)	913	2705	 	2704_4	1147_5	 	 	3470_16	3385_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_908-13 (1221267.3)	3039	1314	 	1315_4	2415_5	 	 	2100_16	766_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	1187	1416	 	1417_4, 936_13	2173_5	 	 	977_16	2623_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	2678	3369	 	3368_4	3027_5	 	 	1485_16	1759_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-05 (1221271.3)	2244	1671	 	1672_4	1025_5	 	 	2874_16	1830_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	3646	892	 	891_4	2977_5	 	 	1110_16	2614_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	1940	909	 	1524_13, 908_4	1161_5	 	 	1565_16	2908_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	2225	1103	 	1102_4	3573_5	 	 	1567_16	2903_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	269	1085	 	1084_4	2558_5	 	 	211_16	2717_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	956	2854	 	2853_4	233_5	 	 	1668_16	1199_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	153	3169	 	3168_4	3095_5	 	 	1979_16	2429_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	2731	3174	 	3173_4	1703_5	 	 	1097_16	1815_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	2795	2501	 	2502_4	2258_5	 	 	1840_16	601_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	445	234	 	235_4	1955_5	 	 	3565_16	90_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	239	3094	 	3093_4	2344_5	 	 	1517_16	2578_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	3621	394	 	393_4	95_5	 	 	3507_16	3091_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AC12 (1198108.3)	467	2233	 	2232_4	1784_5	 	 	2353_16	2990_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AC30 (1224747.3)	2458	1381	 	1382_4	227_5	 	 	3082_16	1502_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ANC 4097 (1217638.3)	860	2558	 	2557_4	2823_5	 	 	286_16	785_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab11111 (1168588.3)	3013	1316	 	1317_4	1113_5	 	 	3611_16	3089_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab33333 (1168590.3)	2749	1227	 	1228_4	983_5	 	 	3325_16	2824_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab44444 (1168591.3)	1327	1630	 	1631_4	925_5	 	 	3293_16	1251_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii BZICU-2 (1210907.3)	1258	489	 	488_4	665_5	 	 	2670_16	3599_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Canada BC-5 (903895.3)	378	1964	 	1963_4	2231_5	 	 	3590_16	301_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Canada BC1 (903924.3)	3140	3725	 	3724_4	3330_5	 	 	661_16	407_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-116 (903912.3)	3656	2008	 	2007_4, 59_13	2254_5	 	 	23_16	3156_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-123 (903899.3)	2811	3784	 	3783_4	1044_5	 	 	3185_16	2736_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-143 (903911.3)	3379	516	 	517_4	3714_5	 	 	1856_16	1034_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-235 (903905.3)	2155	1288	 	1287_4	2550_5	 	 	79_16	1067_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-251 (903906.3)	926	1393	 	1392_4	1941_5	 	 	1533_16	3398_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-58 (903914.3)	2451	3445	 	3444_4	2961_5	 	 	2311_16	1639_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MDR-TJ (889738.3)	3106	1466	 	1467_4	1265_5	 	 	3693_16	3183_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	886	2568	 	2567_4	2824_5	 	 	304_16	810_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MSP4-16 (1278070.3)	579	2203	 	2204_4	3209_5	 	 	520_16	2998_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	2081	482	 	483_4	215_5	 	 	2669_16	2157_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 146 (1217639.3)	1331	2945	 	2944_4, 731_11	3198_5	 	 	770_16	1255_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	2762	1204	 	1205_4	987_5	 	 	3356_16	2837_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	2777	1187	 	1188_4	977_5	 	 	3329_16	2854_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 190 (1217640.3)	2823	1277	 	1278_4	1020_5	 	 	3399_16	2904_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 201 (1217630.3)	2809	1166	 	1167_4	975_5	 	 	3465_16	2885_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 2061 (1217645.3)	864	2542	 	2541_4	2745_5	 	 	273_16	788_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 24 (1217646.3)	2726	1245	 	1246_4	995_5	 	 	3355_16	2802_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 290 (1217631.3)	2870	1333	 	1334_4	1069_5	 	 	3455_16	2946_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 329 (1217632.3)	2733	1119	 	1120_4	944_5	 	 	3326_16	2808_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 335 (1217633.3)	2891	1256	 	1257_4	1078_5	 	 	3460_16	2966_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 410 (1217634.3)	2946	1385	 	1386_4	1028_5	 	 	3548_16	3026_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 527 (1217635.3)	2868	1282	 	1283_4	1014_5	 	 	3443_16	2944_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 528 (1217636.3)	865	2406	 	2405_4	2610_5	 	 	277_16	789_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 60 (1217647.3)	2183	694	 	695_4	487_5	 	 	2843_16	2263_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 601 (1217637.3)	2641	1142	 	1143_4	948_5	 	 	3302_16	2717_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 615 (1217641.3)	1465	2913	 	2912_4	3102_5	 	 	794_16	1387_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 67 (1217627.3)	2851	1122	 	1123_4	933_5	 	 	3405_16	2926_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 70 (1217628.3)	2679	1157	 	1158_4	974_5	 	 	3227_16	2754_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 80 (1217629.3)	3209	1674	 	1675_4, 555_13	1468_5	 	 	3784_16	3287_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-113 (903920.3)	1337	2136	 	2135_4	3651_5	 	 	3367_16	1414_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-13 (903904.3)	3667	2128	 	2127_4	405_5	 	 	3094_16	1070_18	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-17 (903896.3)	2096	2826	 	2825_4	270_5	 	 	1493_16	2017_18	 	 	 	 	 	 	 	 	 	 
