Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Campylobacter jejuni subsp. jejuni ICDCCJ07001 (757425.3)	944_2	 	 	622_6, 623_7	681	64	1886	1883_16, 1884_15	1885	324_18	 	 	1146_24, 1147_25, 1148_26, 1149_23, 1150_23, 1151_22, 1152_22	 	 
Campylobacter jejuni subsp. jejuni ICDCCJ07002 (1295394.3)	81_2	 	 	1576_7, 1577_6	1522	957	936	933_16, 934_15	935	1201_18	 	 	258_24, 259_25, 260_26, 261_23, 262_22, 263_22	 	 
Campylobacter jejuni subsp. jejuni ICDCCJ07004 (1295400.3)	1252_2	 	 	505_6, 506_7	561	1318	477	474_16, 475_15	476	1145_18	 	 	191_24, 192_25, 193_26, 194_23, 195_22, 196_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23210 (889237.3)	73_1	 	 	1197_6, 1198_7	97	686	663	660_16, 661_15	662	956_18	 	 	1102_24, 1103_25, 1104_26, 1105_23, 1106_22, 1107_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23211 (889238.3)	912_1	 	 	243_7, 244_6	1392	886	869	866_16, 867_15	868	460_18	 	 	306_24, 307_25, 308_26, 309_23, 310_22, 311_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23216 (889239.3)	 	 	 	682_7, 683_6	1241	47	64	66_15, 67_16	65	602_18	 	 	1444_22, 1445_23, 1446_26, 1447_25, 1448_24	 	 
Campylobacter jejuni subsp. jejuni LMG 23218 (889240.3)	512_1	 	 	1130_6, 1131_7	464	1328	805	802_16, 803_15	804	1157_18	 	 	347_24, 348_25, 349_26, 350_23, 351_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23223 (889241.3)	1239_1	 	 	908_6, 909_7	348	215	198	195_16, 196_15	197	1564_18	 	 	585_24, 586_25, 587_26, 588_23, 589_22, 590_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23264 (889243.3)	993_1	 	 	6_7, 7_6	1659	902	736	738_15, 739_16	737	698_18	 	 	459_22, 460_23, 461_26, 462_25, 463_24	 	 
Campylobacter jejuni subsp. jejuni LMG 23269 (889244.3)	34_1	 	 	1381_6, 1382_7	714	681	869	866_16, 867_15	868	1260_18	 	 	1566_24, 1567_25, 1568_26, 1569_23, 1570_22, 1571_22	 	 
Campylobacter jejuni subsp. jejuni LMG 23357 (889246.3)	1389_1	 	 	1630_7, 1631_6	127	577	1275	1277_15, 1278_16	1276	416_18	 	 	1589_23, 1590_26, 1591_25, 1592_24	 	 
Campylobacter jejuni subsp. jejuni LMG 9081 (889248.3)	998_1	 	 	496_7, 497_6	63	630	197	199_15, 200_16	198	587_18	 	 	1077_22, 1078_22, 1079_23, 1080_26, 1081_25, 1082_24	 	 
Campylobacter jejuni subsp. jejuni LMG 9217 (889249.3)	1235_1	 	 	77_7, 78_6	1112	1055	1086	1088_15, 1089_16	1087	394_18	 	 	865_24, 866_25, 867_26, 868_23, 869_22, 870_22	 	 
Campylobacter jejuni subsp. jejuni LMG 9872 (889236.3)	773_1	 	 	921_6, 922_7	56	170	146	143_16, 144_15	145	1273_18	 	 	526_22, 527_22, 528_23, 529_26, 530_25, 531_24	 	 
Campylobacter jejuni subsp. jejuni LMG 9879 (889245.3)	1292_1	 	 	1158_6, 1159_7	1366	282	304	306_15, 307_16	305	937_18	 	 	378_24, 379_25, 380_26, 381_23, 382_22, 383_22	 	 
Campylobacter jejuni subsp. jejuni M1 (645464.3)	795_2	 	 	546_6, 547_7	602	12	1658	1655_16, 1656_15	1657	255_18	 	 	977_24, 978_25, 979_26, 980_23, 981_22, 982_22	 	 
Campylobacter jejuni subsp. jejuni NCTC 11168 (192222.6)	816_1	 	 	566_6, 567_7	624	13	1693	1690_16, 1691_15	1692	263_18	 	 	1000_22, 996_24, 997_25, 998_26, 999_23	 	 
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148 (1211776.3)	809_1	 	 	560_6, 561_7	618	13	1681	1678_16, 1679_15	1680	260_18	 	 	987_24, 988_25, 989_26, 990_23, 991_22	 	 
Campylobacter jejuni subsp. jejuni NW (1093788.3)	722_1	 	 	1119_6, 1120_7	1177	749	771	773_15, 774_16	772	1208_18	 	 	86_24, 87_25, 88_26, 89_23, 90_22, 91_22	 	 
Campylobacter jejuni subsp. jejuni P110B (885273.3)	423_1	 	 	936_6, 937_7	1137	187	165	162_16, 163_15	164	1448_18	 	 	596_24, 597_25, 598_26, 599_23, 600_22	 	 
Campylobacter jejuni subsp. jejuni PT14 (1201032.3)	803_1	 	 	557_6, 558_7	614	12	1651	1648_16, 1649_15	1650	258_18	 	 	979_24, 980_25, 981_26, 982_23, 983_22, 984_22	 	 
Campylobacter jejuni subsp. jejuni S3 (718271.4)	869_2	 	 	561_6, 562_7	619	12	1787	1784_16, 1785_15	1786	258_18	 	 	1057_24, 1058_25, 1059_26, 1060_23, 1061_22, 1062_22	 	 
Campylobacter lari RM2100 (306263.5)	949_1	 	 	792_7, 793_6	932	1523	 	 	 	1390_18	 	 	1095_22, 1096_22, 1097_23, 1098_26, 1099_25, 1100_24	 	 
Campylobacter rectus RM3267 (553218.4)	2793_1	 	 	3014_6, 3015_7	1393	223	2747	1717_15, 2503_16	2502	2808_18	 	 	 	2327_27	 
Campylobacter showae CSUNSWCD (1244083.3)	2023_1	 	 	998_6, 999_7	1943	1178	350	2349_15, 835_16	836	1745_18	 	 	 	1073_27	 
Campylobacter showae RM3277 (553219.3)	1366_1	 	 	855_7, 856_6	85	2193	2020	1030_16, 1525_15	1029	1773_18	 	 	 	1400_27	 
Campylobacter upsaliensis JV21 (888826.3)	 	 	 	 	358	 	 	 	 	1424_18	 	 	82_22, 83_22, 84_23, 85_26, 86_25, 87_24	 	 
Bacteroides ureolyticus DSM 20703 (1121102.3)	1021_1	 	 	1048_7, 1049_6	1008	584	1332	1395_15, 301_16	302	481_18	 	 	 	1416_27	 
Helicobacter bilis ATCC 43879 (613026.4)	1417_1	 	 	118_6, 119_7	1037	1361	890	718_16, 983_15	887	512_18	 	 	 	 	 
Helicobacter bilis WiWa (1235804.3)	277_1	 	 	2027_7, 2028_6	1665	339	2224	1415_16, 2317_15	2229	403_18	 	 	 	 	 
Helicobacter canadensis MIT 98-5491 (Prj:30719) (537970.9)	566_2	 	 	188_7, 189_6	315	265	92	598_15, 81_16	82	1362_18	 	 	753_22, 754_23, 755_26, 756_25, 757_24	 	 
Helicobacter cinaedi ATCC BAA-847 (1206745.3)	2166_1	 	 	2062_7, 2063_6	2437	405	2480	2482_15, 2483_16	2485	1420_18	 	 	 	 	 
Helicobacter cinaedi CCUG 18818 (537971.5)	908_1	 	 	806_7, 807_6	302	1869	346	348_15, 349_16	351	2197_18	 	 	 	 	 
Helicobacter pullorum MIT 98-5489 (537972.5)	1517_1	 	 	531_6, 532_7	1101	304	634	1868_15, 626_16	627	1864_18	 	 	1564_22, 1565_23, 1566_26, 1567_25, 1568_24	 	 
Helicobacter pylori 2017 (985081.3)	 	 	 	 	349	 	 	 	 	1450_18	 	 	 	 	 
Helicobacter pylori 2018 (985080.3)	 	 	 	 	347	 	 	 	 	1452_18	 	 	 	 	 
Helicobacter pylori 26695 (85962.8)	 	 	 	 	 	 	 	 	 	1542_18	 	 	 	 	 
Helicobacter pylori 35A (585535.5)	 	 	 	 	578	 	 	 	 	65_18	 	 	 	 	 
Helicobacter pylori 51 (290847.5)	 	 	 	 	360	 	 	 	 	1446_18	 	 	 	 	 
Helicobacter pylori 83 (585538.3)	 	 	 	 	399	 	 	 	 	1483_18	 	 	 	 	 
Helicobacter pylori 98-10 (544405.3)	 	 	 	 	133	 	 	 	 	688_18	 	 	 	 	 
Helicobacter pylori A45 (1231719.3)	 	 	 	 	728	 	 	 	 	886_18	 	 	 	 	 
Helicobacter pylori Aklavik117 (1055531.3)	 	 	 	 	333	 	 	 	 	1440_18	 	 	 	 	 
Helicobacter pylori Aklavik86 (1055532.3)	 	 	 	 	722	 	 	 	 	1447_18	 	 	 	 	 
Helicobacter pylori B128 (544406.3)	 	 	 	 	119	 	 	 	 	400_18, 401_18	 	 	 	 	 
Helicobacter pylori B38 (592205.3)	 	 	 	 	336	 	 	 	 	1428_18	 	 	 	 	 
Helicobacter pylori B45 (999629.3)	 	 	 	 	1428	 	 	 	 	60_18, 61_18	 	 	 	 	 
Helicobacter pylori B8 (693745.3)	 	 	 	 	1188	 	 	 	 	64_18	 	 	 	 	 
Helicobacter pylori BCS100H1 (981210.3)	 	 	 	 	429	 	 	 	 	1059_18, 1060_18	 	 	 	 	 
Helicobacter pylori CCHI 33 (1200325.3)	 	 	 	 	427	 	 	 	 	1530_18	 	 	 	 	 
Helicobacter pylori CPY1124 (992013.3)	 	 	 	 	1179	 	 	 	 	1527_18	 	 	 	 	 
Helicobacter pylori CPY1313 (992014.3)	 	 	 	 	944	 	 	 	 	1500_18	 	 	 	 	 
Helicobacter pylori CPY1662 (992015.3)	 	 	 	 	509	 	 	 	 	1450_18	 	 	 	 	 
Helicobacter pylori CPY1962 (992016.3)	 	 	 	 	576	 	 	 	 	67_18	 	 	 	 	 
Helicobacter pylori CPY3281 (992017.3)	 	 	 	 	368	 	 	 	 	1635_18	 	 	 	 	 
Helicobacter pylori CPY6081 (992018.3)	 	 	 	 	987	 	 	 	 	1387_18	 	 	 	 	 
Helicobacter pylori CPY6261 (992019.3)	 	 	 	 	636	 	 	 	 	70_18	 	 	 	 	 
Helicobacter pylori CPY6271 (992020.3)	 	 	 	 	558	 	 	 	 	1273_18	 	 	 	 	 
Helicobacter pylori CPY6311 (992022.3)	 	 	 	 	367	 	 	 	 	1438_18	 	 	 	 	 
Helicobacter pylori ELS37 (1055527.3)	 	 	 	 	1023	 	 	 	 	1516_18	 	 	 	 	 
Helicobacter pylori F16 (866344.4)	 	 	 	 	359	 	 	 	 	1463_18	 	 	 	 	 
Helicobacter pylori F30 (866345.4)	 	 	 	 	1016	 	 	 	 	1423_18	 	 	 	 	 
Helicobacter pylori F32 (102608.4)	 	 	 	 	1034	 	 	 	 	1444_18	 	 	 	 	 
Helicobacter pylori F57 (866346.4)	 	 	 	 	408	 	 	 	 	1488_18	 	 	 	 	 
Helicobacter pylori G27 (563041.6)	 	 	 	 	 	 	 	 	 	1512_18	 	 	 	 	 
Helicobacter pylori GAM100Ai (1159019.3)	 	 	 	 	271	 	 	 	 	334_18	 	 	 	 	 
Helicobacter pylori GAM101Biv (1159020.3)	 	 	 	 	709	 	 	 	 	792_18	 	 	 	 	 
Helicobacter pylori GAM103Bi (1159021.3)	 	 	 	 	957	 	 	 	 	1253_18	 	 	 	 	 
Helicobacter pylori GAM105Ai (1159022.3)	 	 	 	 	635	 	 	 	 	1247_18	 	 	 	 	 
Helicobacter pylori GAM114Ai (1159024.3)	 	 	 	 	736	 	 	 	 	485_18	 	 	 	 	 
Helicobacter pylori GAM115Ai (1159025.3)	 	 	 	 	260	 	 	 	 	1291_18	 	 	 	 	 
Helicobacter pylori GAM118Bi (1159027.3)	 	 	 	 	1558	 	 	 	 	718_18	 	 	 	 	 
Helicobacter pylori GAM119Bi (1159028.3)	 	 	 	 	1317	 	 	 	 	888_18	 	 	 	 	 
Helicobacter pylori GAM120Ai (1159029.3)	 	 	 	 	1550	 	 	 	 	1323_18	 	 	 	 	 
Helicobacter pylori GAM121Aii (1159030.3)	 	 	 	 	891	 	 	 	 	403_18	 	 	 	 	 
Helicobacter pylori GAM201Ai (1159031.3)	 	 	 	 	505	 	 	 	 	327_18	 	 	 	 	 
Helicobacter pylori GAM210Bi (1159032.3)	 	 	 	 	865	 	 	 	 	1247_18	 	 	 	 	 
Helicobacter pylori GAM231Ai (1159033.3)	 	 	 	 	1399	 	 	 	 	248_18	 	 	 	 	 
Helicobacter pylori GAM239Bi (1159034.3)	 	 	 	 	1286	 	 	 	 	629_18	 	 	 	 	 
Helicobacter pylori GAM244Ai (1159035.3)	 	 	 	 	815	 	 	 	 	1504_18	 	 	 	 	 
Helicobacter pylori GAM245Ai (1159036.3)	 	 	 	 	529	 	 	 	 	54_18	 	 	 	 	 
Helicobacter pylori GAM246Ai (1159037.3)	 	 	 	 	328	 	 	 	 	689_18	 	 	 	 	 
Helicobacter pylori GAM249T (1159038.3)	 	 	 	 	816	 	 	 	 	1476_18	 	 	 	 	 
Helicobacter pylori GAM250AFi (1159039.3)	 	 	 	 	586	 	 	 	 	834_18	 	 	 	 	 
Helicobacter pylori GAM250T (1159040.3)	 	 	 	 	432	 	 	 	 	944_18	 	 	 	 	 
Helicobacter pylori GAM252Bi (1159041.3)	 	 	 	 	763	 	 	 	 	349_18	 	 	 	 	 
Helicobacter pylori GAM252T (1159042.3)	 	 	 	 	598	 	 	 	 	309_18	 	 	 	 	 
Helicobacter pylori GAM254Ai (1159043.3)	 	 	 	 	324	 	 	 	 	65_18	 	 	 	 	 
Helicobacter pylori GAM260ASi (1159044.3)	 	 	 	 	1367	 	 	 	 	1169_18	 	 	 	 	 
Helicobacter pylori GAM260BSi (1159046.3)	 	 	 	 	1247	 	 	 	 	469_18	 	 	 	 	 
Helicobacter pylori GAM260Bi (1159045.3)	 	 	 	 	343	 	 	 	 	1222_18	 	 	 	 	 
Helicobacter pylori GAM263BFi (1159047.3)	 	 	 	 	1534	 	 	 	 	610_18	 	 	 	 	 
Helicobacter pylori GAM264Ai (1159048.3)	 	 	 	 	1112	 	 	 	 	749_18	 	 	 	 	 
Helicobacter pylori GAM265BSii (1159049.3)	 	 	 	 	1414	 	 	 	 	4_18	 	 	 	 	 
Helicobacter pylori GAM270ASi (1159051.3)	 	 	 	 	1050	 	 	 	 	714_18	 	 	 	 	 
Helicobacter pylori GAM42Ai (1159052.3)	 	 	 	 	1428	 	 	 	 	650_18	 	 	 	 	 
Helicobacter pylori GAM80Ai (1159054.3)	 	 	 	 	1491	 	 	 	 	554_18	 	 	 	 	 
Helicobacter pylori GAM83Bi (1159055.3)	 	 	 	 	542	 	 	 	 	137_18	 	 	 	 	 
Helicobacter pylori GAM83T (1159056.3)	 	 	 	 	366	 	 	 	 	641_18	 	 	 	 	 
Helicobacter pylori GAM96Ai (1159058.3)	 	 	 	 	697	 	 	 	 	1018_18	 	 	 	 	 
Helicobacter pylori GAMchJs106B (1159059.3)	 	 	 	 	564	 	 	 	 	698_18	 	 	 	 	 
Helicobacter pylori GAMchJs114i (1159060.3)	 	 	 	 	445	 	 	 	 	1273_18	 	 	 	 	 
Helicobacter pylori GAMchJs117Ai (1159061.3)	 	 	 	 	547	 	 	 	 	369_18	 	 	 	 	 
Helicobacter pylori GAMchJs124i (1159062.3)	 	 	 	 	871	 	 	 	 	546_18	 	 	 	 	 
Helicobacter pylori GAMchJs136i (1159064.3)	 	 	 	 	442	 	 	 	 	1134_18	 	 	 	 	 
Helicobacter pylori Gambia94/24 (907240.3)	 	 	 	 	365	 	 	 	 	1543_18	 	 	 	 	 
Helicobacter pylori HLJHP193 (1213457.3)	 	 	 	 	333	 	 	 	 	1507_18	 	 	 	 	 
Helicobacter pylori HLJHP253 (1214223.3)	 	 	 	 	654	 	 	 	 	1176_18	 	 	 	 	 
Helicobacter pylori HLJHP256 (1214221.3)	 	 	 	 	347	 	 	 	 	837_18	 	 	 	 	 
Helicobacter pylori HLJHP271 (1214222.3)	 	 	 	 	654	 	 	 	 	1199_18	 	 	 	 	 
Helicobacter pylori HP116Bi (1159065.3)	 	 	 	 	1207	 	 	 	 	1384_18	 	 	 	 	 
Helicobacter pylori HP250AFiV (1159068.3)	 	 	 	 	568	 	 	 	 	351_18	 	 	 	 	 
Helicobacter pylori HP250AFii (1159066.3)	 	 	 	 	792	 	 	 	 	245_18	 	 	 	 	 
Helicobacter pylori HP250AFiii (1159067.3)	 	 	 	 	694	 	 	 	 	830_18	 	 	 	 	 
Helicobacter pylori HP250ASi (1159069.3)	 	 	 	 	597	 	 	 	 	875_18	 	 	 	 	 
Helicobacter pylori HP250ASii (1159070.3)	 	 	 	 	800	 	 	 	 	237_18	 	 	 	 	 
Helicobacter pylori HP250BFiV (1159074.3)	 	 	 	 	949	 	 	 	 	360_18	 	 	 	 	 
Helicobacter pylori HP250BFii (1159072.3)	 	 	 	 	972	 	 	 	 	593_18	 	 	 	 	 
Helicobacter pylori HP250BFiii (1159073.3)	 	 	 	 	1277	 	 	 	 	612_18	 	 	 	 	 
Helicobacter pylori HP250BSi (1159075.3)	 	 	 	 	500	 	 	 	 	682_18	 	 	 	 	 
Helicobacter pylori HP260AFi (1159076.3)	 	 	 	 	1450	 	 	 	 	1209_18	 	 	 	 	 
Helicobacter pylori HP260AFii (1159077.3)	 	 	 	 	495	 	 	 	 	54_18	 	 	 	 	 
Helicobacter pylori HP260ASii (1159078.3)	 	 	 	 	601	 	 	 	 	1106_18	 	 	 	 	 
Helicobacter pylori HP260BFii (1159079.3)	 	 	 	 	1015	 	 	 	 	92_18	 	 	 	 	 
Helicobacter pylori HP260Bi (1159080.3)	 	 	 	 	437	 	 	 	 	1443_18	 	 	 	 	 
Helicobacter pylori HPAG1 (357544.13)	 	 	 	 	 	 	 	 	 	1497_18	 	 	 	 	 
Helicobacter pylori HUP-B14 (1163743.3)	 	 	 	 	339	 	 	 	 	1446_18	 	 	 	 	 
Helicobacter pylori Hp A-11 (992035.3)	 	 	 	 	759	 	 	 	 	93_18	 	 	 	 	 
Helicobacter pylori Hp A-14 (992054.3)	 	 	 	 	307	 	 	 	 	1397_18	 	 	 	 	 
Helicobacter pylori Hp A-16 (992055.3)	 	 	 	 	427	 	 	 	 	1591_18	 	 	 	 	 
Helicobacter pylori Hp A-17 (992036.3)	 	 	 	 	427	 	 	 	 	1582_18	 	 	 	 	 
Helicobacter pylori Hp A-20 (992037.3)	 	 	 	 	453	 	 	 	 	1616_18	 	 	 	 	 
Helicobacter pylori Hp A-26 (992056.3)	 	 	 	 	368	 	 	 	 	1394_18	 	 	 	 	 
Helicobacter pylori Hp A-27 (992057.3)	 	 	 	 	322	 	 	 	 	1425_18	 	 	 	 	 
Helicobacter pylori Hp A-4 (992032.3)	 	 	 	 	429	 	 	 	 	1619_18	 	 	 	 	 
Helicobacter pylori Hp A-5 (992033.3)	 	 	 	 	438	 	 	 	 	1469_18	 	 	 	 	 
Helicobacter pylori Hp A-6 (992052.3)	 	 	 	 	397	 	 	 	 	1549_18	 	 	 	 	 
Helicobacter pylori Hp A-8 (992053.3)	 	 	 	 	235	 	 	 	 	1446_18	 	 	 	 	 
Helicobacter pylori Hp A-9 (992034.3)	 	 	 	 	845	 	 	 	 	1608_18	 	 	 	 	 
Helicobacter pylori Hp H-1 (992058.3)	 	 	 	 	411	 	 	 	 	1555_18	 	 	 	 	 
Helicobacter pylori Hp H-10 (992063.3)	 	 	 	 	417	 	 	 	 	1556_18	 	 	 	 	 
Helicobacter pylori Hp H-11 (992064.3)	 	 	 	 	1328	 	 	 	 	75_18	 	 	 	 	 
Helicobacter pylori Hp H-16 (992038.3)	 	 	 	 	624	 	 	 	 	1592_18	 	 	 	 	 
Helicobacter pylori Hp H-19 (992066.3)	 	 	 	 	554	 	 	 	 	72_18	 	 	 	 	 
Helicobacter pylori Hp H-21 (992067.3)	 	 	 	 	390	 	 	 	 	1509_18	 	 	 	 	 
Helicobacter pylori Hp H-23 (992068.3)	 	 	 	 	541	 	 	 	 	30_18	 	 	 	 	 
Helicobacter pylori Hp H-24 (992039.3)	 	 	 	 	526	 	 	 	 	31_18	 	 	 	 	 
Helicobacter pylori Hp H-24b (992094.3)	 	 	 	 	419	 	 	 	 	1607_18	 	 	 	 	 
Helicobacter pylori Hp H-24c (992095.3)	 	 	 	 	417	 	 	 	 	1560_18	 	 	 	 	 
Helicobacter pylori Hp H-27 (992040.3)	 	 	 	 	979	 	 	 	 	65_18	 	 	 	 	 
Helicobacter pylori Hp H-28 (992041.3)	 	 	 	 	1128	 	 	 	 	1542_18	 	 	 	 	 
Helicobacter pylori Hp H-29 (992042.3)	 	 	 	 	428	 	 	 	 	1535_18	 	 	 	 	 
Helicobacter pylori Hp H-3 (992059.3)	 	 	 	 	427	 	 	 	 	1600_18	 	 	 	 	 
Helicobacter pylori Hp H-30 (992043.3)	 	 	 	 	420	 	 	 	 	1534_18	 	 	 	 	 
Helicobacter pylori Hp H-34 (992069.3)	 	 	 	 	657	 	 	 	 	127_18	 	 	 	 	 
Helicobacter pylori Hp H-36 (992044.3)	 	 	 	 	469	 	 	 	 	1558_18	 	 	 	 	 
Helicobacter pylori Hp H-4 (992060.3)	 	 	 	 	435	 	 	 	 	1574_18	 	 	 	 	 
Helicobacter pylori Hp H-41 (992046.3)	 	 	 	 	402	 	 	 	 	1544_18	 	 	 	 	 
Helicobacter pylori Hp H-42 (992047.3)	 	 	 	 	369	 	 	 	 	1579_18	 	 	 	 	 
Helicobacter pylori Hp H-43 (992048.3)	 	 	 	 	1123	 	 	 	 	1417_18	 	 	 	 	 
Helicobacter pylori Hp H-44 (992049.3)	 	 	 	 	416	 	 	 	 	1569_18	 	 	 	 	 
Helicobacter pylori Hp H-45 (992050.3)	 	 	 	 	235	 	 	 	 	1400_18	 	 	 	 	 
Helicobacter pylori Hp H-5b (992092.3)	 	 	 	 	421	 	 	 	 	1566_18	 	 	 	 	 
Helicobacter pylori Hp H-6 (992061.3)	 	 	 	 	446	 	 	 	 	1616_18	 	 	 	 	 
Helicobacter pylori Hp H-9 (992062.3)	 	 	 	 	333	 	 	 	 	1538_18	 	 	 	 	 
Helicobacter pylori Hp M1 (992117.3)	 	 	 	 	535	 	 	 	 	35_18	 	 	 	 	 
Helicobacter pylori Hp M2 (992118.3)	 	 	 	 	405	 	 	 	 	1579_18	 	 	 	 	 
Helicobacter pylori Hp M3 (992119.3)	 	 	 	 	531	 	 	 	 	33_18	 	 	 	 	 
Helicobacter pylori Hp M4 (992120.3)	 	 	 	 	532	 	 	 	 	35_18	 	 	 	 	 
Helicobacter pylori Hp M5 (992121.3)	 	 	 	 	557	 	 	 	 	64_18	 	 	 	 	 
Helicobacter pylori Hp M6 (992122.3)	 	 	 	 	637	 	 	 	 	143_18	 	 	 	 	 
Helicobacter pylori Hp M9 (992125.3)	 	 	 	 	458	 	 	 	 	1494_18	 	 	 	 	 
Helicobacter pylori Hp P-1 (992072.3)	 	 	 	 	564	 	 	 	 	51_18	 	 	 	 	 
Helicobacter pylori Hp P-11 (992078.3)	 	 	 	 	390	 	 	 	 	1387_18	 	 	 	 	 
Helicobacter pylori Hp P-11b (992106.3)	 	 	 	 	443	 	 	 	 	1461_18	 	 	 	 	 
Helicobacter pylori Hp P-13 (992079.3)	 	 	 	 	451	 	 	 	 	1653_18	 	 	 	 	 
Helicobacter pylori Hp P-13b (992107.3)	 	 	 	 	429	 	 	 	 	1614_18	 	 	 	 	 
Helicobacter pylori Hp P-15 (992080.3)	 	 	 	 	692	 	 	 	 	68_18	 	 	 	 	 
Helicobacter pylori Hp P-15b (992108.3)	 	 	 	 	943	 	 	 	 	68_18	 	 	 	 	 
Helicobacter pylori Hp P-16 (992081.3)	 	 	 	 	314	 	 	 	 	1347_18	 	 	 	 	 
Helicobacter pylori Hp P-1b (992098.3)	 	 	 	 	598	 	 	 	 	73_18	 	 	 	 	 
Helicobacter pylori Hp P-2 (992073.3)	 	 	 	 	429	 	 	 	 	1586_18	 	 	 	 	 
Helicobacter pylori Hp P-25 (992084.3)	 	 	 	 	629	 	 	 	 	71_18	 	 	 	 	 
Helicobacter pylori Hp P-25c (992111.3)	 	 	 	 	461	 	 	 	 	1583_18	 	 	 	 	 
Helicobacter pylori Hp P-25d (992112.3)	 	 	 	 	1560	 	 	 	 	66_18	 	 	 	 	 
Helicobacter pylori Hp P-26 (992085.3)	 	 	 	 	424	 	 	 	 	1111_18	 	 	 	 	 
Helicobacter pylori Hp P-28b (992114.3)	 	 	 	 	330	 	 	 	 	1556_18	 	 	 	 	 
Helicobacter pylori Hp P-2b (992099.3)	 	 	 	 	426	 	 	 	 	1629_18	 	 	 	 	 
Helicobacter pylori Hp P-3 (992074.3)	 	 	 	 	432	 	 	 	 	1553_18	 	 	 	 	 
Helicobacter pylori Hp P-30 (992087.3)	 	 	 	 	972	 	 	 	 	69_18	 	 	 	 	 
Helicobacter pylori Hp P-3b (992100.3)	 	 	 	 	342	 	 	 	 	1475_18	 	 	 	 	 
Helicobacter pylori Hp P-4 (992075.3)	 	 	 	 	535	 	 	 	 	29_18	 	 	 	 	 
Helicobacter pylori Hp P-41 (992088.3)	 	 	 	 	479	 	 	 	 	1634_18	 	 	 	 	 
Helicobacter pylori Hp P-4c (992102.3)	 	 	 	 	573	 	 	 	 	70_18	 	 	 	 	 
Helicobacter pylori Hp P-4d (992103.3)	 	 	 	 	569	 	 	 	 	66_18	 	 	 	 	 
Helicobacter pylori Hp P-62 (992089.3)	 	 	 	 	335	 	 	 	 	1475_18	 	 	 	 	 
Helicobacter pylori Hp P-74 (992091.3)	 	 	 	 	1002	 	 	 	 	69_18	 	 	 	 	 
Helicobacter pylori Hp P-8 (992077.3)	 	 	 	 	425	 	 	 	 	1617_18	 	 	 	 	 
Helicobacter pylori Hp P-8b (992105.3)	 	 	 	 	432	 	 	 	 	1621_18	 	 	 	 	 
Helicobacter pylori India7 (907238.3)	 	 	 	 	300	 	 	 	 	1541_18	 	 	 	 	 
Helicobacter pylori J99 (85963.7)	 	 	 	 	 	 	 	 	 	1480_18	 	 	 	 	 
Helicobacter pylori Lithuania75 (907237.3)	 	 	 	 	338	 	 	 	 	1461_18	 	 	 	 	 
Helicobacter pylori MALT (1200324.3)	 	 	 	 	559	 	 	 	 	69_18	 	 	 	 	 
Helicobacter pylori N6 (102616.3)	 	 	 	 	1723	 	 	 	 	703_18	 	 	 	 	 
Helicobacter pylori NAK7 (1282880.3)	 	 	 	 	595	 	 	 	 	387_18	 	 	 	 	 
Helicobacter pylori NQ1671 (981220.3)	 	 	 	 	503	 	 	 	 	159_18	 	 	 	 	 
Helicobacter pylori NQ1712 (981213.3)	 	 	 	 	648	 	 	 	 	521_18	 	 	 	 	 
Helicobacter pylori NQ315 (981212.3)	 	 	 	 	886	 	 	 	 	166_18	 	 	 	 	 
Helicobacter pylori NQ4044 (992028.3)	 	 	 	 	454	 	 	 	 	1675_18	 	 	 	 	 
Helicobacter pylori NQ4053 (992027.3)	 	 	 	 	1077	 	 	 	 	1559_18	 	 	 	 	 
Helicobacter pylori NQ4060 (981218.3)	 	 	 	 	574	 	 	 	 	1044_18	 	 	 	 	 
Helicobacter pylori NQ4099 (992026.3)	 	 	 	 	516	 	 	 	 	1542_18	 	 	 	 	 
Helicobacter pylori NQ4110 (992031.3)	 	 	 	 	528	 	 	 	 	32_18	 	 	 	 	 
Helicobacter pylori NQ4161 (992030.3)	 	 	 	 	795	 	 	 	 	1622_18	 	 	 	 	 
Helicobacter pylori NQ4191 (981221.3)	 	 	 	 	1591	 	 	 	 	811_18	 	 	 	 	 
Helicobacter pylori NQ4200 (992024.3)	 	 	 	 	224	 	 	 	 	1403_18	 	 	 	 	 
Helicobacter pylori NQ4216 (992023.3)	 	 	 	 	536	 	 	 	 	43_18	 	 	 	 	 
Helicobacter pylori NQ4228 (992025.3)	 	 	 	 	795	 	 	 	 	69_18	 	 	 	 	 
Helicobacter pylori OK113 (1248725.3)	 	 	 	 	367	 	 	 	 	1507_18	 	 	 	 	 
Helicobacter pylori OK310 (1248726.3)	 	 	 	 	357	 	 	 	 	1413_18	 	 	 	 	 
Helicobacter pylori P12 (570508.6)	 	 	 	 	 	 	 	 	 	1524_18	 	 	 	 	 
Helicobacter pylori PeCan18 (1163742.3)	 	 	 	 	340	 	 	 	 	1487_18	 	 	 	 	 
