Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Pseudomonas putida HB3267 (1215088.3)	4983_1	1377_23	1430_9	1376_10_13	 	1376_10_13	1377_23	1031_20, 1418_21, 1467_21, 1519_16, 1551_21, 1586_21, 2274_21, 2393_21, 3042_21, 3091_16, 3190_21, 3224_21, 3600_21, 4175_21, 5220_21, 5221_21, 5286_21, 577_21, 958_21	1377_23	 	 	 	 
Pseudomonas putida KT2440 (160488.4)	5421_1	1866_23_6	1930	1865_10_13	 	1865_10_13	1866_23_6	1029_20, 1175_21, 1974_21, 2081_16, 2803_21, 3122_21, 3816_16, 3966_21, 4036_21, 4463_21, 518_21, 5628_21	1866_23_6	 	 	 	 
Pseudomonas putida LS46 (1193146.3)	3331_1	2262_23	2202	2263_10_13	 	2263_10_13	2262_23	1231_21, 1403_21, 1452_16, 2093_16, 2155_21, 3006_21, 3108_21, 381_21, 4048_21, 411_21, 4189_20, 4685_21, 506_21, 5236_21	2262_23	 	 	 	 
Pseudomonas putida ND6 (231023.4)	2071_1	1068_23	1008	1069_10_13	 	1069_10_13	1068_23	128_21, 1622_21, 2273_21, 2374_21, 2879_21, 3368_20, 3510_21, 41_21, 4490_21, 4520_21, 4640_21, 4879_21, 90_16, 906_16, 966_21	1068_23	 	 	 	 
Pseudomonas putida S12 (1215087.3)	5472_1	5532_23	3092	5531_10_13	 	5531_10_13	5532_23	1060_21, 1343_16, 1990_16, 2049_21, 2495_21, 2809_21, 3331_20, 3538_21, 3841_21, 3872_21, 406_21, 4247_21, 5588_21, 761_21, 939_21	5532_23	 	 	 	 
Pseudomonas putida S16 (1042876.5)	5009_1	1424_23	1486_9	1423_10_13	 	1423_10_13	1424_23	1007_20, 1526_21, 1612_21, 2220_21, 3113_21, 3161_16, 3268_21, 3298_21, 3677_21, 4221_21, 4614_21, 492_21, 5215_21, 5282_21, 932_21	1424_23	 	 	 	 
Pseudomonas putida SJTE-1 (1193499.3)	2453_1	1365_23	1207	1366_10_13	 	1366_10_13	1365_23	1106_16, 1165_21, 183_21, 2654_21, 2721_21, 2958_21, 3445_20, 3587_21, 4084_21, 419_21, 4427_21, 4458_21, 4565_21, 4600_16, 4649_21	1365_23	 	 	 	 
Pseudomonas putida TRO1 (1227924.3)	1574_1	2126_23	4748	2127_10_13	 	2127_10_13	2126_23	1046_21, 1199_16, 20_21, 2438_21, 2605_21, 2952_21, 318_21, 3375_21, 3846_21, 4315_21, 4638_21, 5042_16, 510_20, 980_21	2126_23	 	 	 	 
Pseudomonas putida W619 (390235.5)	391_1	1379_23_6	1442_9	1378_10_13	 	1378_10_13	1379_23_6	1485_21, 1543_16, 2814_21, 2823_16, 3133_21, 3883_21, 4270_20	1379_23_6	 	 	 	 
Pseudomonas stutzeri A1501 (379731.5)	578_1	2346_23_6	2436_9	2348_10_13	 	2348_10_13	2346_23_6	1044_20, 2347_17, 3547_21, 3720_21	2346_23_6	 	 	 	 
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	2434_1	1711_23	591_9	1709_10_13	 	1709_10_13	1711_23	1710_17, 1715_21, 207_21, 2078_21, 2666_21, 2840_21, 3429_21, 3441_16, 451_21, 893_20	1711_23	 	 	 	 
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	597_1	2230_23	2340_9	2232_10_13	 	2232_10_13	2230_23	2226_21, 2231_17, 2522_21, 2723_21, 3346_21, 3533_21, 3701_21, 951_20	2230_23	 	 	 	 
Pseudomonas stutzeri CCUG 29243 (1196835.3)	3737_1	2498_23	2606_9	2500_10_13	 	2500_10_13	2498_23	2494_21, 2499_17, 2707_21, 2887_21, 3168_16, 3326_20, 4070_21, 4084_21, 737_21, 859_21	2498_23	 	 	 	 
Pseudomonas stutzeri DSM 10701 (1123519.7)	552_1	2288_23	2275_9	2290_10_13	 	2290_10_13	2288_23	1173_21, 1235_21, 1511_21, 1527_21, 2284_21, 2289_17, 2466_21, 2606_21, 2670_21, 793_20	2288_23	 	 	 	 
Pseudomonas stutzeri DSM 4166 (996285.3)	624_1	2370_23	2538_9	2372_10_13	 	2372_10_13	2370_23	1017_20, 2366_21, 2371_17, 2855_21, 3669_21, 3840_21	2370_23	 	 	 	 
Pseudomonas stutzeri NF13 (1212548.4)	2354_1	3254_23	2067_9	3251_10_13	 	3251_10_13	3254_23	105_21, 1091_16, 1365_21, 2184_21, 2815_21, 3253_17, 3478_20, 36_21, 377_21	3254_23	 	 	 	 
Pseudomonas stutzeri RCH2 (644801.3)	3610_1	1939_23	1863_9	1937_10_13	 	1937_10_13	1939_23	1528_21, 1670_21, 1938_17, 1943_21, 3206_20, 761_21	1939_23	 	 	 	 
Pseudomonas stutzeri SDM-LAC (1109445.3)	2343_1	347_23	334_9	349_10_13	1257_14	1257_14, 349_10_13	347_23	1352_21, 1478_21, 1747_21, 3130_21, 343_21, 3462_21, 348_17, 3657_20, 401_21	347_23	 	 	 	 
Pseudomonas stutzeri T13 (1210443.6)	837_1	2956_23	1596_9	2958_10_13	 	2958_10_13	2956_23	1112_21, 120_21, 1654_21, 2655_16, 2952_21, 2957_17, 301_21, 695_20	2956_23	 	 	 	 
Pseudomonas stutzeri TS44 (477228.3)	35_1	2708_23	2721_9	2706_10_13	 	2706_10_13	2708_23	1046_20, 1304_21, 2109_21, 2405_21, 2707_17, 2712_21, 2787_21, 3732_16, 3936_21	2708_23	 	 	 	 
Pseudomonas stutzeri XLDN-R (1200345.6)	676_1	2838_23	2170_9	2836_10_13	 	2836_10_13	2838_23	127_21, 2837_17, 2842_21, 3075_21, 3881_16, 3982_20, 4239_21, 954_21	2838_23	 	 	 	 
Grimontia hollisae CIP 101886 (675812.3)	406_1	 	3357	627_10_13, 628_10_23	 	627_10_13	628_10_23	1121_21, 2971_21, 3164_20	628_10_23	1463_26	 	1463_26	 
Vibrio parahaemolyticus BB22OP (1211705.3)	2648_1	979	2054	522_10_23, 529_10_13	2968_14	2968_14, 529_10_13	522_10_23	1075_20, 1774_21, 3874_21, 4056_21	522_10_23	3461_26	 	1353_28, 3461_26	 
Vibrio parahaemolyticus PCV08-7 (1276919.3)	3754_1	3373	2924_9	2314_10_23, 3950_10_13	1943_13_12	1943_13_12, 3950_10_13	2314_10_23	2134_21, 2784_21, 3203_21, 3470_20	2314_10_23	1847_26	 	1847_26, 4184_28	 
Vibrio parahaemolyticus SNUVpS-1 (1234128.4)	4463_1	2220	1401_9	4517_10_23, 4524_10_13	4144_13_12	4144_13_12, 4524_10_13	4517_10_23	2326_20, 2545_21, 649_21, 832_21	4517_10_23	1546_26	 	1546_26, 2623_28	 
Vibrio mimicus CAIM 602 (1259812.3)	1921_1	1050	3669_9	906_10_23, 914_10_13	 	914_10_13	906_10_23	1107_21, 1948_20, 2152_21, 2503_21	906_10_23	 	 	2828_28, 512_28	 
Vibrio mimicus MB-451 (675806.3)	118_1	960	597_9	1943_10_13, 1951_10_23	 	1943_10_13	1951_10_23	1384_21, 1547_20, 3481_21	1951_10_23	300_26, 3777_26	 	300_26, 3777_26	 
Vibrio mimicus VM223 (675820.3)	3796_1	2931	3315_9	474_10_13, 482_10_23	 	474_10_13	482_10_23	2353_20, 2515_21, 2979_21, 881_21	482_10_23	1743_26, 3615_26	 	1743_26, 3615_26	 
Vibrio mimicus VM603 (671074.4)	1969_1	3717	2448_9	1013_10_23, 1021_10_13	11_14	1021_10_13, 11_14	1013_10_23	1102_21, 2610_20, 3102_21, 3867_21, 801_21	1013_10_23	248_26, 3147_26	 	248_26, 3147_26	 
Vibrio parahaemolyticus AN-5034 (563773.3)	3222_1	760_6	2643	79_10_23, 86_10_13	316_13_12	316_13_12, 86_10_13	79_10_23	2015_21, 3534_21, 876_20	79_10_23	1129_26, 2360_26	 	1129_26, 2360_26	 
Vibrio parahaemolyticus RIMD 2210633 (223926.6)	2642_1	967_6	2105	520_10_23, 527_10_13	2951_13_12	2951_13_12, 527_10_13	520_10_23	1081_20, 1815_21, 3867_21	520_10_23	1364_26	 	1364_26	 
Stenotrophomonas maltophilia ATCC 19867 (1279018.3)	2807_1	1658	1974_9	1659_10_13	 	1659_10_13	903_23	1073_20, 1695_19, 3727_21, 405_21, 605_21, 608_21	903_23	 	 	 	 
Stenotrophomonas maltophilia Ab55555 (1183154.3)	3301_1	2801	3116_9	2802_10_13	 	2802_10_13	1873_23	2049_20, 2843_19, 4115_21, 4118_21, 941_21	1873_23	 	 	 	 
Stenotrophomonas maltophilia D457 (1163399.5)	3242_1	2723	3046_9	2724_10_13	 	2724_10_13	1828_23	1007_21, 164_21, 1979_20, 2766_19, 3751_21, 4078_21, 4081_21	1828_23	 	 	 	 
Stenotrophomonas maltophilia PML168 (1118235.3)	3677_1	1886	272_9	1887_10_13	 	1887_10_13	757_23	1184_21, 1924_19, 2238_21, 2254_20, 615_20	757_23	 	 	 	 
Stenotrophomonas maltophilia K279a (522373.3)	3399_1	2899	3215_9	2900_10_13	 	2900_10_13	1905_23	1038_21, 177_21, 2057_20, 2941_19, 4164_21	1905_23	 	 	 	 
Stenotrophomonas maltophilia R551-3 (391008.4)	3060_1	2549_6	2874	2550_10_13	 	2550_10_13	1633_23	1785_20	1633_23	 	 	 	 
Bilophila wadsworthia 3_1_6 (563192.3)	2846_1	2708_6	1248	2903_10_13	 	2903_10_13	2709_24	1255_21, 2013_21_16, 2013_21_16, 2343_21, 2637_17_20, 2637_17_20, 3662_21, 4053_21, 522_21	2709_24	 	 	 	 
Desulfovibrio desulfuricans subsp. aestuarii DSM 17919 = ATCC 29578 (1121444.3)	277_3, 681_1	1163	275_9	1162_10_13	854_14	1162_10_13, 854_14	1164_24	1052_21, 1286_16_21, 1286_16_21, 1745_17_20, 1745_17_20, 270_21, 357_17_20, 357_17_20, 549_21	1164_24	 	 	1071_28, 1591_28, 2379_28	 
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774 (525146.4)	2301_1, 2550_3	397_6	2668	2485_10, 398_10_13	 	398_10_13	396_24	2038_21, 2440_21_16, 2440_21_16, 2617_21, 881_17_20, 881_17_20	396_24	 	 	 	 
Desulfovibrio desulfuricans subsp. desulfuricans str. G20 (207559.7)	2578_1, 2696_1	3381_6	2693	1112_10, 3382_10_13	3001_13_12	3001_13_12, 3382_10_13	3380_24	1109_16_21, 1109_16_21, 1443_17_20, 1443_17_20, 3484_21, 516_21, 624_21	3380_24	3226_26	 	3226_26	 
Desulfovibrio piger ATCC 29098 (411464.8)	1506_3, 1827_1	1730_6	1390_9	1731_10_13	 	1731_10_13	1729_24	1120_21, 1415_21, 2118_21, 2163_16_21, 2163_16_21, 2410_17_20, 2410_17_20, 800_21	1729_24	 	 	 	 
Desulfovibrio sp. 3_1_syn3 (457398.5)	3_1	1066_6	500_9	1067_10_13, 1086_10_13	 	1067_10_13, 1086_10_13	1065_24	1297_21, 2663_21, 575_21, 727_17_20, 727_17_20, 812_21, 902_16_21, 902_16_21	1065_24	 	 	 	 
Arcobacter butzleri ED-1 (944546.4)	361_1	1868	1504_9	1942_10_13	 	1942_10_13	1139_24	149_21, 1839_21, 1943_17_20, 1943_17_20, 878_21	1139_24	 	 	 	 
Arcobacter butzleri JV22 (888827.3)	1673_1	1911_6	327_9	1991_10_13	 	1991_10_13	817_24	1429_21, 1882_21, 2336_17_20, 2336_17_20, 525_21	817_24	 	 	 	 
Arcobacter butzleri RM4018 (367737.6)	376_1	1998_6	1586	2080_10_13	 	2080_10_13	1197_24	156_21, 2081_17_20, 2081_17_20, 911_21	1197_24	 	 	 	 
Campylobacter coli BIGS0003 (1247729.4)	532_1	1057_6	285_9	598_10_13	 	598_10_13	1209_24	1570_21, 434_21, 597_17_20, 597_17_20	1209_24	 	 	 	 
Campylobacter coli 1098 (887291.3)	992_1	356_6	1651_9	1065_10_13	 	1065_10_13	213_24	1064_17_20, 1064_17_20, 1716_21, 275_21	213_24	 	 	 	 
Campylobacter coli 111-3 (887280.3)	558_1	1217_6	1402_9	1249_10_13	 	1249_10_13	160_24	1067_21, 115_21, 1250_17_20, 1250_17_20	160_24	 	 	 	 
Campylobacter coli 1148 (887292.3)	133_1	631_6	1044_9	1278_10_13	 	1278_10_13	1375_24	1006_21, 1279_17_20, 1279_17_20, 1545_21	1375_24	 	 	 	 
Campylobacter coli 132-6 (887282.3)	254_1	 	795_9	182_10_13	 	182_10_13	1338_24	1030_21, 183_17_20, 183_17_20, 806_21	1338_24	 	 	 	 
Campylobacter coli 1417 (887293.3)	357_1	1117_6	1416_9	981_10_13	 	981_10_13	661_24	1359_21, 1685_21, 982_17_20, 982_17_20	661_24	 	 	 	 
Campylobacter coli 151-9 (887285.3)	951_1	182_6	814_9	303_10_13	 	303_10_13	1405_24	1005_21, 1041_21, 302_17_20, 302_17_20	1405_24	 	 	 	 
Campylobacter coli 1891 (887294.3)	881_1	 	1284_9	561_10_13	 	561_10_13	1328_24	1516_21, 562_17_20, 562_17_20, 959_21	1328_24	 	 	 	 
Campylobacter coli 1909 (887295.3)	1275_1	8_6	489_9	1395_10_13	 	1395_10_13	938_24	1006_21, 109_21, 1396_17_20, 1396_17_20	938_24	 	 	 	 
Campylobacter coli 1948 (887296.3)	446_1	1444_6	1078_9	1356_10_13	 	1356_10_13	1213_24	1125_21, 1357_17_20, 1357_17_20, 211_21	1213_24	 	 	 	 
Campylobacter coli 1957 (887297.3)	696_1	628_6	1282_9	497_10_13	 	497_10_13	577_24	1507_21, 498_17_20, 498_17_20, 845_21	577_24	 	 	 	 
Campylobacter coli 1961 (887298.3)	537_1	1642_6	1072_9	631_10_13	 	631_10_13	890_24	181_21, 6_21, 632_17_20, 632_17_20	890_24	 	 	 	 
Campylobacter coli 202/04 (887299.3)	359_1	940_6	840_9	431_10_13	 	431_10_13	1584_24	1147_21, 1651_21, 430_17_20, 430_17_20	1584_24	 	 	 	 
Campylobacter coli 2548 (887315.3)	403_1	 	502_9	867_10_13	 	867_10_13	1601_24	1004_21, 1467_21, 866_17_20, 866_17_20	1601_24	 	 	 	 
Campylobacter coli 2553 (887316.3)	148_1	1548_6	914_9	1186_10_13	 	1186_10_13	1398_24	1185_17_20, 1185_17_20, 1355_21, 1665_21	1398_24	 	 	 	 
Campylobacter coli 2680 (887317.3)	329_1	1562_6	1069_9	159_10_13	 	159_10_13	600_24	1169_21, 160_17_20, 160_17_20, 57_21	600_24	 	 	 	 
Campylobacter coli 2685 (887318.3)	299_1	666_6	1653_9	1017_10_13	 	1017_10_13	1368_24	1016_17_20, 1016_17_20, 237_21, 698_21	1368_24	 	 	 	 
Campylobacter coli 2698 (887321.3)	213_1	 	17_9	141_10_13	 	141_10_13	1348_24	1202_21, 142_17_20, 142_17_20, 703_21	1348_24	 	 	 	 
Campylobacter coli 317/04 (887300.3)	120_1	1434_6	1649_9	48_10_13	 	48_10_13	1038_24	1559_21, 49_17_20, 49_17_20, 979_21	1038_24	 	 	 	 
Campylobacter coli 37/05 (887301.3)	331_1	1429_6	664_9	1551_10_13	 	1551_10_13	245_24	1198_21, 1552_17_20, 1552_17_20, 993_21	245_24	 	 	 	 
Campylobacter coli 59-2 (887283.3)	933_1	582_6	663_9	246_10_13	 	246_10_13	438_24	245_17_20, 245_17_20, 500_21, 551_21	438_24	 	 	 	 
Campylobacter coli 7--1 (887281.3)	278_1	 	588_9	350_10_13	 	350_10_13	90_24	1103_21, 1344_21, 349_17_20, 349_17_20	90_24	 	 	 	 
Campylobacter coli 84-2 (887287.3)	309_1	464_6	30_9	810_10_13	 	810_10_13	1322_24	1407_21, 740_21, 811_17_20, 811_17_20	1322_24	 	 	 	 
Campylobacter coli 86119 (887289.3)	369_1	1119_6	816_9	296_10_13	 	296_10_13	1398_24	1614_21, 297_17_20, 297_17_20, 914_21	1398_24	 	 	 	 
Campylobacter coli 90-3 (887286.3)	257_1	1335_6	163_9	329_10_13	 	329_10_13	924_24	1436_21, 328_17_20, 328_17_20, 706_21	924_24	 	 	 	 
Campylobacter coli H56 (887312.3)	272_1	971_6	1205_9	200_10_13	 	200_10_13	895_24	1083_21, 201_17_20, 201_17_20, 957_21	895_24	 	 	 	 
Campylobacter coli H6 (887309.3)	90_1	 	827_9	235_10_13	 	235_10_13	1437_24	1508_21, 234_17_20, 234_17_20, 917_21	1437_24	 	 	 	 
Campylobacter coli LMG 23336 (887303.3)	154_1	461_6	770_9	1396_10_13	 	1396_10_13	1272_24	1397_17_20, 1397_17_20, 1579_21, 921_21	1272_24	 	 	 	 
Campylobacter coli LMG 23341 (887304.3)	260_1	1469_6	362_9	188_10_13	 	188_10_13	1416_24	1599_21, 189_17_20, 189_17_20, 726_21	1416_24	 	 	 	 
Campylobacter coli LMG 23342 (887305.3)	241_1	690_6	1214_9	767_10_13	 	767_10_13	369_24	1329_21, 766_17_20, 766_17_20, 851_21	369_24	 	 	 	 
Campylobacter coli LMG 9853 (887307.3)	283_1	1402_6	189_9	355_10_13	 	355_10_13	843_24	354_17_20, 354_17_20, 553_21, 748_21	843_24	 	 	 	 
Campylobacter coli LMG 9854 (887302.3)	137_1	544_6	367_9	65_10_13	 	65_10_13	1472_24	1351_21, 1623_21, 66_17_20, 66_17_20	1472_24	 	 	 	 
Campylobacter coli LMG 9860 (887308.3)	1182_1	535_6	1319_9	1110_10_13	 	1110_10_13	520_24	1111_17_20, 1111_17_20, 1342_21, 469_21	520_24	 	 	 	 
Campylobacter coli RM2228 (306254.7)	1022_1	17_6	1194_9	899_10_13	 	899_10_13	1071_24	1094_21, 180_21, 900_17_20, 900_17_20	1071_24	 	 	 	 
Campylobacter coli Z156 (887313.3)	1252_1	304_6	1452_9	52_10_13	 	52_10_13	503_24	1197_21, 1210_21, 53_17_20, 53_17_20	503_24	 	 	 	 
Campylobacter coli Z163 (887314.3)	52_1	1319_6	545_9	105_10_13	 	105_10_13	227_24	104_17_20, 104_17_20, 1226_21, 290_21	227_24	 	 	 	 
Campylobacter concisus 13826 (360104.9)	350_1	577_6	365_9	601_10_13	 	601_10_13	501_24	1038_21, 152_21, 602_17_20, 602_17_20	501_24	 	 	 	 
Campylobacter concisus UNSWCD (929793.3)	370_1	116	1571_9	536_10_13	 	536_10_13	150_24	1005_21, 1317_21, 1590_21, 535_17_20, 535_17_20, 805_20	150_24	 	 	 	 
Campylobacter curvus 525.92 (360105.8)	457_1	586_6	2028_9	1658_10_13	 	1658_10_13	1565_24	1012_21, 1657_17_20, 1657_17_20, 217_21	1565_24	 	 	 	 
Campylobacter curvus DSM 6644 (1121268.3)	1327_1	1198	1659_9	244_10_13	 	244_10_13	319_24	1888_21, 245_17_20, 245_17_20, 555_21	319_24	 	 	 	 
Campylobacter fetus subsp. fetus 82-40 (360106.6)	1304_1	1225_6	1693	264_10_13	 	264_10_13	1461_24	263_17_20, 263_17_20, 287_21, 869_21	1461_24	 	 	 	 
Campylobacter fetus subsp. venerealis NCTC 10354 (983328.4)	1521_1	1436_6	1996	341_10_13	 	341_10_13	1732_24	1032_21, 340_17_20, 340_17_20, 365_21	1732_24	 	 	 	 
Campylobacter gracilis RM3268 (553220.3)	1380_1	2503_6	1484_9	325_10_13	 	325_10_13	2083_24	1966_20, 324_17_20, 324_17_20, 439_21, 777_21	2083_24	 	 	 	 
Campylobacter hominis ATCC BAA-381 (360107.7)	54_1	468_6	111	1252_10_13	 	1252_10_13	1604_24	1251_17_20, 1251_17_20, 213_21, 890_21	1604_24	 	 	 	 
Campylobacter jejuni RM1221 (195099.5)	435_1	993_6	1824	362_10_13	 	362_10_13	129_24	150_21, 363_17_20, 363_17_20, 866_21	129_24	 	 	 	 
Campylobacter jejuni str. NCCP No. 15742 (1293289.3)	374_1	862_6	1561_9	302_10_13	 	302_10_13	124_24	146_21, 303_17_20, 303_17_20, 736_21	124_24	 	 	 	 
Campylobacter jejuni subsp. doylei 269.97 (360109.10)	1551_1	920_6	1977_9	1627_10_13	 	1627_10_13	137_24	1247_21, 160_21, 1626_17_20, 1626_17_20	137_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 04197 (1111075.3)	831_1	776_6	44_9	168_10_13	 	168_10_13	508_24	1030_21, 169_17_20, 169_17_20, 1759_21, 1835_20, 1836_20	508_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 04199 (1111076.3)	1454_1	580_6	667_9	1013_10_13	 	1013_10_13	921_24	1012_17_20, 1012_17_20, 1389_21, 1843_20, 1844_20, 1845_20, 824_21	921_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 110-21 (889214.3)	1637_1	126_6	1242_9	587_10_13	 	587_10_13	1134_24	1555_21, 1659_20, 1660_20, 586_17_20, 586_17_20, 744_21	1134_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1213 (889230.3)	1224_1	576_6	973_9	1029_10_13	 	1029_10_13	826_24	1030_17_20, 1030_17_20, 256_21, 590_21	826_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 129-258 (889213.3)	1577_1	1067_6	370	55_10_13	 	55_10_13	505_24	1489_21, 476_21, 56_17_20, 56_17_20	505_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1336 (683082.3)	1563_1	476_6	1294_9	1491_10_13	 	1491_10_13	978_24	1347_21, 1492_17_20, 1492_17_20, 181_21	978_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 140-16 (889215.3)	944_1	1464_6	1183_9	1095_10_13	 	1095_10_13	1609_24	1094_17_20, 1094_17_20, 1375_21, 323_21	1609_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1854 (889233.3)	4_1	216_6	163_9	78_10_13	 	78_10_13	1454_24	1188_21, 1538_21, 77_17_20, 77_17_20	1454_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1893 (889234.3)	769_1	818_6	1368_9	1540_10_13	 	1540_10_13	1589_24	1541_17_20, 1541_17_20, 506_21, 994_21	1589_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1997-1 (889221.3)	767_1	446_6	1315_9	545_10_13	 	545_10_13	851_24	546_17_20, 546_17_20, 753_21, 839_21	851_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1997-11 (889225.3)	967_1	1414_6	299	1490_10_13	 	1490_10_13	1124_24	1216_21, 1491_17_20, 1491_17_20, 6_21, 901_20	1124_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 1997-7 (889223.3)	665_1	1387_6	1237	592_10_13	 	592_10_13	1486_24	1404_21, 1466_21, 593_17_20, 593_17_20	1486_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 2008-1025 (889250.3)	128_1	40_6	774_9	198_10_13	 	198_10_13	906_24	1317_21, 1466_21, 197_17_20, 197_17_20	906_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 2008-831 (889255.3)	291_1	1217_6	720_9	361_10_13	 	361_10_13	941_24	1569_21, 360_17_20, 360_17_20, 817_21	941_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 2008-894 (889251.3)	1001_1	147_6	280_9	1070_10_13	 	1070_10_13	1602_24	1069_17_20, 1069_17_20, 1328_21, 1452_21	1602_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 51037 (889227.3)	880_1	1547_6	661_9	1082_10_13	 	1082_10_13	1044_24	1083_17_20, 1083_17_20, 1242_21, 1616_21	1044_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 53161 (889220.3)	1617_1	 	1371_9	529_10_13	 	529_10_13	15_24	1174_21, 1217_20, 1218_20, 1219_20, 332_21, 530_17_20, 530_17_20	15_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 55037 (889218.3)	1054_1	873_6	1345_9	226_10_13	 	226_10_13	745_24	1481_21, 227_17_20, 227_17_20, 768_21, 937_20	745_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 60004 (889217.3)	1049_1	355_6	1069_9	594_10_13	 	594_10_13	620_24	1532_21, 474_21, 595_17_20, 595_17_20	620_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 6399 (1111074.3)	1393_1	1285_6	460_9	338_10_13	 	338_10_13	912_24	122_20, 123_20, 124_20, 1570_21, 1689_21, 337_17_20, 337_17_20	912_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17)	405_1	918, 919	1687	330_10_13	 	330_10_13	147_24	170_21, 331_17_20, 331_17_20, 786_21	147_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 81116 (407148.6)	371_1	840_6	1543_9	301_10_13	 	301_10_13	126_24	150_21, 302_17_20, 302_17_20, 720_21	126_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 84-25 (360110.4)	1203_1	1491_6	73_9	1273_10_13	 	1273_10_13	1454_24	1272_17_20, 1272_17_20, 1332_21, 1618_21, 264_20, 265_17	1454_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 86605 (889219.3)	1459_1	1172_6	1193_9	544_10_13	 	544_10_13	1544_24	1310_21, 1500_21, 545_17_20, 545_17_20	1544_24	 	 	 	 
Campylobacter jejuni subsp. jejuni 87330 (889228.3)	547_1	967_6	1388_9	617_10_13	 	617_10_13	1297_24	1345_21, 1435_21, 616_17_20, 616_17_20	1297_24	 	 	 	 
Campylobacter jejuni subsp. jejuni CG8421 (478547.3)	755_1	1231	388_9	830_10_13	 	830_10_13	1385_24	1510_21, 1683_21, 829_17_20, 829_17_20	1385_24	 	 	 	 
Campylobacter jejuni subsp. jejuni CG8486 (398000.3)	1130_1	1259, 1260	220_9	1056_10_13	 	1056_10_13	915_24	1057_17_20, 1057_17_20, 1741_21, 935_21	915_24	 	 	 	 
Campylobacter jejuni subsp. jejuni D2600 (1093789.3)	1653_1	254_6	718_9	358_10_13	 	358_10_13	979_24	1119_21, 1278_21, 357_17_20, 357_17_20	979_24	 	 	 	 
Campylobacter jejuni subsp. jejuni DFVF1099 (691336.3)	1736_1	934_6	808_9	80_10_13	 	80_10_13	1465_24	213_21, 683_21, 755_20, 756_20, 757_20, 79_17_20, 79_17_20	1465_24	 	 	 	 
Campylobacter jejuni subsp. jejuni H22082 (885274.3)	45_1	1036_6	1462_9	117_10_13	 	117_10_13	472_24	116_17_20, 116_17_20, 1384_21, 1600_21	472_24	 	 	 	 
Campylobacter jejuni subsp. jejuni IA3902 (567106.3)	381_1	881_6	1599_9	311_10_13	 	311_10_13	128_24	148_21, 312_17_20, 312_17_20, 753_21	128_24	 	 	 	 
Campylobacter jejuni subsp. jejuni ICDCCJ07001 (757425.3)	445_1	1009, 1010	1805	368_10_13	 	368_10_13	185_24	212_21, 369_17_20, 369_17_20, 872_21	185_24	 	 	 	 
Campylobacter jejuni subsp. jejuni ICDCCJ07002 (1295394.3)	1313_1	136_6	855	1243_10_13	 	1243_10_13	1075_24	1096_21, 1244_17_20, 1244_17_20, 19_21	1075_24	 	 	 	 
Campylobacter jejuni subsp. jejuni ICDCCJ07004 (1295400.3)	820_1	310_6	395_9	1103_10_13	 	1103_10_13	1192_24	1102_17_20, 1102_17_20, 1210_21, 1541_21	1192_24	 	 	 	 
Campylobacter jejuni subsp. jejuni LMG 23210 (889237.3)	1072_1	711_6	1172_9	1001_10_13	 	1001_10_13	1410_24	1002_17_20, 1002_17_20, 1809_20, 1810_20, 784_21, 798_21	1410_24	 	 	 	 
Campylobacter jejuni subsp. jejuni LMG 23211 (889238.3)	575_1	184_6	788_9	503_10_13	 	503_10_13	636_24	1248_21, 1601_21, 504_17_20, 504_17_20	636_24	 	 	 	 
Campylobacter jejuni subsp. jejuni LMG 23216 (889239.3)	518_1	 	1094_9	446_10_13	 	446_10_13	11_24	1341_21, 1435_21, 447_17_20, 447_17_20	11_24	 	 	 	 
