Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Staphylococcus aureus M1215 (1158476.3)	1754	 	 	 	 	 	 	 	 	 	661	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1825_49	 	 	1646, 1647	 	 	 	 
Staphylococcus aureus M1216 (1158477.3)	1981	 	 	 	 	 	 	 	 	 	1011	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2053_49	 	 	1874	 	 	 	 
Staphylococcus aureus M1223 (1169268.3)	461	 	 	 	 	 	 	 	 	 	2192	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	531_49	 	 	357	 	 	 	 
Staphylococcus aureus M1224 (1169269.3)	2529	 	 	 	 	 	 	 	 	 	1462	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2600_49	 	 	2422, 2423	 	 	 	 
Staphylococcus aureus M1228 (1303785.3)	568	 	 	 	 	 	 	 	 	 	2171	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	637_49	 	 	 	 	 	 	 
Staphylococcus aureus M1229 (1158478.3)	1718	 	 	 	 	 	 	 	 	 	661	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1789_49	 	 	 	 	 	 	 
Staphylococcus aureus M1244 (1169270.3)	2628	 	 	 	 	 	 	 	 	 	1598	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2700_49	 	 	2523	 	 	 	 
Staphylococcus aureus M1248 (1158479.3)	2532	 	 	 	 	 	 	 	 	 	1446	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2603_49	 	 	2426	 	 	 	 
Staphylococcus aureus M1253 (1158480.3)	751	 	 	 	 	 	 	 	 	 	2405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	822_49	 	 	643, 644	 	 	 	 
Staphylococcus aureus M1255 (1158481.3)	2605	 	 	 	 	 	 	 	 	 	1583	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2675_49	 	 	 	 	 	 	 
Staphylococcus aureus M1256 (1169271.3)	521	 	 	 	 	 	 	 	 	 	1607	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	449_49	 	 	 	 	 	 	 
Staphylococcus aureus M1257 (1158482.3)	2493	 	 	 	 	 	 	 	 	 	1457	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2564_49	 	 	2385, 2386	 	 	 	 
Staphylococcus aureus M1275 (1169272.3)	2553	 	 	 	 	 	 	 	 	 	1520	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2624_49	 	 	 	 	 	 	 
Staphylococcus aureus M1277 (1158483.3)	2090	 	 	 	 	 	 	 	 	 	1024	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2160_49	 	 	1982, 1983	 	 	 	 
Staphylococcus aureus M1286 (1169273.3)	2512	 	 	 	 	 	 	 	 	 	1456	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2583_49	 	 	2405, 2406	 	 	 	 
Staphylococcus aureus M1291 (1158484.3)	2504	 	 	 	 	 	 	 	 	 	1469	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2576_49	 	 	 	 	 	 	 
Staphylococcus aureus M1309 (1169274.3)	2579	 	 	 	 	 	 	 	 	 	1550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2649_49	 	 	 	 	 	 	 
Staphylococcus aureus M1311 (1158485.3)	597	 	 	 	 	 	 	 	 	 	1662	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	531_49	 	 	707	 	 	 	 
Staphylococcus aureus M1320 (1158486.3)	2136	 	 	 	 	 	 	 	 	 	1059	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2207_49	 	 	 	 	 	 	 
Staphylococcus aureus M1321 (1158487.3)	2633	 	 	 	 	 	 	 	 	 	1609	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2703_49	 	 	 	 	 	 	 
Staphylococcus aureus M1322 (1158488.3)	1714	 	 	 	 	 	 	 	 	 	681	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1785_49	 	 	1608	 	 	 	 
Staphylococcus aureus M1359 (1158489.3)	755	 	 	 	 	 	 	 	 	 	2361	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	826_49	 	 	650	 	 	 	 
Staphylococcus aureus M1367 (1158490.3)	2135	 	 	 	 	 	 	 	 	 	1092	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2207_49	 	 	2030	 	 	 	 
Staphylococcus aureus M1373 (1158491.3)	414	 	 	 	 	 	 	 	 	 	2052	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	485_49	 	 	307	 	 	 	 
Staphylococcus aureus M1374 (1169275.3)	2525	 	 	 	 	 	 	 	 	 	1436	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2596_49	 	 	 	 	 	 	 
Staphylococcus aureus M1394 (1158492.3)	763	 	 	 	 	 	 	 	 	 	2351	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	833_49	 	 	 	 	 	 	 
Staphylococcus aureus M1405 (1169276.3)	2525	 	 	 	 	 	 	 	 	 	1444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2596_49	 	 	 	 	 	 	 
Staphylococcus aureus M1407 (1303786.3)	597	 	 	 	 	 	 	 	 	 	2207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	668_49	 	 	491, 492	 	 	 	 
Staphylococcus aureus M1450 (1158493.3)	2098	 	 	 	 	 	 	 	 	 	1008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2168_49	 	 	 	 	 	 	 
Staphylococcus aureus M1451 (1158494.3)	2559	 	 	 	 	 	 	 	 	 	1491	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2630_49	 	 	2452	 	 	 	 
Staphylococcus aureus M1462 (1158495.3)	2574	 	 	 	 	 	 	 	 	 	1601	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2645_49	 	 	2467	 	 	 	 
Staphylococcus aureus M1463 (1158496.3)	2358	 	 	 	 	 	 	 	 	 	1264	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2428_49	 	 	 	 	 	 	 
Staphylococcus aureus M1466 (1303787.3)	2660	 	 	 	 	 	 	 	 	 	1609	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2731_49	 	 	2557	 	 	 	 
Staphylococcus aureus M1481 (1158497.3)	2093	 	 	 	 	 	 	 	 	 	1005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2164_49	 	 	1987	 	 	 	 
Staphylococcus aureus M1510 (1169277.3)	2616	 	 	 	 	 	 	 	 	 	1556	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2687_49	 	 	 	 	 	 	 
Staphylococcus aureus M1520 (1158498.3)	456	 	 	 	 	 	 	 	 	 	2033	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus M1521 (1158499.3)	2191	 	 	 	 	 	 	 	 	 	1144	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2263_49	 	 	2086	 	 	 	 
Staphylococcus aureus M1531 (1158500.3)	2370	 	 	 	 	 	 	 	 	 	1338	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2441_49	 	 	 	 	 	 	 
Staphylococcus aureus M1533 (1158501.3)	2095	 	 	 	 	 	 	 	 	 	1068	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2166_49	 	 	 	 	 	 	 
Staphylococcus aureus M1544 (1158502.3)	2591	 	 	 	 	 	 	 	 	 	1550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2663_49	 	 	2485	 	 	 	 
Staphylococcus aureus M1556 (1158503.3)	2541	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2612_49	 	 	 	 	 	 	 
Staphylococcus aureus M1563 (1158504.3)	37	 	 	 	 	 	 	 	 	 	1657	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	108_49	 	 	 	 	 	 	 
Staphylococcus aureus M1565 (1158505.3)	869	 	 	 	 	 	 	 	 	 	2558	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	939_49	 	 	763	 	 	 	 
Staphylococcus aureus M1578 (1158506.3)	2533	 	 	 	 	 	 	 	 	 	1477	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2604_49	 	 	 	 	 	 	 
Staphylococcus aureus M2 (1233245.3)	1078, 1241	 	 	 	 	 	 	 	 	 	2028	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2699_49	 	 	 	 	 	 	 
Staphylococcus aureus NN54 (1161392.3)	1651	 	 	 	 	 	 	 	 	 	2160	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1693_49	 	 	 	 	 	 	 
Staphylococcus aureus O11 (948561.3)	550	 	 	 	 	 	 	 	 	 	734	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus O46 (948563.3)	560	 	 	 	 	 	 	 	 	 	850	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PM1 (1147034.3)	1982	 	 	 	 	 	 	 	 	 	1007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1812_49	 	 	268	 	 	 	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	2832	 	 	 	 	 	 	 	 	 	1623	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2913_49, 2914_49	 	 	2702	 	 	 	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	2882	 	 	 	 	 	 	 	 	 	1685	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2959_49, 2960_49	 	 	2750	 	 	 	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	2563	 	 	 	 	 	 	 	 	 	1555	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2636_49	 	 	 	 	 	 	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	2825	 	 	 	 	 	 	 	 	 	1556	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2896_49, 2897_49	 	 	2696	 	 	 	 
Staphylococcus aureus RF122 (273036.3)	2430	 	 	 	 	 	 	 	 	 	1303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2499_49	 	 	 	 	 	 	 
Staphylococcus aureus ST228/10388 (1075076.3)	2469	 	 	 	 	 	 	 	 	 	1432	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2542_49	 	 	 	 	 	 	 
Staphylococcus aureus ST228/10497 (1075077.3)	2473	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2546_49	 	 	 	 	 	 	 
Staphylococcus aureus ST228/15532 (1075078.3)	2464	 	 	 	 	 	 	 	 	 	1435	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2537_49	 	 	 	 	 	 	 
Staphylococcus aureus ST228/16035 (1075079.3)	2461	 	 	 	 	 	 	 	 	 	1431	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2533_49	 	 	 	 	 	 	 
Staphylococcus aureus ST228/18412 (1075082.3)	2468	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2540_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	2613	 	 	 	 	 	 	 	 	 	1577	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	68_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	167	 	 	 	 	 	 	 	 	 	475	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1310_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	256	 	 	 	 	 	 	 	 	 	1072	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1762_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	761	 	 	 	 	 	 	 	 	 	1200	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1055_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	2200	 	 	 	 	 	 	 	 	 	1359	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1865_49	 	 	2094	 	 	 	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	2560	 	 	529_4	 	 	 	 	 	 	1565	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2632_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	1897	 	 	 	 	 	 	 	 	 	463	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1825_49	 	 	2392	 	 	 	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	1828	 	 	 	 	 	 	 	 	 	82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1785_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	2780	 	277_3	 	 	 	 	 	 	 	1719	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	72_49	 	 	2671	 	 	 	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	2511	 	 	 	 	 	 	 	 	 	705	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1527_49	 	 	2406	 	 	 	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	1492	 	 	 	 	 	 	 	 	 	92	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1566_49	 	 	999	 	 	 	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	1119	 	 	 	 	 	 	 	 	 	1419	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	359_49	 	 	1013	 	 	 	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	1981	 	 	1063_4	 	 	 	 	 	 	303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	992_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	1918	 	 	2352_4	 	 	 	 	 	 	991	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1995_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	949	 	 	 	 	 	 	 	 	 	1961	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	231_49	 	 	1494	 	 	 	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	136	 	 	692_4	 	 	 	 	 	 	431	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1339_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	846	 	 	1386_4	 	 	 	 	 	 	332	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1941_49	 	 	1320	 	 	 	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	1551	 	 	 	 	 	 	 	 	 	2433	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	259_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	1895	 	 	 	 	 	 	 	 	 	669	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2469_49	 	 	1603	 	 	 	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	1663	 	 	 	 	 	 	 	 	 	2131	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	256_49	 	 	1558	 	 	 	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	1053	 	 	 	 	 	 	 	 	 	2358	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	982_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	2374	 	 	 	 	 	 	 	 	 	412	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	954_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	518	 	 	2082_4	 	 	 	 	 	 	369	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2226_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	1768	 	 	 	 	 	 	 	 	 	1238	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	470_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	511	 	 	 	 	 	 	 	 	 	717	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1342_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	363	 	 	1947_4	 	 	 	 	 	 	780	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	494_49	 	 	255	 	 	 	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	2109	 	 	17_4	 	 	 	 	 	 	2511	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	621	 	 	 	 	 	 	 	 	 	293	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	693_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	266	 	 	 	 	 	 	 	 	 	1477	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1075_49	 	 	372	 	 	 	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	2324	 	 	 	 	 	 	 	 	 	200	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2469_49	 	 	634	 	 	 	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	356	 	 	1634_4	 	 	 	 	 	 	2365	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	1692	 	 	 	 	 	 	 	 	 	1084	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	991_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	716	 	 	 	 	 	 	 	 	 	845	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1005_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	2451	 	 	 	 	 	 	 	 	 	559	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	208_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	1748	 	 	 	 	 	 	 	 	 	2288	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1820_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	325	 	 	 	 	 	 	 	 	 	1249	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	396_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	321	 	 	 	 	 	 	 	 	 	1766	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14_49	 	 	426	 	 	 	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	1354, 1355	 	 	 	 	 	 	 	 	 	1946	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1424_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	636	 	 	 	 	 	 	 	 	 	2023	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	708_49	 	 	952	 	 	 	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	221	 	 	 	 	 	 	 	 	 	294	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	331_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	68	 	 	 	 	 	 	 	 	 	1294	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2180_49	 	 	173	 	 	 	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	2033	 	 	 	 	 	 	 	 	 	1836	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2230_49	 	 	2139	 	 	 	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	134	 	 	 	 	 	 	 	 	 	2102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	211_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	107	 	 	 	 	 	 	 	 	 	2128	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	187_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	905	 	 	 	 	 	 	 	 	 	1831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	538	 	 	 	 	 	 	 	 	 	2100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	617_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	2404	 	 	 	 	 	 	 	 	 	1383	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2473_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	2258	 	 	 	 	 	 	 	 	 	1174	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2333_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	1876	 	 	 	 	 	 	 	 	 	418	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1805_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	697	 	 	 	 	 	 	 	 	 	1717	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	773_49	 	 	568	 	 	 	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	2416	 	 	 	 	 	 	 	 	 	1151	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2493_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	105	 	 	 	 	 	 	 	 	 	1739	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	182_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	1026, 1027	 	 	 	 	 	 	 	 	 	1826	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	93_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	2621, 2622	 	 	 	 	 	 	 	 	 	785	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2694_49	 	 	2511	 	 	 	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	813	 	 	 	 	 	 	 	 	 	1284	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	882_49	 	 	707	 	 	 	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	740	 	 	 	 	 	 	 	 	 	203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	812_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	1659	 	 	 	 	 	 	 	 	 	118	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	885_49	 	 	1554	 	 	 	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	254	 	 	 	 	 	 	 	 	 	1247	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1572_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	456	 	 	 	 	 	 	 	 	 	2369	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	456	 	 	 	 	 	 	 	 	 	2111	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	526_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	488	 	 	 	 	 	 	 	 	 	2150	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	559_49	 	 	384	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	489	 	 	 	 	 	 	 	 	 	2075	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	560_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	454	 	 	 	 	 	 	 	 	 	2100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	525_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	456	 	 	 	 	 	 	 	 	 	2313	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	452	 	 	 	 	 	 	 	 	 	2061	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	523_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	462	 	 	 	 	 	 	 	 	 	2300	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	534_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	456	 	 	 	 	 	 	 	 	 	2195	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	2800	 	 	 	 	 	 	 	 	 	1681	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1059_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	456	 	 	 	 	 	 	 	 	 	2152	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	456	 	 	 	 	 	 	 	 	 	2243	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	527_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	623	 	 	 	 	 	 	 	 	 	2443	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	694_49	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	443	 	 	 	 	 	 	 	 	 	1969	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	511_49	 	 	 	 	 	 	 
