Organism	gdhA	proB	proA	proC	ocd1	ocd2
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968 (886715.3)	 	1379	1378	1313_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010 (885382.3)	 	3770	3769	3705_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018 (885381.3)	 	1461	1460	1395_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441 (882878.3)	 	1673	1674	1739_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1444 (886716.3)	 	1171	1172	1237_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1445 (886717.3)	 	4618	4617	4551_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1455 (886724.3)	 	4633	4632	4567_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1457 (885386.3)	 	1084	1085	1150_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543 (882877.3)	 	993	994	1059_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558 (885380.3)	 	1179	1180	1244_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1559 (886718.3)	 	4306	4307	4372_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1565 (886719.3)	 	4267	4268	4333_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566 (882875.3)	 	1125	1126	1190_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1575 (886725.3)	 	1520	1519	1454_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580 (882876.3)	 	1031	1032	1097_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594 (882874.3)	 	1023	1022	958_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1725 (886726.3)	 	1059	1060	1125_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729 (885383.3)	 	907	908	973_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1745 (886727.3)	 	1328	1329	1394_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1747 (885387.3)	 	1461	1460	1395_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1791 (886728.3)	 	4671	4670	4605_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1795 (886720.3)	 	1629	1628	1563_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1808 (886721.3)	 	3497	3498	3563_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810 (882879.3)	 	1591	1592	1657_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1811 (886722.3)	 	1737	1736	1672_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882 (882872.3)	 	3525	3526	3590_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884 (882873.3)	 	1340	1339	1275_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS4 (984213.3)	 	1222	1221	1156_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44 (702979.3)	2028, 2028	316	317	3165_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_56-3991 (925128.3)	 	2029	2030	2096_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_69-4941 (930768.3)	 	1450	1451	1515_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_76-3618 (925129.3)	 	4268	4269	4335_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_81-2490 (925131.3)	 	1412	1413	1478_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_N202 (925127.3)	 	2857	2858	4353_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. LA5 (1147754.3)	 	1902	1901	3246_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. PT23 (696868.4)	 	3063	3064	3128_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SARB17 (1029984.3)	 	4062	4061	2183_5, 2184_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SE10 (696865.3)	 	165	166	233_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SE15-1 (925126.3)	 	2341	2342	2406_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a (696870.3)	 	585	584	1408_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SL909 (925132.3)	 	4354	4355	4421_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. SL913 (925133.3)	 	1945	1946	673_5	 	 
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078 (1081093.3)	1653, 1653	2704	2703	2631_5	 	 
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 (550538.5)	1931_1, 1932_1	357	358	429_5	 	 
Salmonella enterica subsp. enterica serovar Gallinarum str. 9 (909947.3)	1947_1, 1948_1	361	362	430_5	 	 
Salmonella enterica subsp. enterica serovar Gallinarum str. 9184 (685040.3)	2074_1, 2075_1	2312	2313	2675_5	 	 
Salmonella enterica subsp. enterica serovar Hadar str. 2011K-0112 (1212559.4)	 	701	702	765_5	 	 
Salmonella enterica subsp. enterica serovar Hadar str. 2012K-0272 (1328328.3)	 	2737	2736	2299_5	 	 
Salmonella enterica subsp. enterica serovar Hartford str. 06-0676 (1212557.4)	 	930	931	1010_5	 	 
Salmonella enterica subsp. enterica serovar Hartford str. 2012K-0272 (1328329.3)	 	2830	2831	375_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. 41563 (1124941.3)	 	1726	1727	1845_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. 41565 (1128963.3)	 	3903	3902	3139_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. 41566 (1124942.3)	 	4029	4030	4148_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. 41573 (1128959.3)	 	2645	2646	2195_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. 41579 (1124937.3)	 	66	67	183_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 (1160717.4)	 	1040	1041	1155_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00322 (1182164.3)	 	4351	4350	4231_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00325 (1182167.3)	 	4674	4673	4557_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00326 (1182168.3)	 	4692	4691	4572_5, 4573_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00328 (1182170.3)	 	2144	2145	2263_5	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 (454169.8)	 	408	409	513_5	 	 
Salmonella enterica subsp. enterica serovar Infantis str. SARB27 (596155.6)	1329, 1329	332	333	390_5	 	 
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188 (439842.10)	 	4744	4745	4811_5	 	 
Salmonella enterica subsp. enterica serovar Mbandaka str. 2009K-0807 (1235459.3)	 	4136	4137	2783_5	 	 
Salmonella enterica subsp. enterica serovar Mississippi str. 2010K-1406 (1212561.4)	 	2246	2247	2292_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	 	1052	1053	1108_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	 	2725	2724	2450_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	 	269	270	325_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	 	1634	1635	1690_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	 	4468	4467	4413_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	 	1331	1330	236_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	 	959	960	1014_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	 	1109	1110	1422_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	 	3953	3952	3897_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	1349, 1349	1766	1765	1347_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	 	3559	3560	3615_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	 	2977	2978	3043_5, 3044_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	 	1720	1719	2312_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	 	290	289	234_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	 	596	597	652_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	 	2545	2546	2601_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	 	1853	1852	1797_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	 	1985	1986	2041_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	2202, 2202	985	986	1042_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	 	2571	2570	2515_5	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	 	4443	4442	4388_5	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	 	1627	1626	1562_5	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	 	1842	1843	1906_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	3606_1	3018	3017	1507_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	 	4354	4355	4421_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	 	2331	2332	2398_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	1794_1	4045	4046	4109_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	2810_1	2919	2920	2985_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	 	3867	3866	3802_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	3267_1	2740	2739	1021_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	2658_1	1026	1027	1091_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	 	3277	3276	3210_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	3748_1	2323	2324	2388_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	1199_1	75	76	140_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	 	2371	2370	2305_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	1244_1	2361	2360	2297_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	3340_1	2325	2326	2391_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	 	1395	1396	1462_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	 	3687	3686	3598_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	 	3453	3452	3386_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	 	2676	2675	2609_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	 	4354	4355	4419_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	4743_1	1204	1205	1272_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	2855_1	3607	3606	3542_5, 3543_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	1540_1	1893	1894	1957_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	3866_1	2694	2695	2759_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	 	3710	3711	3778_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	 	3662	3663	3252_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	 	2806	2805	2739_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	 	3208	3207	3131_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	2231_1	2425	2426	2490_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	1520_1	499	500	564_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	 	2549	2550	2617_5	 	 
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	791_1	3360	3361	3426_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	1128, 1128, 1622_1	2560	2559	2458_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	1149, 1149, 1649_1	2592	2591	2489_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	1152, 1152, 1647_1	2586	2585	2485_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	1082, 1082, 1585_1	2528	2527	2426_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	1077, 1077, 1576_1	2520	2519	2417_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	1082, 1082, 1588_1	2523	2522	2417_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	1094, 1094, 1600_1	2497	2496	2442_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	1172, 1172	2668	2667	2605_5	 	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	1986, 1986	385	386	449_5	 	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	 	3590	3591	3179_5	 	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	 	790	791	846_5	 	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	 	816	 	881_5	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	 	471	 	540_5	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	 	474	 	542_5	 	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	 	1597	1596	1542_5	 	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	1270_1	400	401	465_5	 	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	1464_1	4003	4002	2105_5	 	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	 	2598	 	451_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	1307, 1307	283	 	230_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	 	3013	 	3070_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	1937, 1937	361	 	416_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	4230, 4230	3173, 3174	 	3752_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	1180, 1180	2724	 	2669_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	4593, 4593	4354	2088	582_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	1188, 1188	2764	 	2706_5	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	1173, 1173	2709	 	2654_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	 	348	 	417_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	 	337	 	457_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	 	342	 	410_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	 	475	 	541_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	 	355	 	426_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	 	79	 	203_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	 	341	 	409_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	 	289	 	360_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	 	447	 	517_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	 	349	 	417_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	 	360	 	430_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	 	4990	 	401_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	 	287	 	357_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	 	362	 	433_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	 	286	 	355_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	 	342	 	461_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	 	2748	 	2621_5	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	 	344	 	411_5	 	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	3733_1	4728	4727	4656_5	 	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	1444, 1444	300	301	386_5	 	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	1164_1, 1806, 1806	304	305	315_5	 	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	1199_1, 1762, 1762	301	302	344_5	 	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	4410, 4410, 4962_1	1164	1163	1102_5	 	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	1521_1, 1761, 1761	809	808	1357_5	 	 
Shigella dysenteriae CDC 74-1112 (941429.3)	4239_1	826	827	3789_5	 	 
Shigella dysenteriae 155-74 (766142.3)	3961_1	4356	4355	4306_5	 	 
Shigella dysenteriae 1617 (754093.3)	 	2718	 	3712_5	 	 
Shigella dysenteriae 225-75 (766143.3)	2146_1	647	646	534_5	 	 
Shigella dysenteriae Sd197 (300267.13)	1811_1	559	 	418_5	 	 
Shigella flexneri CDC 796-83 (945360.3)	3786_1	2788	2787	219_5	 	 
Shigella flexneri 1485-80 (766155.3)	1713_1	448	449	515_5	 	 
Shigella flexneri 2002017 (591020.3)	1775_1, 1778_1	326	 	381_5	 	 
Shigella flexneri 2747-71 (766157.3)	1726_1, 1729_1	341	 	369_5	 	 
Shigella flexneri 2850-71 (766158.3)	1720_1	332	 	409_5	 	 
Shigella flexneri 2930-71 (766159.3)	1720_1, 1723_1	399	 	418_5	 	 
Shigella flexneri 2a str. 2457T (198215.9)	2270_1, 2273_1	4658	 	4631_5	 	 
Shigella flexneri 2a str. 301 (198214.7)	1720_1, 1723_1	334	 	370_5	 	 
Shigella flexneri 4343-70 (766160.3)	83_1	471	 	507_5	 	 
Shigella flexneri 5 str. 8401 (373384.11)	1679_1	319	 	396_5	 	 
Shigella flexneri 5a str. M90T (1086030.3)	1590_1	304	 	374_5	 	 
Shigella flexneri 6603-63 (766161.3)	1815_1, 1816_1	341	 	408_5	 	 
Shigella flexneri CCH060 (754091.3)	1714_1	397	398	416_5	 	 
Shigella flexneri J1713 (754092.3)	1765_1	324	 	347_5	 	 
Shigella flexneri K-218 (766146.3)	2382_1	641	 	690_5	 	 
Shigella flexneri K-227 (766147.3)	1782_1, 1783_1	258	 	290_5	 	 
Shigella flexneri K-272 (766148.3)	2138_1, 2139_1	615	 	645_5	 	 
Shigella flexneri K-304 (766149.3)	2022_1	403	 	452_5	 	 
Shigella flexneri K-315 (766150.3)	1617_1	237	238	288_5	 	 
Shigella flexneri VA-6 (766145.3)	2378_1	595	 	732_5	 	 
Shigella sonnei 3233-85 (766163.3)	1478_1	2108	 	373_5	 	 
Shigella sonnei 4822-66 (766164.3)	1457_1	289	 	377_5	 	 
Shigella sonnei Ss046 (300269.12)	1663_1	322	 	415_5	 	 
Shigella sonnei str. Moseley (754077.4)	1781_1	453	 	556_5	 	 
Yersinia bercovieri ATCC 43970 (349968.5)	 	2021	 	3832_5, 3833_5	 	 
Yersinia enterocolitica IP 10393 (1243181.3)	1246_1	2891	2890	3385_5	 	1112
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	 	3405	 	3647_5	 	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	3463_1	375	376	2841_5	 	3590
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	4101_1	1125	1126	3491_5	 	4234
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	1790_1	3427	3426	722_5	 	70
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	1987_1	4014	4013	3687_5	 	2228
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	501_1	1692	1693	369_5	 	1876
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	3131_1	2112	2111	2321_5	 	2996
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	3121_1	2111	2110	2327_5	 	2986
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	3129_1	2116	2115	2331_5	 	2994
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	3117_1	2113	2112	2327_5	 	2983
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	3101_1	2095	2094	2311_5	 	2967
Yersinia frederiksenii ATCC 33641 (349966.5)	1128_1	1383	1384	785_5	 	1262
Yersinia kristensenii ATCC 33638 (527012.3)	241_1, 508_1	3633	3632	2319_5	 	4194
Yersinia pseudotuberculosis B-6863 (1286086.3)	 	1914	 	1311_5, 1312_5	 	3089
Yersinia pseudotuberculosis B-7194 (1324608.3)	 	2862	 	787_5	 	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	 	254	 	1272_5	 	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	 	3630	 	1102_5	 	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	 	1170	 	3886_5	 	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	 	1021	 	3640_5	 	 
Yersinia pseudotuberculosis YPIII (502800.6)	 	3551	 	889_5	 	 
