Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Shigella flexneri K-272 (766148.3)	354, 4104	3105_2, 4839_2	3252, 3253	381	525	4924_8	3245	 	 	 	 	4379_17	 	3388	2915_21, 4362_22	 	 
Shigella flexneri K-304 (766149.3)	109, 4131, 4311	4951_2	3232	135	274	5037_8	3224	 	 	 	 	1436_17	 	3594	2903_21, 4501_22, 4502_22	 	 
Shigella flexneri K-315 (766150.3)	3928, 4767, 4980	2693_2, 4498_2	2862	24	161	4587_8	2855	 	 	 	 	4079_17	 	3664	2483_21, 4059_22	 	 
Shigella flexneri VA-6 (766145.3)	339, 4214	3180_2, 4800_2	3325	365	501	5035_8	3318	 	 	 	 	4467_17	 	3718	3006_21, 4447_22	 	 
Shigella sonnei 3233-85 (766163.3)	292, 4562, 5052	2699_2, 3973_2	2945	24	169	3875_8	2938	 	 	 	 	4418_17	 	3356	2514_21, 4437_22	 	 
Shigella sonnei 4822-66 (766164.3)	4285, 4371, 4755	2411_2, 3828_2	2609	18	166	3616_8	2602	 	 	 	 	4142_17	 	3090	2189_21, 4161_22	 	 
Shigella sonnei Ss046 (300269.12)	1, 4885, 4975	2859_2, 4364_2	3071	43	212	4124_8	3063	 	 	 	 	4723_17	 	3567	2659_21, 4746_22	 	 
Shigella sonnei str. Moseley (754077.4)	147, 5084, 5176	3014_2, 4423_2	3218	185	346	4308_8	3211	 	 	 	 	4888_17	 	3763	2820_21, 4907_22	 	 
Yersinia bercovieri ATCC 43970 (349968.5)	196, 3846, 406	1507_2	1404	175	2459	654_8	1417	 	 	 	 	2314_17	 	1244	1858_21	 	 
Yersinia enterocolitica IP 10393 (1243181.3)	1032, 3633, 3977	1282_2, 624_2	272	3653	9	1354_8	291	 	 	 	 	895_17	 	3857	465_21, 908_22	 	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	203, 4121, 694	4277_2	1239	714	3497	4210_8	1249	 	 	 	 	282_17	 	3541	1587_21	 	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	3281, 3954, 79	2241_2, 3429_2	2411	98	2707	3362_8	2401	 	 	 	 	4086_17	 	2745	2087_21	 	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	118, 3904, 632	3052_2, 4066_2	3232	654	1025	3991_8	3213	 	 	 	 	201_17	 	978	214_22, 2886_21	 	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	1447, 288, 950	1828_2, 3155_2	4152	1467	1706	1032_8	2613	 	 	 	 	166_17	 	1664	179_22, 2673_21	 	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	1654, 4144, 54	2026_2, 449_2	1180	1674	1931	2098_8	303	 	 	 	 	240_17	 	1891	227_22, 613_21	 	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	1117, 2871, 3659	539_2, 917_2	2210	326	2969	1437_8	3766	 	 	 	 	3972_17	 	3486	2101_21, 4017_22	 	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	2764, 2801, 3812	177_2, 3166_2	8	3832	4077	3239_8, 3240_8	25	 	 	 	 	3375_17	 	4034	3388_22, 339_21	 	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	2751, 2788, 3819	179_2, 3157_2	8	3840	4092	3232_8	27	 	 	 	 	3372_17	 	4046	3385_22, 346_21	 	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	2758, 2795, 3825	178_2, 3165_2	8	3846	4101	3239_8	28	 	 	 	 	3379_17	 	4057	3392_22, 344_21	 	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	2750, 2787, 3814	177_2, 3153_2	8	3835	4086	3227_8	26	 	 	 	 	3367_17	 	4041	3380_22, 341_21	 	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	2735, 2772, 3803	178_2, 3139_2	8	3823	4079	3214_8	27	 	 	 	 	3354_17	 	4034	3367_22, 343_21	 	 
Yersinia frederiksenii ATCC 33641 (349966.5)	3124, 33, 3463	2157_2, 2494_2, 2495_2	1562, 3619	54	649	2426_8	1553	 	 	 	 	2888_17	 	693	2901_22, 3208_21	 	 
Yersinia kristensenii ATCC 33638 (527012.3)	3215, 3583, 3720	2970_2, 4608_2	2677	3740	3065	2837_8	4631	 	 	 	 	2682_17	 	3871	1053_21, 2695_22	 	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	1103, 2662, 596	1701_2, 2716_2	3246	979	2528	923_8	3237	 	 	 	 	362_17	 	396	1269_21	 	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	1718, 2109, 3183	1358_2	2208	427	914	3534_8	2216	 	 	 	 	4027_17	 	708	219_21	 	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	124, 2644, 3342	591_2	3067	1872	1193	1007_8	3059	 	 	 	 	4283_17	 	1831	2371_21	 	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	343, 3984, 528	4566_2	1560, 2253	3961	1308	4492_8	1568	 	 	 	 	428_17	 	1267	3114_21	 	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	255, 4381, 811	4542_2	3392	834	3642	4470_8	3384	 	 	 	 	350_17	 	2329, 3685	1679_21	 	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	121, 4160, 661	4324_2	3146	684	3402	4248_8	3138	 	 	 	 	216_17	 	2085, 3444	1547_21	 	 
Yersinia pseudotuberculosis YPIII (502800.6)	389, 3903, 4421	154_2	1448	3878	1140	262_8	1456	 	 	 	 	4335_17	 	1098	2977_21, 4321_22	 	 
Yersinia rohdei ATCC 43380 (527004.3)	1595, 2964, 3042	1926_2, 2036_2	2851, 307	3061	2216	1864_8	2842	 	 	 	 	1416_17	 	2255	1431_22, 2610_21	 	 
Yokenella regensburgei ATCC 43003 (1002368.3)	110, 1334, 484	4159_2, 993_2	1352, 4278	516	634	940_8	4271	 	 	 	 	64_17	 	1809, 4148	4025_21, 4145_21, 54_22	 	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	1755, 2727, 3893	1016_2, 3772_2	1119, 3590	1719	1564	3715_8	1109	 	 	 	589	4174_17	 	3228	2647_21, 2837_22, 3527_21, 4191_22	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	256, 744	1277_2, 5_2	937	716	1937	 	1950	 	 	 	 	1594_17	 	1586	209_22	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	1776, 227	414_2, 500_2	18	257	1271	1769_8	1260	 	 	 	 	1957_17	 	1965	704_22	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	284, 740	1280_2, 32_2	960	712	1957	276_8	1971	 	 	 	 	1599_17	 	1591	237_22	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	275, 781	1360_2, 20_2	976	751	2015	268_8	2029	 	 	 	 	1676_17	 	1669	230_22	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	283, 738	1264_2, 30_2	948	709	1909	277_8	1921	 	 	 	 	1574_17	 	1566, 1621	239_22	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	268, 772	1298_2, 14_2	981	742	1962	261_8	1973	 	 	 	 	1613_17	 	1605	224_22	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	273, 774	1351_2, 20_2	967	745	1995	267_8	2009	 	 	 	 	1655_17	 	1646, 1702	229_22	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	1138, 714	1297_2, 151_2	1259	745	1113	1144_8	1102	 	 	 	 	1418_17	 	1788	360_22	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	259, 260, 261, 713, 714	1229_2, 5_2	910	684	1897	 	1911	 	 	 	 	1552_17	 	1544	207_22	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	273, 716	1247_2, 21_2	921	687	1884	265_8	1898	 	 	 	 	1567_17	 	1559, 1614	227_22	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	303, 788	1367_2, 50_2	1042	758	2040	 	2054	 	 	 	 	1686_17	 	1676, 1677	259_22	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	256, 773	1302_2, 5_2	979	745	2000	249_8	2011	 	 	 	 	1630_17	 	1622	209_22	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	275, 769	1355_2, 20_2	970	739	1993	268_8	2007	 	 	 	 	1658_17	 	1650	231_22	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	1083, 834	1674_2, 182_2	1078	172	140	 	998	 	 	 	 	1672_17	 	1911	171_22	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	1311, 137, 138	1585_2, 654_2, 655_2	143	643	608, 609	 	224	 	 	 	 	1587_17	 	1896	 	 	 
Haemophilus haemolyticus HK386 (1095742.3)	1235, 616	426_3, 72_2	205	456	620	 	1283	 	 	 	 	1229_17	 	1204, 1205	457_22	 	 
Haemophilus haemolyticus M21621 (1028805.3)	1171, 1830	1585_2, 1587_3	190	1011	570	 	1272, 935	 	 	 	 	1867_17	 	1846	1012_22	 	 
Haemophilus haemolyticus M21639 (1028806.3)	1685, 2066	230_3, 234_2	1921	675	625	 	2390	 	 	 	 	799_17	 	2177	674_22	 	 
Haemophilus influenzae 10810 (862964.3)	151, 1885	1696_2, 801_2	319	1521	1887	 	164	 	 	 	 	919_17	 	894	1520_22	 	 
Haemophilus influenzae 6P18H1 (521004.3)	1666, 985	1813_2, 243_2, 291_3, 292_3	1137	1301	987	 	1673	 	 	 	 	782_17	 	759	1300_22	 	 
Haemophilus influenzae 7P49H1 (521005.3)	1298, 510	1673_2, 957_2, 985_3, 986_3	586	1701	508	 	1305	 	 	 	 	28_17	 	4	1700_22	 	 
Haemophilus influenzae 86-028NP (281310.6)	1301, 156	1574_2, 1621_3, 1622_3, 712_2	328	1502	1299	 	169	 	 	 	 	843_17	 	822	1501_22	 	 
Haemophilus influenzae F3031 (866630.3)	1012, 130	1600_2, 728_3	195	790	1014	 	139	 	 	 	 	1524_17	 	1546	791_22	 	 
Haemophilus influenzae F3047 (935897.3)	1790, 86	1521_3, 529_2	1024	1458	1792	 	102	 	 	 	 	396_17	 	420	1457_22	 	 
Haemophilus influenzae NT127 (656913.3)	439, 610	1501_3, 1649_2	1315	927	608	 	425	 	 	 	 	1607_17	 	1630	928_22	 	 
Haemophilus influenzae PittAA (374928.4)	1051, 1444	1622_2, 265_3, 266_3, 962_2	1128	888	1049	 	1458	 	 	 	 	812_17	 	836	887_22	 	 
Haemophilus influenzae PittHH (374932.4)	1450, 1612	1696_2, 93_2	1087	178	1452	 	1598	 	 	 	 	647_17, 648_17	 	1663	179_22	 	 
Haemophilus influenzae PittII (374933.4)	1163, 1503	1314_2, 880_3	1741	803	1165	 	1516	 	 	 	 	376_17	 	400	802_22	 	 
Haemophilus influenzae R2846 (262727.7)	1121, 541	1730_2, 872_2, 900_3	333	974	1123	 	530	 	 	 	 	1611_17	 	1636	975_22	 	 
Haemophilus influenzae R2866 (262728.5)	1373, 709	29_2, 927_3	1525	1000	707	 	1386	 	 	 	 	212_17	 	189	1001_22	 	 
Haemophilus influenzae Rd KW20 (71421.8)	90	1490_2, 675_2	270	1360	1709	 	105	 	 	 	 	787_17	 	759	1359_22	 	 
Haemophilus influenzae RdAW (656912.3)	807	1593_2, 937_2	1070	1562	610	 	793	 	 	 	 	30_17	 	4	1563_22	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	1226, 539	1681_2, 677_2	1458	634	613	 	1035	 	 	 	 	1446_17	 	1523	633_22	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	104, 601	192_2, 445_2	1098	487	508	 	1529	 	 	 	 	1312_17	 	1032	488_22	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	1327, 50	1766_2, 18_2	1161	1808	1829	 	567	 	 	 	 	1033_17	 	237	1809_22	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	1134, 1462	1602_2, 594_2	902	1555	1533	 	1295	 	 	 	 	925_17	 	834	1554_22	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	1480, 1809	1912_2, 240_2	1570	1484	308	1708_8	344	 	 	 	 	30_17	 	14	1294_22	 	 
Haemophilus sputorum HK 2154 (1078483.3)	1984, 716	1221_2, 1807_2	632	712	1876	1632_8	1912	 	 	 	 	1383_17	 	1945	1148_22	 	 
Acinetobacter baumannii AB0057 (480119.5)	1197	499_2	240, 3729, 960	3751	2876	1657_9	3175	 	 	 	2074, 2891, 758	2935_17	 	2936	3208_21, 806_22, 903_22	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	2315	3004_2	2604, 3205, 56	34	866	1939_9	630	 	 	 	1584, 2790, 850	806_17	 	805	2648_22, 2742_22, 599_21	 	 
Acinetobacter baumannii AB900 (557601.3)	2738	172_2	1426, 2049	2027	380	3279_9	1096	 	 	 	364, 663	322_17	 	321	1067_21, 2447_22, 2817_22, 3280_22, 596_22	 	 
Acinetobacter baumannii ACICU (405416.6)	1241	536_2	3640, 965	3662	2848	1585_10	3086	 	 	 	1981, 2864, 772	2907_17	 	2908	1519_22, 1584_22, 3115_21, 832_22, 924_22	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	3007	1777_2	1419, 1975, 3320	3298	2297	583_10	2755	 	3204	 	2282	2239_17	 	2238	1252_22, 1344_22, 2726_21, 584_22, 649_22	 	 
Acinetobacter baumannii AYE (509173.8)	2504	3213_2	160, 2774, 3501	138	972	2126_9	747	 	 	 	1740, 2972, 956	913_17	 	912	2830_22, 2924_22, 716_21	 	 
Acinetobacter baumannii SDF (509170.6)	1382	2921_2	3396	3422	912	2069_9	652	 	 	 	893	836_17	 	835	2070_22, 2554_22, 615_21	 	 
Acinetobacter baumannii 1656-2 (696749.3)	1631	473_2	232, 3713, 909	3737	2898	1991_10	3143	 	 	 	2402, 2915, 712	2962_17	 	2963	1921_22, 1990_22, 3173_21, 776_22, 868_22	 	 
Acinetobacter baumannii 3990 (886888.3)	3578	3265_2	2338, 3185	3208	686	2772_10	2605	 	 	 	3437, 3696, 3697, 703	747_17	 	748	1620_22, 191_22, 2575_21, 2773_22, 2874_22	 	 
Acinetobacter baumannii 48055 (1293574.3)	3169	933_2	1118, 232, 2882	1095	399	2744_10	2239	 	 	 	2943, 3561, 382	1974_17	 	1973	190_22, 2127_22, 2269_21	 	 
Acinetobacter baumannii 53264 (1216295.3)	1141	458_2	233, 3549, 891	3574	2747	1489_10	2983	 	 	 	1899, 2764, 697	2807_17	 	2808	1420_22, 3013_21, 849_22	 	 
Acinetobacter baumannii AA-014 (903937.3)	406	111_2	1847, 801	1870	1991	1264_9	1334	 	 	 	2008	2051_17	 	2052	1363_21, 2248_22, 2630_22	 	 
Acinetobacter baumannii AB1H8 (1222031.3)	1173	1374_2	2127, 2429, 986	2406	569	307_10	3127	 	 	 	1967, 2821, 586	630_17	 	631	1028_22, 3157_21, 374_22	 	 
Acinetobacter baumannii AB210 (886886.3)	3504	1560_2	3100, 3417, 941	3077	176	811_10	2528	 	 	 	193, 2943, 348	237_17	 	238	3367_21, 3706_22, 410_22, 812_22, 879_22	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	2703	106_2	1256, 2073, 2631	2049	1285	782_10	2596	 	 	 	1301, 1986	1345_17	 	1346	1633_22, 2233_21, 713_22	 	 
Acinetobacter baumannii AB4A3 (1222032.3)	253	2124_2	1250, 2514, 3785	1273	3735	2461_10	2050	 	 	 	3642	2715_17	 	2716	1428_22, 2079_21, 3354_22	 	 
Acinetobacter baumannii AB5256 (1116235.3)	1863	1144_2	1343, 1617, 496	518	3526	2428_9	661	 	 	 	1423, 3542	3587_17	 	3588	1426_22, 1470_22, 1565_22, 2494_22, 3005_22, 632_21	 	 
Acinetobacter baumannii AB5711 (1116236.3)	2722	1615_2	1382, 447, 934	424	1985	3070_10	1750	 	43	 	1310, 1969, 3513	1926_17	 	1925	1150_22, 1153_22, 1245_22, 1307_22, 1720_21, 2580_22, 3003_22	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	1136	458_2	233, 3572, 900	3597	2759	1489_10	2995	 	 	 	1958, 2776, 700	2820_17	 	2821	1421_22, 3026_21, 856_22	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	854	2511_2	2308, 2765, 661	2789	1815	1199_10	131	 	 	 	1832, 2139, 3028, 3029	1875_17	 	1876	101_21, 1131_22, 1984_22, 2076_22, 2136_22, 357_22	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	1258	1426_2	1046, 2109, 2475	2498	2706	1704_9	1359	 	 	 	1770, 2241, 2690	688_17	 	687	1325_21, 1544_22, 2026_22	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	3078	1276_2	163, 2018, 3607	2041	129	2149_10	2230	 	 	 	146, 1499	3368_17	 	3367	1597_22, 3410_22, 510_21	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	3054	1120_2	1818, 335, 3565	1795	31	2477_10	1968	 	 	 	1311, 14	2585_17	 	2586	1388_22, 3367_22, 362_21	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	2904	325_2	2271, 3772, 622	2248	2682	2285_10	3456	 	 	 	1992, 2665	3523_17	 	3524	1028_21, 1769_22, 3581_22	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	1611	1656_2	1561, 2021, 213	1997	827	2551_10	906	 	 	 	1895, 3582, 3583, 810	1802_17	 	1801	1850_22, 3462_22, 937_21	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	1641	375_2	1771, 2316, 2903	1748	667	1035_9	163	 	 	 	2201, 3755, 683	3044_17	 	3043	195_21, 3017_22, 967_22	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	2493	1347_2	226, 3621, 507	484	31	1697_10	3121	 	 	 	14, 2966	1741_17	 	1742	1508_21, 1895_22, 3354_22	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	2959	815_2	130, 1359, 3592	1382	97	2409_10	1874	 	 	 	114, 1164	1480_17	 	1481	1245_21, 1602_22, 3275_22	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	3277	2413_2	1192, 2614, 871	896	3431	2927_10	1824	 	 	 	1607, 218, 3414	3370_17	 	3369	1451_22, 1793_21, 2993_22	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	1775	680_2	2013, 30, 3338	3315	2623	1432_10	2386	 	 	 	2208, 2606	2562_17	 	2561	1500_22, 2055_22, 2356_21	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	2502	3109_2	3327, 3756	3778	1151	2098_9	181	 	 	 	1134, 1644, 454	1089_17	 	1088	151_21, 2165_22, 2550_22, 457_22, 516_22, 606_22	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	2818	1273_2	166, 26, 685	662	967	2372_10	3778	 	 	 	1849, 2595, 950	496_17	 	495	2541_21, 2598_22, 2642_22, 2684_22, 3730_22, 871_22	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	2019	1425_2	1381, 3259, 891	867	1096	3170_10	2702	 	 	 	1113, 1790, 3318	1970_17	 	1971	2734_21, 3395_22, 3804_22	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	1804	135_2	1041, 1465, 3550	1064	2925	1600_9	1648, 1649	 	 	 	2298, 2743, 2941	3103_17	 	3104	1530_22, 1683_21, 3616_22	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	2396	1327_2	1564, 1927, 1986, 2499	2391	3268	2466_9	1274	 	3137	 	3285	3328_17	 	3329	1303_21, 2937_22, 647_22	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	8	718_2	2250, 3063, 3826	1898	490	2224_10	203	 	 	 	1842, 507, 762	551_17	 	552	233_21, 2809_22, 624_22	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	2235	3753_2	1635, 1770, 2594	247	95	2373_9	3153	 	2961	 	112, 706, 839	155_17	 	156	1169_22, 3182_21, 620_22	 	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	2172	200_2	1305, 416, 75	3638	1214	1732_10	547	 	 	 	1197, 375, 540	1153_17	 	1152	1802_22, 281_21, 3586_22	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	1415	638_2	2036, 708, 972	1409	882	1182_9	2503	 	 	 	2301, 866	822_17	 	821	10_22, 1251_22, 2474_21	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	2669	1948_2	1656, 2291, 3446	2341	409	916_9	817	 	 	 	3347, 393	349_17	 	348	251_22, 788_21, 985_22	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	3126	878_2	141, 2111, 2824	2	1941	2066_10	3586	 	 	 	1958, 3480, 472	2002_17	 	2003	2995_22, 586_22, 93_21	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	2055	2097_2	2333, 3412	250	2264	2177_10	3355	 	 	 	141, 142, 2248	487_17	 	486	1473_22, 2836_22, 3384_21	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	2758	1179_2	2270, 280, 59	2293	651	2719_9	3376	 	 	 	633	589_17	 	588	1460_22, 1775_22, 3347_21	 	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	442	2689_2	131, 3439, 3753	3463	2962	353_9	2035	 	 	 	2944	2900_17	 	2899	1319_22, 2064_21, 383_22	 	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	1820	2315_2	1461, 2041, 631	1437	430	1404_10	2896	 	 	 	3234, 3537, 413	369_17	 	368	1047_21, 2005_22, 3727_22	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	3835	190_2	3803, 684	709	1140	124_10	2992	 	 	 	1123, 2842, 559	2515_17	 	2516	1654_22, 2948_22, 3022_21	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	2929	2316_2	1238, 56	33	1103	836_9	421	 	 	 	1120, 1876, 717	1163_17	 	1164	1020_22, 1652_22, 3103_21	 	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	2975	378_2	1142, 1654, 520	497	768	3043_9	1432	 	 	 	3789, 784	827_17	 	828	1976_21, 2035_22, 677_22	 	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	3744	1732_2	1279, 2688	2663	3098	3429_10	3653	 	 	 	1211, 3115, 3260	1816_17	 	1815	1284_22, 1583_22, 3683_21	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	2877	1386_2	1210, 3291	3314	2005	3348_9	2461	 	 	 	2022, 2723, 41	2065_17	 	2066	1634_22, 1723_21, 875_22	 	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	2761	617_2	1463, 1596, 3414	1440	2638	228_9	1140	 	1300	 	1336, 2655, 47	2698_17	 	2699	1169_21, 2847_22, 2905_22	 	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	702	1185_2	2882, 3165, 626	602	2379	3144_10	558	 	 	 	1500, 2396, 653	782_17	 	781	1258_22, 3512_22, 591_21	 	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	15	2598_2	1419, 632, 694	2971	3139	118_9	1746	 	297	 	3156, 3425, 3535	3200_17	 	3201	1482_22, 1717_21, 3370_22	 	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	2544	3286_2	216, 3588, 771	241	1196	3528_9	1645	 	 	 	1213, 1447, 3228	992_17	 	993	1675_21, 2124_22, 316_22	 	 
Acinetobacter baumannii AB_515-8 (1221265.3)	536	3598_2	1758, 3299, 620	2788	2127	1824_10	1615	 	 	 	2144, 3203, 501	2188_17	 	2189	1892_22, 3009_21, 428_22	 	 
Acinetobacter baumannii AB_908-12 (1221266.3)	2663	1024_2	1525, 189, 3522	166	2947	2801_9	474	 	 	 	2964, 734, 90	1909_17	 	1910	3575_22, 3687_22, 504_21	 	 
Acinetobacter baumannii AB_908-13 (1221267.3)	2832	2883_2	1682, 2641, 855	1705	1472	1782_9	2747	 	 	 	1456, 2844, 3297	1410_17	 	1409	10_22, 2128_22, 2780_21	 	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	85	1541_2	1228, 2, 906	3017	873	1351_9	2482	 	3369	 	3398, 890	172_17	 	171	1158_22, 2511_21, 3271_22	 	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	189	612_2	1891, 2707, 341	319	1993	717_9	597	 	 	 	1977, 2219, 3139	1931_17	 	1930	2650_22, 564_21, 649_22	 	 
Acinetobacter baumannii AB_909-05 (1221271.3)	3531	3572_2	2511, 2561, 35	3709	3210	2065_10	645	 	 	 	3193, 3695, 436	2646_17	 	2647	2658_22, 604_22, 675_21	 	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	977	2067_2	1035, 1507, 3599	1484	3100	14_10	3284	 	2531	 	3083	3038_17	 	3037	1187_22, 3316_21, 3674_22	 	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	204	1314_2	1494, 1899, 3469	3445	2032	958_9	2142	 	3378	 	1867, 2015, 611	1972_17	 	1971	1355_22, 2171_21, 3288_22	 	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	909	1714_2	1799, 3377, 3393	1822	3140	2010_10	1015	 	 	 	3157, 3599, 754	788_17	 	787	1943_22, 3330_22, 985_21	 	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	2262	916_2	1421, 1892, 2280	1916	2087	2870_10	1304	 	 	 	155, 2070, 254	2026_17	 	2025	1601_21, 2995_22, 3491_22	 	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	2671	2201_2	3064, 3607, 3791	3273	849	3334_10	757	 	 	 	1501, 462, 866	910_17	 	911	1880_22, 3015_21, 674_22	 	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	2810	1760_2	1334, 1943, 3027	1280	359	2290_9	463	 	 	 	1048, 343	299_17	 	298	23_22, 494_21, 698_22	 	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	924	1355_2	1061, 155, 3497	3474	739	1168_9	239	 	 	 	2849, 2944, 755	800_17	 	801	270_21, 2703_22, 952_22	 	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	1023	2213_2	1735, 1804, 3124	1758	70	477_9	800	 	 	 	2681, 3505, 86	130_17	 	131	1065_22, 2767_22, 769_21	 	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	1841	688_2	1616, 2638, 3409	2663	2027	2520_10	3086	 	 	 	1173, 1245, 3143	1217_17	 	1218	2452_22, 3763_21, 474_22	 	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	545	2822_2	1408, 1481, 1824	1432	2150	3288_9	2005	 	 	 	2168	2212_17	 	2213	1976_21, 211_22, 3219_22	 	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	1877	3280_2	2974, 3554, 3644	2636	167	758_9	467	 	 	 	183	227_17	 	228	3593_22, 497_21, 828_22	 	 
Acinetobacter baumannii AC12 (1198108.3)	322	859_2	1337, 3419, 589	1360	1856	2799_10	3355	 	 	 	1873, 2880, 3095	1917_17	 	1918	1032_21, 3231_22, 3630_22	 	 
Acinetobacter baumannii AC30 (1224747.3)	3636	478_2	2335, 3397, 43	20	299	3171_10	401	 	 	 	2521, 316, 3544	360_17	 	361	2233_21, 3308_22, 3663_22	 	 
Acinetobacter baumannii ANC 4097 (1217638.3)	1152	448_2	226, 3853, 889	3876	2908	1632_9	3222	 	 	 	2034, 2924, 690	2969_17	 	2970	1563_22, 3254_21, 832_22	 	 
