Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Shigella flexneri CCH060 (754091.3)	1351_1, 1352_2, 1353_4, 1354_3	1350_9	2557_26, 2558_22, 2559_21, 2561_25, 2562_23, 2563_20, 2564_24	 	 	 	 	 	 	4801_50	4799	3991_62, 3992_66, 3993_67, 3994_69, 3995_73, 3996_74	 	 	3152_88	 
Shigella flexneri J1713 (754092.3)	1355_1, 1356_2, 1357_4, 1358_3, 2004_1, 2005_2	1354_12, 2003_10	2573_24, 2574_20, 2575_23, 2576_25, 2577_21, 2578_22, 2579_26	 	 	 	 	 	 	 	4540	4683_56, 4684_62, 4685_65, 4686_67, 4687_69, 4689_74	 	 	2950_88	 
Shigella flexneri K-218 (766146.3)	2003_1, 2004_2, 2005_4, 2006_3, 2724_1, 2725_1, 2726_2	2002_11, 2723_10	3259_24, 3260_20, 3261_23, 3262_25, 3264_22, 3265_26	 	 	 	 	 	 	 	5351	4441_76, 4443_69, 4444_68, 4445_65, 4446_64, 4447_56	 	 	3636_88	 
Shigella flexneri K-227 (766147.3)	1386_1, 1387_2, 1388_4, 1389_3, 2071_1, 2072_2	1385_9, 2069_10, 2070_9	2769_24, 2770_20, 2771_23, 2772_25, 2773_21, 2774_22, 2775_26	 	 	 	 	 	 	4821_49	4819	4984_62, 4985_66, 4986_67, 4987_69, 4989_76	 	 	3138_88	 
Shigella flexneri K-272 (766148.3)	1833_1, 1834_2, 1835_4, 1836_3, 2428_1, 2429_2	1832_9, 2426_10, 2427_9	2967_24, 2968_20, 2969_23, 2970_25, 2971_21, 2972_22, 2973_26	 	 	 	 	 	 	4918_49	4916	68_76, 70_69, 71_67, 72_66, 73_62	 	 	3337_88	 
Shigella flexneri K-304 (766149.3)	1658_1, 1659_2, 1660_4, 1661_3, 2357_1, 2358_1, 2359_2	1657_11, 2356_10	2952_24, 2953_20, 2954_23, 2955_25, 2957_22, 2958_26	 	 	 	 	 	 	 	5028	4185_74, 4187_69, 4188_68, 4189_66, 4190_64	 	 	3322_88	 
Shigella flexneri K-315 (766150.3)	1280_1, 1281_2, 1282_4, 1283_3	1279_9	2551_24, 2552_20, 2553_23, 2554_25, 2555_21, 2556_22, 2557_26	 	 	 	 	 	 	 	4580	3746_56, 3747_62, 3748_65, 3749_67, 3750_69, 3751_73, 3752_74	 	 	2967_88	 
Shigella flexneri VA-6 (766145.3)	1795_1, 1796_2, 1797_4, 1798_3, 1847_2, 1848_1, 1849_1	1794_11, 1850_9, 1851_9	3058_24, 3059_20, 3060_23, 3061_25, 3062_21, 3063_22, 3064_26	 	 	 	 	 	 	5029_50	5027	4268_56, 4269_62, 4270_65, 4271_67, 4272_69, 4274_76	 	 	3428_88	 
Shigella sonnei 3233-85 (766163.3)	1836_1, 1837_2, 1838_4, 1839_3, 2184_3, 2185_4, 2186_2, 2187_1	1835_9, 2188_9	2572_24, 2573_20, 2574_23, 2575_25, 2576_21, 2577_22, 2578_26	 	 	 	 	 	 	 	3883	4667_64, 4668_66, 4669_67, 4670_69, 4672_74	 	 	3034_88	 
Shigella sonnei 4822-66 (766164.3)	1760_1, 1761_2, 1762_4, 1763_3, 2061_3, 2062_4, 2063_2, 2064_1	1759_9, 2065_9	2282_24, 2283_20, 2284_23, 2285_25, 2287_21, 2288_22, 2289_26	 	 	 	 	 	 	 	3625	4430_56, 4431_64, 4432_66, 4433_67, 4434_69, 4436_74	 	 	2694_88	 
Shigella sonnei Ss046 (300269.12)	1988_1, 1989_2, 1990_4, 1991_3, 2358_3, 2359_4, 2360_2, 2361_1	1987_12, 2362_9	2717_24, 2718_20, 2719_23, 2720_25, 2721_21, 2722_22, 2723_26	 	 	 	 	 	 	 	4133	5045_64, 5046_66, 5047_67, 5048_69, 5050_74	 	 	3159_88	 
Shigella sonnei str. Moseley (754077.4)	2193_1, 2194_2, 2195_4, 2196_3, 2545_3, 2546_4, 2547_2, 2548_1	2192_9, 2549_9	2879_24, 2880_20, 2881_23, 2882_25, 2884_21, 2885_22, 2886_26	 	 	 	 	 	 	 	4316	5292_56, 5293_64, 5294_66, 5295_67, 5296_69, 5298_74	 	 	3304_88	 
Yersinia bercovieri ATCC 43970 (349968.5)	 	 	1428_26, 1429_22, 1431_20, 1432_24	 	 	 	 	 	 	 	638	3719_56, 3720_64, 3721_65, 3722_68, 3723_70, 3725_73, 3726_76	 	 	1774_88	 
Yersinia enterocolitica IP 10393 (1243181.3)	 	 	300_26, 301_22, 302_21, 303_20, 304_24	 	 	 	 	 	 	1343_51, 1344_49	1342	320_74, 321_73, 322_71, 323_69, 324_67, 325_65, 326_62, 327_56	 	 	175_88	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	 	826_11	1260_26, 1261_22, 1263_20, 1264_24	 	 	 	 	 	 	 	4222	 	 	 	1144_88	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	 	 	2388_24, 2389_20, 2390_21, 2391_22, 2392_26	 	 	 	 	 	 	3370_49, 3371_51	3373	 	 	 	2502_87	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	 	 	3201_24, 3202_20, 3203_21, 3204_22, 3205_26	 	 	 	 	 	 	4001_50, 4002_51	4003	2744_74, 2745_73, 2746_71, 2747_69, 2748_67, 2749_65, 2750_62, 2751_56	 	 	3326_87	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	 	 	2621_26, 2622_22, 2623_21, 2624_20, 2625_24	 	 	 	 	 	 	1888_51, 1889_49	1887	2803_56, 2804_62, 2805_65, 2806_67, 2807_69, 2808_71, 2809_73, 2810_74	 	 	4057_88	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	 	 	311_26, 312_22, 313_21, 314_20, 315_24	 	 	 	 	 	 	2087_51, 2088_49	2085, 2086	745_56, 746_62, 747_65, 748_67, 749_69, 750_71, 751_73, 752_74	 	 	1085_88	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	 	 	3773_26, 3774_22, 3775_21, 3776_20, 3777_24	 	 	 	 	 	 	1426_51, 1427_49	1425	1565_56, 1566_62, 1567_65, 1568_67, 1569_69, 1570_71, 1571_73, 1572_74	 	 	1340_88	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	 	 	34_26, 35_22, 36_21, 37_20, 38_24	 	 	 	 	 	 	3228_51, 3229_49	3227	478_56, 479_62, 480_65, 481_67, 482_69, 483_71, 484_73, 485_74	 	 	4240_88	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	 	 	35_26, 36_22, 37_21, 38_20, 39_24	 	 	 	 	 	 	3221_51, 3222_49	3220	487_56, 488_62, 489_65, 490_67, 491_69, 492_71, 493_73, 494_74	 	 	4258_88	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	 	 	36_26, 37_22, 38_21, 39_20, 40_24	 	 	 	 	 	 	3228_51, 3229_49	3227	484_56, 485_62, 486_65, 487_67, 488_69, 489_71, 490_73, 491_74	 	 	4268_88	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	 	 	34_26, 35_22, 36_21, 37_20, 38_24	 	 	 	 	 	 	3216_51, 3217_49	3215	482_56, 483_62, 484_65, 485_67, 486_69, 487_71, 488_73, 489_74	 	 	4252_88	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	 	 	35_26, 36_22, 37_21, 38_20, 39_24	 	 	 	 	 	 	3203_51, 3204_49	3202	481_56, 482_62, 483_65, 484_67, 485_69, 486_71, 487_73, 488_74	 	 	4246_88	 
Yersinia frederiksenii ATCC 33641 (349966.5)	 	 	1541_24, 1542_20, 1543_21, 1544_22, 1545_26	 	 	 	 	 	 	2437_50, 2438_51	2439	3852_74, 3853_73, 3854_71, 3855_69, 3856_67, 3857_65, 3858_62, 3859_56	 	 	1647_88	 
Yersinia kristensenii ATCC 33638 (527012.3)	 	 	3827_26, 3828_22, 3829_21, 3830_20, 3831_24	 	 	 	 	 	 	2847_50, 2848_52	2849	1172_56, 1173_62, 1174_65, 1175_67, 1176_69, 1177_69, 1178_69, 1179_71, 1180_73, 1181_74	 	 	1867_88	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	 	 	3216_24, 3217_20, 3219_21, 3220_22, 3221_26	 	 	 	 	 	 	938_49	940	 	 	 	3513_87	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	 	 	2232_26, 2233_22, 2234_21, 2236_20, 2237_24	 	 	 	 	 	 	 	3389	 	 	 	1618_88	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	 	 	3038_24, 3039_20, 3042_22, 3043_26	 	 	 	 	 	 	 	994	 	 	 	3976_88	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	 	 	1584_26, 1585_22, 1588_20, 1589_24	 	 	 	 	 	 	4503_50	4505	 	 	 	1459_88	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	 	 	3362_24, 3363_20, 3366_22, 3367_26	 	 	 	 	 	 	 	4484	 	 	 	3488_88	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	 	 	3118_24, 3119_20, 3122_22, 3123_26	 	 	 	 	 	 	 	4261	 	 	 	3244_88	 
Yersinia pseudotuberculosis YPIII (502800.6)	 	 	1472_26, 1473_22, 1476_20, 1477_24	 	 	 	 	 	 	252_50	250	 	 	 	1343_88	 
Yersinia rohdei ATCC 43380 (527004.3)	3708_4, 3709_2, 3710_1	3711_11	2829_24, 2830_20, 2831_21, 2832_22, 2833_26	 	 	 	 	 	 	1874_50, 1875_51	1876	407_74, 408_73, 409_71, 410_69, 411_67, 412_65, 413_62, 414_56	 	 	1086_88	 
Yokenella regensburgei ATCC 43003 (1002368.3)	3148_3, 3149_4, 3150_2, 3152_1, 3453_3, 3454_4, 3455_2, 3456_1	3153_9, 3457_9	 	 	 	 	 	 	 	947_49, 948_52	 	 	 	 	4349_87	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	1178_3, 1179_4, 1180_2, 1181_1	1183_11	1092_24, 1093_20, 1094_23, 1095_25, 1096_21, 1097_22, 1098_26	 	 	 	 	 	 	3727_50, 3728_51	3729	 	 	 	47_88	 
Actinobacillus pleuropneumoniae L20 (416269.6)	 	 	1484_24, 1485_20, 1486_23, 1487_25, 1489_22, 1490_26	 	 	 	 	2118_43	 	 	 	103_64, 104_66, 105_68, 1097_74, 1099_71, 1100_69	 	 	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	 	 	1614_26, 1615_22, 1617_25, 1618_23, 1619_20, 1620_24	 	 	 	 	399_43	 	 	 	1221_74, 1223_71, 1224_69, 1691_56, 1692_62, 1693_66, 1694_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	 	 	1506_24, 1507_20, 1508_23, 1509_25, 1510_21, 1511_22, 1512_26	 	 	 	 	16_43	 	 	 	1102_74, 1104_71, 1105_71, 1106_69, 128_56, 129_62, 130_66, 131_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	 	 	1582_24, 1583_20, 1584_23, 1585_25, 1586_21, 1587_22, 1588_26	 	 	 	 	5_43	 	 	 	1175_74, 1177_71, 1179_69, 118_56, 119_62, 120_66, 121_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	 	 	1479_24, 1480_20, 1481_23, 1482_25, 1484_22, 1485_26	 	 	 	 	16_43	 	 	 	1096_74, 1098_71, 1099_71, 1100_69, 129_62, 130_66, 131_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	 	 	1511_24, 1512_20, 1513_23, 1514_25, 1516_22, 1517_26	 	 	 	 	2136_43	 	 	 	111_56, 112_62, 1129_74, 113_66, 1131_71, 1133_69, 114_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	 	 	1558_24, 1559_20, 1560_23, 1561_25, 1563_22, 1564_26	 	 	 	 	5_43	 	 	 	1165_74, 1167_71, 1169_69, 117_56, 118_64, 119_66, 120_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	 	 	2176_26, 2177_22, 2178_21, 2179_25, 2180_23, 2181_20, 2182_24	 	 	 	 	136_43	 	 	 	2086_74, 2088_71, 2090_69, 251_56, 252_62, 253_66, 254_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	 	 	1450_24, 1451_20, 1452_23, 1453_25, 1455_22, 1456_26	 	 	 	 	2076_43	 	 	 	102_62, 103_65, 104_67, 1063_74, 1065_71, 1066_69	 	 	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	 	 	1461_24, 1462_20, 1463_23, 1464_25, 1466_22, 1467_26	 	 	 	 	5_43	 	 	 	1077_74, 1079_71, 1081_69, 118_56, 119_62, 120_66, 121_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	 	 	1589_24, 1590_20, 1591_23, 1592_25, 1593_21, 1594_22, 1595_26	 	 	 	 	35_43	 	 	 	1200_74, 1202_71, 1204_69, 147_56, 148_64, 149_66, 150_67	 	 	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	 	 	1535_26, 1536_22, 1538_25, 1539_23, 1540_20, 1541_24	 	 	 	 	2177_43	 	 	 	101_56, 102_62, 103_66, 104_67, 1129_74, 1131_71, 1132_69	 	 	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	 	 	1563_24, 1564_20, 1565_23, 1566_25, 1567_21, 1568_22, 1569_26	 	 	 	 	5_43	 	 	 	1166_74, 1168_71, 1169_71, 1170_69, 118_56, 119_62, 120_66, 121_67	 	 	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	 	 	1894_24, 1895_20, 1896_23, 1897_25, 1899_22	 	 	 	 	 	 	 	 	1176_76, 1179_68, 1180_66, 1181_64	 	898	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	 	 	1879_24, 1880_20, 1881_23, 1882_25, 1884_22	 	 	 	 	 	 	 	 	36_64, 37_66, 38_68, 41_76	 	1375	 	 
Haemophilus haemolyticus HK386 (1095742.3)	 	 	1685_24, 1686_20, 1687_23, 1688_25, 1689_21, 1690_22, 1691_26	 	 	 	 	 	 	 	 	1265_73_74, 1265_73_74, 1266_71, 1267_69, 1585_67, 1586_65, 1587_62, 1588_56	 	351	 	 
Haemophilus haemolyticus M21621 (1028805.3)	 	 	260_26, 261_22, 262_21, 263_25, 264_23, 265_20, 266_24	 	 	 	 	 	 	 	 	1794_69, 1795_71, 1796_73_74, 1796_73_74, 1935_67, 1936_65, 1937_62, 1939_56	 	48	 	 
Haemophilus haemolyticus M21639 (1028806.3)	 	 	2069_24, 2070_20, 2071_23, 2072_25, 2073_21, 2074_22, 2075_26	 	 	 	 	 	 	 	 	1910_56, 1912_62, 1913_65, 1914_67, 314_73_74, 314_73_74, 315_71, 316_69	 	264	 	 
Haemophilus influenzae 10810 (862964.3)	 	 	470_26, 471_29, 472_21, 473_25, 474_23, 475_20, 476_24	 	 	 	 	 	 	 	 	1115_73_74, 1115_73_74, 1116_71, 1117_71, 1118_69, 1271_67, 1272_65, 1273_62	 	 	 	 
Haemophilus influenzae 6P18H1 (521004.3)	 	 	721_24, 722_20, 723_23, 724_25, 725_21, 726_29, 727_26	 	 	 	 	 	 	 	 	153_69, 154_69, 155_71, 156_73_74, 156_73_74, 48_56, 50_62, 51_65, 52_67	 	 	 	 
Haemophilus influenzae 7P49H1 (521005.3)	 	 	676_26, 677_22, 678_21, 679_25, 680_23, 681_20, 682_24	 	 	 	 	 	 	 	 	232_73_74, 232_73_74, 233_71, 234_69, 341_67, 342_65, 343_62, 345_56	 	 	 	 
Haemophilus influenzae 86-028NP (281310.6)	 	 	424_26, 425_29, 426_21, 427_25, 428_23, 429_20, 430_24	 	 	 	 	 	 	 	 	1028_73_74, 1028_73_74, 1029_71, 1030_69, 1134_67, 1135_65, 1136_62, 1138_56	 	 	 	 
Haemophilus influenzae F3031 (866630.3)	 	 	283_26, 284_29, 285_21, 286_25, 287_23, 288_20, 289_24	 	 	 	 	 	 	 	 	1176_56, 1177_62, 1178_65, 1179_67, 1332_69, 1333_71, 1334_73_74, 1334_73_74	 	 	 	 
Haemophilus influenzae F3047 (935897.3)	 	 	929_24, 930_20, 931_23, 932_25, 933_21, 934_29, 935_26	 	 	 	 	 	 	 	 	195_71, 1956_62, 1957_65, 1958_67, 196_73_74, 196_73_74	 	 	 	 
Haemophilus influenzae NT127 (656913.3)	 	 	1009_24, 1010_20, 1011_23, 1012_25, 1013_21, 1014_29, 1015_26	 	 	 	 	 	 	 	 	205_73_74, 205_73_74, 206_71, 207_69, 321_62, 322_66, 323_67	 	 	 	 
Haemophilus influenzae PittAA (374928.4)	 	 	624_24, 625_20, 626_23, 627_25, 628_21, 629_22, 630_26	 	 	 	 	 	 	 	 	198_67, 199_65, 200_62, 201_56, 88_73_74, 88_73_74, 89_71, 90_69	 	 	 	 
Haemophilus influenzae PittHH (374932.4)	 	 	335_24, 336_20, 337_23, 338_25, 339_21, 340_22, 341_26	 	 	 	 	 	 	 	 	1173_73_74, 1173_73_74, 1174_71, 1175_69, 1176_69, 432_56, 434_62, 435_65, 436_67, 867_73_74, 867_73_74	 	 	 	 
Haemophilus influenzae PittII (374933.4)	 	 	668_24, 669_20, 670_23, 671_25, 672_21, 673_29, 674_26	 	 	 	 	 	 	 	 	161_69, 162_71, 163_73_74, 163_73_74, 37_56, 38_62, 39_66, 40_67	 	 	 	 
Haemophilus influenzae R2846 (262727.7)	 	 	235_24, 236_20, 237_23, 238_25, 239_21, 240_29, 241_26	 	 	 	 	 	 	 	 	1289_56, 1290_62, 1291_65, 1292_67, 1401_69, 1402_71, 1403_71, 1404_73_74, 1404_73_74	 	 	 	 
Haemophilus influenzae R2866 (262728.5)	 	 	1620_26, 1621_29, 1622_21, 1623_25, 1624_23, 1625_20, 1626_24	 	 	 	 	 	 	 	 	414_73_74, 414_73_74, 415_71, 416_69, 534_67, 535_66, 536_62, 537_56	 	 	 	 
Haemophilus influenzae Rd KW20 (71421.8)	 	 	359_26, 360_26, 361_22, 362_21, 363_21, 364_25, 365_23, 366_20, 367_24	 	 	 	 	 	 	 	 	1110_68, 1111_66, 1112_64, 975_76, 977_70	 	 	 	 
Haemophilus influenzae RdAW (656912.3)	 	 	1400_24, 1401_20, 1402_23, 1403_25, 1405_22, 1406_26	 	 	 	 	 	 	 	 	215_76, 217_70, 345_68, 346_66, 347_62	 	 	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	 	 	1369_26, 1370_22, 1371_21, 1372_25, 1373_23, 1374_20, 1375_24	 	 	 	 	928_43	 	 	 	241_73, 242_71, 244_67, 245_65, 246_62, 247_56	 	311	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	 	 	1401_24, 1402_20, 1403_23, 1404_25, 1405_21, 1406_22, 1407_26	 	 	 	 	1548_43	 	 	 	1842_73, 1843_71, 1844_69, 1845_67, 1846_65, 1847_62, 1848_56	 	1643	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	 	 	1446_24, 1447_20, 1448_23, 1449_25, 1450_21, 1451_22, 1452_26	 	 	 	 	221_43	 	 	 	666_56, 667_62, 668_65, 669_67, 670_69, 671_71, 672_73	 	1237	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	 	 	989_24, 990_20, 991_23, 992_25, 994_22, 995_26	 	 	 	 	1841_43	 	 	 	82_64, 83_66, 84_68, 85_70, 87_76	 	15	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	 	 	212_26, 213_22, 214_21, 215_25, 216_23, 217_20, 218_24	 	 	 	 	 	 	 	 	1825_56, 1826_62, 1827_65, 1828_67, 1860_69, 1861_71, 1863_74	 	1312	 	 
Haemophilus sputorum HK 2154 (1078483.3)	 	 	1434_26, 1435_22, 1436_21, 1437_25, 1438_23, 1439_20, 1440_24	 	 	 	 	 	 	 	 	1271_73, 1272_71, 1273_69, 1306_67, 1307_65, 1308_62, 1309_56	 	1130	 	 
Acinetobacter baumannii AB0057 (480119.5)	 	 	 	 	2273_34	2277_38	 	 	 	2274_49, 2275_49	 	 	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	 	 	 	 	1386_34	1382_38	 	 	 	1384_49, 1385_49	 	 	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	 	 	 	 	910_34	906_38	 	 	 	908_49, 909_49	 	 	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	 	 	 	 	2197_34	2201_38	 	 	 	2198_49, 2199_49	 	 	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	 	 	 	 	1101_34	1096_38	 	 	 	1099_49, 1100_49	 	 	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	 	 	 	 	1543_34	1539_38	 	 	 	1541_49, 1542_49	 	 	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	 	 	 	 	1468_37	2078_38	 	 	 	1466_49, 1467_52	 	 	 	 	434_87	 
Acinetobacter baumannii 1656-2 (696749.3)	 	 	 	 	2623_34	2627_38	 	 	 	2624_49, 2625_49	 	 	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	 	 	 	 	1102_34	1106_38	 	 	 	1103_49, 1104_49	 	 	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	 	 	 	 	1689_34	1693_38	 	 	 	1690_49, 1691_49	 	 	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	 	 	 	 	2111_34	2115_38	 	 	 	2112_49, 2113_49	 	 	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	 	 	 	 	2944_37	2948_38	 	 	 	2945_49, 2946_49	 	 	 	 	1514_87	 
Acinetobacter baumannii AB1H8 (1222031.3)	 	 	 	 	3114_34	3118_38	 	 	 	3115_49, 3116_49	 	 	 	 	 	 
Acinetobacter baumannii AB210 (886886.3)	 	 	 	 	2432_34	2428_38	 	 	 	2430_49, 2431_49	 	 	 	 	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	 	 	 	 	1419_37	1415_38	 	 	 	1417_49, 1418_49	 	 	 	 	941_87	 
Acinetobacter baumannii AB4A3 (1222032.3)	 	 	 	 	2927_37	2931_38	 	 	 	2928_49, 2929_49	 	 	 	 	526_87	 
Acinetobacter baumannii AB5256 (1116235.3)	 	 	 	 	2907_37, 2909_37	2913_38	 	 	 	2910_49, 2911_49	 	 	 	 	 	 
Acinetobacter baumannii AB5711 (1116236.3)	 	 	 	 	3722_34	3726_38	 	 	 	3723_49, 3724_49	 	 	 	 	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	 	 	 	 	2175_34	2179_38	 	 	 	2176_49, 2177_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	 	 	 	 	3246_34	3251_38	 	 	 	3247_49, 3248_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	 	 	 	 	790_37, 792_34	796_38	 	 	 	793_49, 794_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	 	 	 	 	2538_34	2542_38	 	 	 	2539_49, 2540_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	 	 	 	 	1873_34	1878_38	 	 	 	1874_49, 1875_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	 	 	 	 	1691_34	1697_38	 	 	 	1692_49, 1693_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	 	 	 	 	1773_34	1777_38	 	 	 	1774_49, 1775_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	 	 	 	 	2123_34	2119_38	 	 	 	2121_49, 2122_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	 	 	 	 	2339_34	2343_38	 	 	 	2340_49, 2341_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	 	 	 	 	1946_34	1951_38	 	 	 	1947_49, 1948_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	 	 	 	 	432_34	436_38	 	 	 	433_49, 434_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	 	 	 	 	884_34	880_38	 	 	 	882_49, 883_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	 	 	 	 	1440_34	1435_38	 	 	 	1438_49, 1439_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	 	 	 	 	1833_34	1837_38	 	 	 	1834_49, 1835_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	 	 	 	 	2603_34	2609_38	 	 	 	2604_49, 2605_49, 2606_49, 2607_49	 	 	 	 	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	 	 	 	 	915_37, 917_34	921_38	 	 	 	918_49, 919_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	 	 	 	 	602_37	606_38	 	 	 	603_49, 604_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	 	 	 	 	3778_34	892_38	 	 	 	3779_49, 3780_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	 	 	 	 	2249_37, 2250_37	1390_38	 	 	 	1387_49, 1388_49	 	 	 	 	1205_87	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	 	 	 	 	1478_34	1474_38	 	 	 	1476_49, 1477_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	 	 	 	 	1745_34	2819_38	 	 	 	1743_49, 1744_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	 	3589_9	 	 	3586_34	3591_38	 	 	 	3587_49, 3588_49	 	 	 	 	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	 	 	 	 	1041_34	1045_38	 	 	 	1042_49, 1043_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	 	 	 	 	233_34	229_38	 	 	 	231_49, 232_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	 	 	 	 	3559_34	3555_38	 	 	 	3557_49, 3558_49	 	 	 	 	3173_87	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	 	 	 	 	1572_34	1568_38	 	 	 	1570_49, 1571_49	 	 	 	 	1244_87	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	 	 	 	 	1934_34	1938_38	 	 	 	1935_49, 1936_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	 	 	 	 	3512_34	3516_38	 	 	 	3513_49, 3514_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	 	 	 	 	2722_34	2717_38	 	 	 	2719_49, 2720_52, 2721_49	 	 	 	 	1304_87	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	 	 	 	 	1715_34, 1717_37	1711_38	 	 	 	1713_49, 1714_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	 	 	 	 	602_34	606_38	 	 	 	603_49, 604_49	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	 	 	 	 	371_34	376_38	 	 	 	372_49, 373_52, 374_49	 	 	 	 	2301_87	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	 	 	 	 	2278_37, 2279_37	2274_38	 	 	 	2276_49, 2277_49	 	 	 	 	3483_87	 
