Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Helicobacter pylori G27 (563041.6)	944_1	 	1557_7, 823_7	427	1276_13	1609_11_19	1276_13	1609_11_19	1328_21, 302_22	302_22	 
Helicobacter pylori GAM100Ai (1159019.3)	392_1	 	289_7, 444_7	192	64_13	1248_11_19	64_13	1248_11_19	1173_22, 1459_21	1173_22	 
Helicobacter pylori GAM101Biv (1159020.3)	433_1	 	526_7, 750_7	1369	948_13	1054_11_19	948_13	1054_11_19	1178_22, 1287_21	1178_22	 
Helicobacter pylori GAM103Bi (1159021.3)	1072_1	 	1298_7, 288_7	877	1600_13	542_11_19	1600_13	542_11_19	1472_21, 996_22	996_22	 
Helicobacter pylori GAM105Ai (1159022.3)	1374_1	 	1130_7, 1289_7	554	235_13	932_11_19	235_13	932_11_19	1617_21, 672_22	672_22	 
Helicobacter pylori GAM114Ai (1159024.3)	48_1	 	238_7, 440_7	657	1169_13	1418_11_19	1169_13	1418_11_19	1097_21, 774_22	774_22	 
Helicobacter pylori GAM115Ai (1159025.3)	665_1	 	1334_7, 1631_7	43	523_13	461_11_19	523_13	461_11_19	1224_21, 843_22	843_22	 
Helicobacter pylori GAM118Bi (1159027.3)	435_1	 	1247_7, 672_7	1479	235_13	1024_11_19	235_13	1024_11_19	1595_22, 808_21	1595_22	 
Helicobacter pylori GAM119Bi (1159028.3)	605_1	 	1095_7, 931_7	1239	67_13	465_11_19	67_13	465_11_19	1357_22, 1598_21	1357_22	 
Helicobacter pylori GAM120Ai (1159029.3)	868_1	 	1366_7, 517_7	1628	1232_13	186_11_19	1232_13	186_11_19	1072_22, 1179_21	1072_22	 
Helicobacter pylori GAM121Aii (1159030.3)	227_1	 	113_7, 360_7	813	732_13	1207_11_19	732_13	1207_11_19	678_21, 926_22	926_22	 
Helicobacter pylori GAM201Ai (1159031.3)	362_1	 	1440_7, 282_7	584	775_13	1088_11_19	775_13	1088_11_19	1038_22, 829_21	1038_22	 
Helicobacter pylori GAM210Bi (1159032.3)	426_1	 	1204_7, 615_7	945	1026_13	1330_11_19	1026_13	1330_11_19	1081_21, 828_22	828_22	 
Helicobacter pylori GAM231Ai (1159033.3)	63_1	 	207_7, 452_7	1321	1237_13	78_11_19	1237_13	78_11_19	1185_21, 134_22	134_22	 
Helicobacter pylori GAM239Bi (1159034.3)	273_1	 	398_7, 586_7	1205	121_13	314_11_19	121_13	314_11_19	1048_22, 739_21	1048_22	 
Helicobacter pylori GAM244Ai (1159035.3)	431_1	 	141_7, 1546_7	352	474_13	261_11_19	474_13	261_11_19	1262_21, 1416_22	1416_22	 
Helicobacter pylori GAM245Ai (1159036.3)	1606_1	 	100_7, 1338_7	450	1048_13	300_11_19	1048_13	300_11_19	1469_21, 565_22	565_22	 
Helicobacter pylori GAM246Ai (1159037.3)	1363_1	 	732_7, 790_7	14	456_13	1242_11_19	456_13	1242_11_19	1057_21, 290_22	290_22	 
Helicobacter pylori GAM249T (1159038.3)	696_1	 	1433_7, 625_7	896	336_13	573_11_19	336_13	573_11_19	1571_21, 779_22	779_22	 
Helicobacter pylori GAM250AFi (1159039.3)	1420_1	 	458_7, 790_7	666	1350_13	1251_11_19	1350_13	1251_11_19	548_22, 867_21	548_22	 
Helicobacter pylori GAM250T (1159040.3)	605_1	 	766_7, 988_7	352	656_13	1346_11_19	656_13	1346_11_19	1054_21, 470_22	470_22	 
Helicobacter pylori GAM252Bi (1159041.3)	617_1	 	1010_7, 393_7	684	1551_13	1167_11_19	1551_13	1167_11_19	1148_21, 801_22	801_22	 
Helicobacter pylori GAM252T (1159042.3)	41_1	 	1207_7, 265_7	519	1487_13	465_11_19	1487_13	465_11_19	1100_21, 636_22	636_22	 
Helicobacter pylori GAM254Ai (1159043.3)	1294_1	 	23_7, 760_7	246	665_13	1211_11_19	665_13	1211_11_19	1555_21, 361_22	361_22	 
Helicobacter pylori GAM260ASi (1159044.3)	1093_1	 	1124_7, 277_7	1289	1518_13	1033_11_19	1518_13	1033_11_19	1406_22, 37_21	1406_22	 
Helicobacter pylori GAM260BSi (1159046.3)	124_1	 	22_7, 307_7	1327	1110_13	77_11_19	1110_13	77_11_19	1008_21, 1211_22	1211_22	 
Helicobacter pylori GAM260Bi (1159045.3)	266_1	 	1265_7, 65_7	426	896_13	993_11_19	896_13	993_11_19	1429_21, 1523_22	1523_22	 
Helicobacter pylori GAM263BFi (1159047.3)	1519_1	 	164_7, 653_7	45	479_13	1107_11_19	479_13	1107_11_19	1333_21, 1573_22	1573_22	 
Helicobacter pylori GAM264Ai (1159048.3)	533_1	 	426_7, 707_7	278	1253_13	941_11_19	1253_13	941_11_19	1150_22, 1304_21	1150_22	 
Helicobacter pylori GAM265BSii (1159049.3)	1186_1	 	1214_7, 715_7	1496	805_13	1092_11_19	805_13	1092_11_19	183_22, 860_21	183_22	 
Helicobacter pylori GAM270ASi (1159051.3)	1301_1	 	1522_7, 670_7	1128	1212_13	490_11_19	1212_13	490_11_19	1010_22, 883_21	1010_22	 
Helicobacter pylori GAM42Ai (1159052.3)	5_1	 	1006_7, 607_7	147	1532_13	726_11_19	1532_13	726_11_19	1390_22, 420_21	1390_22	 
Helicobacter pylori GAM80Ai (1159054.3)	5_1	 	49_7, 598_7	1573	148_13	1016_11_19	148_13	1016_11_19	1454_22, 947_21	1454_22	 
Helicobacter pylori GAM83Bi (1159055.3)	1572_1	 	1169_7, 184_7	670	89_13	1533_11_19	89_13	1533_11_19	1425_22, 772_21	1425_22	 
Helicobacter pylori GAM83T (1159056.3)	809_1	 	594_7, 697_7	446	14_13	1211_11_19	14_13	1211_11_19	1567_22, 214_21	1567_22	 
Helicobacter pylori GAM96Ai (1159058.3)	1207_1	 	650_7, 974_7	777	465_13	1370_11_19	465_13	1370_11_19	1071_22, 1597_21	1071_22	 
Helicobacter pylori GAMchJs106B (1159059.3)	1502_1	 	741_7, 841_7	485	143_13	1014_11_19	143_13	1014_11_19	1453_21, 601_22	601_22	 
Helicobacter pylori GAMchJs114i (1159060.3)	164_1	 	1228_7, 836_7	522	947_13	638_11_19	947_13	638_11_19	1111_21, 71_22	71_22	 
Helicobacter pylori GAMchJs117Ai (1159061.3)	566_1	 	1309_7, 412_7	468	323_13	1115_11_19	323_13	1115_11_19	1549_21, 726_22	726_22	 
Helicobacter pylori GAMchJs124i (1159062.3)	1097_1	 	503_7, 99_7	952	15_13	445_11_19	15_13	445_11_19	1165_21, 1470_22	1470_22	 
Helicobacter pylori GAMchJs136i (1159064.3)	316_1	 	1090_7, 1475_7	364	1530_13	1265_11_19	1530_13	1265_11_19	1390_22, 1587_21	1390_22	 
Helicobacter pylori Gambia94/24 (907240.3)	961_1	 	1586_7, 839_7	443	1273_13	1645_11_19	1273_13	1645_11_19	1326_21, 330_22	330_22	 
Helicobacter pylori HLJHP193 (1213457.3)	910_1	 	1463_7, 537_7	414	1195_13	1409_11_19	1195_13	1409_11_19	1247_21, 295_22	295_22	 
Helicobacter pylori HLJHP253 (1214223.3)	53_1	 	1133_7, 166_7	572	1253_13	1075_11_19	1253_13	1075_11_19	1514_21, 693_22	693_22	 
Helicobacter pylori HLJHP256 (1214221.3)	1304_1	 	1413_7, 792_7	259	1042_13	735_11_19	1042_13	735_11_19	385_22, 989_21	385_22	 
Helicobacter pylori HLJHP271 (1214222.3)	62_1	 	1154_7, 180_7	571	1480_13	1094_11_19	1480_13	1094_11_19	1530_21, 689_22	689_22	 
Helicobacter pylori HP116Bi (1159065.3)	1561_1	 	1339_7, 360_7	1128	1427_13	765_11_19	1427_13	765_11_19	192_22, 868_21	192_22	 
Helicobacter pylori HP250AFiV (1159068.3)	829_1	 	1232_7, 395_7	648	1523_13	1010_11_19	1523_13	1010_11_19	530_22, 779_21	530_22	 
Helicobacter pylori HP250AFii (1159066.3)	1519_1	 	1423_7, 289_7	871	954_13	651_11_19	954_13	651_11_19	532_21, 754_22	754_22	 
Helicobacter pylori HP250AFiii (1159067.3)	566_1	 	1385_7, 874_7	615	85_13	1489_11_19	85_13	1489_11_19	455_21, 732_22	732_22	 
Helicobacter pylori HP250ASi (1159069.3)	1404_1	 	831_7, 994_7	517	1424_13	60_11_19	1424_13	60_11_19	1392_21, 635_22	635_22	 
Helicobacter pylori HP250ASii (1159070.3)	496_1	 	1195_7, 193_7	720	637_13	58_11_19	637_13	58_11_19	562_21, 837_22	837_22	 
Helicobacter pylori HP250BFiV (1159074.3)	1444_1	 	1187_7, 317_7	870	772_13	543_11_19	772_13	543_11_19	471_21, 987_22	987_22	 
Helicobacter pylori HP250BFii (1159072.3)	650_1	 	1193_7, 550_7	893	696_13	122_11_19	696_13	122_11_19	1010_22, 753_21	1010_22	 
Helicobacter pylori HP250BFiii (1159073.3)	176_1	 	656_7, 926_7	1197	1420_13	560_11_19	1420_13	560_11_19	1315_22, 580_21	1315_22	 
Helicobacter pylori HP250BSi (1159075.3)	1463_1	 	286_7, 726_7	579, 580	1098_13	188_11_19	1098_13	188_11_19	204_21, 462_22	462_22	 
Helicobacter pylori HP260AFi (1159076.3)	7_1	 	1164_7, 234_7	1528	805_13	192_11_19	805_13	192_11_19	1411_22, 672_21	1411_22	 
Helicobacter pylori HP260AFii (1159077.3)	357_1	 	185_7, 9_7	417	1431_13	1568_11_19	1431_13	1568_11_19	534_22, 664_21	534_22	 
Helicobacter pylori HP260ASii (1159078.3)	300_1	 	109_7, 1151_7	522	1584_13	974_11_19	1584_13	974_11_19	1340_21, 640_22	640_22	 
Helicobacter pylori HP260BFii (1159079.3)	530_1	 	22_7, 274_7	935	1249_13	586_11_19	1249_13	586_11_19	1050_22, 1544_21	1050_22	 
Helicobacter pylori HP260Bi (1159080.3)	745_1	 	1486_7, 224_7	521	1087_13	1140_11_19	1087_13	1140_11_19	1598_21, 634_22	634_22	 
Helicobacter pylori HPAG1 (357544.13)	944_1	 	1452_7, 826_7	429	1220_13	1548_11_19	1220_13	1548_11_19	1278_21, 308_22	308_22	 
Helicobacter pylori HUP-B14 (1163743.3)	930_1	 	1490_7, 538_7	415	1204_13	1543_11_19	1204_13	1543_11_19	1261_21, 304_22	304_22	 
Helicobacter pylori Hp A-11 (992035.3)	1237_1	 	137_7, 855_7	648	1523_13	199_11_19	1523_13	199_11_19	1582_21, 552_22	552_22	 
Helicobacter pylori Hp A-14 (992054.3)	920_1	 	1441_7, 518_7	391	1196_13	1500_11_19	1196_13	1500_11_19	1248_21, 272_22	272_22	 
Helicobacter pylori Hp A-16 (992055.3)	1146_1	 	1636_7, 981_7	505	1378_13	33_11_19	1378_13	33_11_19	1430_21, 391_22	391_22	 
Helicobacter pylori Hp A-17 (992036.3)	1023_1	 	1538_7, 899_7	506	1349_13	36_11_19	1349_13	36_11_19	1403_21, 390_22	390_22	 
Helicobacter pylori Hp A-20 (992037.3)	1155_1	 	1030_7, 1663_7	533	1383_13	29_11_19	1383_13	29_11_19	1442_21, 415_22	415_22	 
Helicobacter pylori Hp A-26 (992056.3)	1060_1	 	1436_7, 811_7	446	1299_13	1493_11_19	1299_13	1493_11_19	1619_21, 331_22	331_22	 
Helicobacter pylori Hp A-27 (992057.3)	905_1	 	1470_7, 790_7	411	1197_13	1531_11_19	1197_13	1531_11_19	1250_21, 284_22	284_22	 
Helicobacter pylori Hp A-4 (992032.3)	1131_1	 	1005_7, 1573_7	511	1326_13	37_11_19	1326_13	37_11_19	1384_21, 393_22	393_22	 
Helicobacter pylori Hp A-5 (992033.3)	1558_1	 	1010_7, 1425_7	518	1238_13	34_11_19	1238_13	34_11_19	1292_21, 401_22	401_22	 
Helicobacter pylori Hp A-6 (992052.3)	974_1	 	1594_7, 853_7	1115	1313_13	11_11_19	1313_13	11_11_19	1367_21, 358_22	358_22	 
Helicobacter pylori Hp A-8 (992053.3)	823_1	 	1490_7, 704_7	313	1048_13	1552_11_19	1048_13	1552_11_19	1101_21, 197_22	197_22	 
Helicobacter pylori Hp A-9 (992034.3)	1192_1	 	1653_7, 637_7	924	1340_13	1713_11_19	1340_13	1713_11_19	1400_21, 340_22	340_22	 
Helicobacter pylori Hp H-1 (992058.3)	985_1	 	1598_7, 865_7	1114	1257_13	1622_11_19	1257_13	1622_11_19	1312_21, 374_22	374_22	 
Helicobacter pylori Hp H-10 (992063.3)	1101_1	 	1601_7, 978_7	496	1320_13	27_11_19	1320_13	27_11_19	1376_21, 380_22	380_22	 
Helicobacter pylori Hp H-11 (992064.3)	1140_1	 	1015_7, 117_7	1243	1467_13	172_11_19	1467_13	172_11_19	1529_21, 539_22	539_22	 
Helicobacter pylori Hp H-16 (992038.3)	1130_1	 	1009_7, 1548_7	704	1361_13	229_11_19	1361_13	229_11_19	1417_21, 586_22	586_22	 
Helicobacter pylori Hp H-19 (992066.3)	1262_1	 	1136_7, 114_7	631	1463_13	173_11_19	1463_13	173_11_19	1520_21, 516_22	516_22	 
Helicobacter pylori Hp H-21 (992067.3)	1094_1	 	1464_7, 963_7	468	1278_13	1594_11_19	1278_13	1594_11_19	1332_21, 352_22	352_22	 
Helicobacter pylori Hp H-23 (992068.3)	882_1	 	76_7, 760_7	972	1452_13	137_11_19	1452_13	137_11_19	1504_21, 504_22	504_22	 
Helicobacter pylori Hp H-24 (992039.3)	1207_1	 	1091_7, 75_7	606	1488_13	140_11_19	1488_13	140_11_19	1543_21, 489_22	489_22	 
Helicobacter pylori Hp H-24b (992094.3)	1112_1	 	1563_7, 991_7	498	1349_13	35_11_19	1349_13	35_11_19	1405_21, 382_22	382_22	 
Helicobacter pylori Hp H-24c (992095.3)	998_1	 	1205_7, 1604_7	495	1299_13	34_11_19	1299_13	34_11_19	1355_21, 381_22	381_22	 
Helicobacter pylori Hp H-27 (992040.3)	1547_1	 	110_7, 1425_7	1063	733_13	163_11_19	733_13	163_11_19	684_21, 942_22	942_22	 
Helicobacter pylori Hp H-28 (992041.3)	1232_1	 	1587_7, 910_7	1042	258_13	34_11_19	258_13	34_11_19	1414_21, 541_22	541_22	 
Helicobacter pylori Hp H-29 (992042.3)	1085_1	 	1580_7, 889_7	506	1335_13	35_11_19	1335_13	35_11_19	1393_21, 390_22	390_22	 
Helicobacter pylori Hp H-3 (992059.3)	1156_1	 	1005_7, 1556_7	506	1359_13	36_11_19	1359_13	36_11_19	1416_21, 389_22	389_22	 
Helicobacter pylori Hp H-30 (992043.3)	1138_1	 	1011_7, 1579_7	499	1338_13	32_11_19	1338_13	32_11_19	1393_21, 382_22	382_22	 
Helicobacter pylori Hp H-34 (992069.3)	1361_1	 	1235_7, 173_7	735	1488_13	259_11_19	1488_13	259_11_19	1542_21, 619_22	619_22	 
Helicobacter pylori Hp H-36 (992044.3)	1017_1	 	1146_7, 1602_7	548	1386_13	74_11_19	1386_13	74_11_19	1439_21, 430_22	430_22	 
Helicobacter pylori Hp H-4 (992060.3)	904_1	 	1619_7, 780_7	514	1362_13	33_11_19	1362_13	33_11_19	1418_21, 398_22	398_22	 
Helicobacter pylori Hp H-41 (992046.3)	999_1	 	1591_7, 880_7	478	1313_13	14_11_19	1313_13	14_11_19	1368_21, 364_22	364_22	 
Helicobacter pylori Hp H-42 (992047.3)	1060_1	 	1622_7, 926_7	447	1346_13	1675_11_19	1346_13	1675_11_19	1400_21, 331_22	331_22	 
Helicobacter pylori Hp H-43 (992048.3)	959_1	 	1460_7, 834_7	1207	320_13	1515_11_19	320_13	1515_11_19	1087_22, 267_21	1087_22	 
Helicobacter pylori Hp H-44 (992049.3)	1123_1	 	1007_7, 1612_7	496	1341_13	31_11_19	1341_13	31_11_19	1396_21, 378_22	378_22	 
Helicobacter pylori Hp H-45 (992050.3)	984_1	 	1444_7, 864_7	317	1133_13	1498_11_19	1133_13	1498_11_19	1184_21, 195_22	195_22	 
Helicobacter pylori Hp H-5b (992092.3)	1192_1	 	1071_7, 1610_7	501	1364_13	33_11_19	1364_13	33_11_19	1418_21, 384_22	384_22	 
Helicobacter pylori Hp H-6 (992061.3)	1079_1	 	1660_7, 953_7	526	1419_13	49_11_19	1419_13	49_11_19	1474_21, 407_22	407_22	 
Helicobacter pylori Hp H-9 (992062.3)	977_1	 	1584_7, 863_7	412	1205_13	1491_11_19	1205_13	1491_11_19	1266_21, 291_22	291_22	 
Helicobacter pylori Hp M1 (992117.3)	1211_1	 	1094_7, 79_7	613	1450_13	148_11_19	1450_13	148_11_19	1506_21, 499_22	499_22	 
Helicobacter pylori Hp M2 (992118.3)	1090_1	 	1536_7, 973_7	483	1322_13	20_11_19	1322_13	20_11_19	1377_21, 369_22	369_22	 
Helicobacter pylori Hp M3 (992119.3)	1210_1	 	1009_7, 77_7	609	1451_13	144_11_19	1451_13	144_11_19	1508_21, 494_22	494_22	 
Helicobacter pylori Hp M4 (992120.3)	1213_1	 	1094_7, 79_7	610	1491_13	145_11_19	1491_13	145_11_19	1546_21, 494_22	494_22	 
Helicobacter pylori Hp M5 (992121.3)	1245_1	 	108_7, 1128_7	635	1438_13	174_11_19	1438_13	174_11_19	1493_21, 522_22	522_22	 
Helicobacter pylori Hp M6 (992122.3)	1235_1	 	1115_7, 187_7	716	1482_13	252_11_19	1482_13	252_11_19	1538_21, 601_22	601_22	 
Helicobacter pylori Hp M9 (992125.3)	1046_1	 	1538_7, 928_7	536	1281_13	1602_11_19	1281_13	1602_11_19	1337_21, 421_22	421_22	 
Helicobacter pylori Hp P-1 (992072.3)	1165_1	 	1039_7, 7_7	643	1476_13	152_11_19	1476_13	152_11_19	1532_21, 525_22	525_22	 
Helicobacter pylori Hp P-11 (992078.3)	1237_1	 	1116_7, 1434_7	467	729_13	1687_11_19	729_13	1687_11_19	1585_21, 351_22	351_22	 
Helicobacter pylori Hp P-11b (992106.3)	1123_1	 	1000_7, 1507_7	519	1374_13	34_11_19	1374_13	34_11_19	1653_21, 406_22	406_22	 
Helicobacter pylori Hp P-13 (992079.3)	1211_1	 	1084_7, 1701_7	531	1459_13	38_11_19	1459_13	38_11_19	1512_21, 414_22, 415_22	414_22, 415_22	 
Helicobacter pylori Hp P-13b (992107.3)	1172_1	 	1055_7, 1570_7	506	1377_13	31_11_19	1377_13	31_11_19	1429_21, 392_22	392_22	 
Helicobacter pylori Hp P-15 (992080.3)	1254_1	 	1130_7, 117_7	773	1427_13	168_11_19	1427_13	168_11_19	1478_21, 655_22	655_22	 
Helicobacter pylori Hp P-15b (992108.3)	1497_1	 	117_7, 1375_7	1024	695_13	168_11_19	695_13	168_11_19	643_21, 906_22	906_22	 
Helicobacter pylori Hp P-16 (992081.3)	580_1	 	1392_7, 952_7	394	1168_13	1445_11_19	1168_13	1445_11_19	1219_21, 279_22	279_22	 
Helicobacter pylori Hp P-1b (992098.3)	1249_1	 	1121_7, 118_7	675	1510_13	183_11_19	1510_13	183_11_19	1567_21, 559_22	559_22	 
Helicobacter pylori Hp P-2 (992073.3)	1025_1	 	1541_7, 897_7	507	1346_13	33_11_19	1346_13	33_11_19	1408_21, 387_22	387_22	 
Helicobacter pylori Hp P-25 (992084.3)	1301_1	 	115_7, 1168_7	720	1635_13	183_11_19	1635_13	183_11_19	1697_21, 588_22, 589_22	588_22, 589_22	 
Helicobacter pylori Hp P-25c (992111.3)	1147_1	 	1027_7, 1626_7	540	1370_13	38_11_19	1370_13	38_11_19	1424_21, 422_22	422_22	 
Helicobacter pylori Hp P-25d (992112.3)	1327_1	 	109_7, 1206_7	1482	606_13	172_11_19	606_13	172_11_19	551_21, 759_22	759_22	 
Helicobacter pylori Hp P-26 (992085.3)	1592_1	 	1066_7, 1465_7	506	875_13	33_11_19	875_13	33_11_19	387_22, 929_21	387_22	 
Helicobacter pylori Hp P-28b (992114.3)	990_1	 	1424_7, 862_7	407	1229_13	1571_11_19	1229_13	1571_11_19	1284_21, 295_22	295_22	 
Helicobacter pylori Hp P-2b (992099.3)	1023_1	 	1584_7, 895_7	505	1388_13	33_11_19	1388_13	33_11_19	1446_21, 384_22	384_22	 
Helicobacter pylori Hp P-3 (992074.3)	1118_1	 	1596_7, 987_7	511	1346_13	36_11_19	1346_13	36_11_19	1405_21, 395_22	395_22	 
Helicobacter pylori Hp P-30 (992087.3)	1564_1	 	116_7, 1411_7	1059	595_13	212_11_19	595_13	212_11_19	649_21, 937_22	937_22	 
Helicobacter pylori Hp P-3b (992100.3)	1023_1	 	1518_7, 896_7	423	1247_13	1579_11_19	1247_13	1579_11_19	1303_21, 305_22	305_22	 
Helicobacter pylori Hp P-4 (992075.3)	1288_1	 	1165_7, 73_7	614	1471_13	146_11_19	1471_13	146_11_19	1522_21, 496_22	496_22	 
Helicobacter pylori Hp P-41 (992088.3)	1163_1	 	1590_7, 841_7	557	1402_13	39_11_19	1402_13	39_11_19	1454_21, 443_22	443_22	 
Helicobacter pylori Hp P-4c (992102.3)	1308_1	 	114_7, 1183_7	652	1524_13	184_11_19	1524_13	184_11_19	1576_21, 534_22	534_22	 
Helicobacter pylori Hp P-4d (992103.3)	1480_1	 	110_7, 1357_7	650	964_13	180_11_19	964_13	180_11_19	530_22, 912_21	530_22	 
Helicobacter pylori Hp P-62 (992089.3)	1017_1	 	1430_7, 897_7	413	1240_13	1576_11_19	1240_13	1576_11_19	1293_21, 301_22	301_22	 
Helicobacter pylori Hp P-74 (992091.3)	1551_1	 	115_7, 1430_7	1083	404_13	170_11_19	404_13	170_11_19	458_21, 965_22	965_22	 
Helicobacter pylori Hp P-8 (992077.3)	1092_1	 	1509_7, 974_7	505	1319_13	31_11_19	1319_13	31_11_19	1371_21, 387_22	387_22	 
Helicobacter pylori Hp P-8b (992105.3)	1003_1	 	1513_7, 885_7	511	1325_13	40_11_19	1325_13	40_11_19	1377_21, 395_22	395_22	 
Helicobacter pylori India7 (907238.3)	940_1	 	1498_7, 508_7	381	1291_13	1631_11_19	1291_13	1631_11_19	1342_21, 266_22	266_22	 
Helicobacter pylori J99 (85963.7)	942_1	 	1523_7, 815_7	427	1251_13	1580_11_19	1251_13	1580_11_19	1303_21, 309_22	309_22	 
Helicobacter pylori Lithuania75 (907237.3)	946_1	 	1506_7, 823_7	426	1232_13	1592_11_19	1232_13	1592_11_19	1285_21, 302_22	302_22	 
Helicobacter pylori MALT (1200324.3)	690_1	 	115_7, 1446_7	639	967_13	174_11_19	967_13	174_11_19	1019_21, 523_22	523_22	 
Helicobacter pylori N6 (102616.3)	316_1	 	230_7, 656_7	86	591_13	1043_11_19	591_13	1043_11_19	1508_22, 1509_22, 1664_21	1508_22, 1509_22	 
Helicobacter pylori NAK7 (1282880.3)	1429_1	 	340_7, 793_7	60	1563_13	438_11_19	1563_13	438_11_19	242_21, 557_22	557_22	 
Helicobacter pylori NQ1671 (981220.3)	877_1	 	204_7, 313_7	583	1510_13	1395_11_19	1510_13	1395_11_19	1025_21, 464_22	464_22	 
Helicobacter pylori NQ1712 (981213.3)	1183_1	 	1571_7, 566_7	727	1063_13	474_11_19	1063_13	474_11_19	1170_21, 89_22	89_22	 
Helicobacter pylori NQ315 (981212.3)	1013_1	 	1131_7, 121_7	805	360_13	1592_11_19	360_13	1592_11_19	1073_21, 1244_22	1244_22	 
Helicobacter pylori NQ4044 (992028.3)	1217_1	 	1046_7, 1725_7	536	1425_13	34_11_19	1425_13	34_11_19	1480_21, 413_22	413_22	 
Helicobacter pylori NQ4053 (992027.3)	887_1	 	1511_7, 763_7	992	1303_13	24_11_19	1303_13	24_11_19	1357_21, 380_22	380_22	 
Helicobacter pylori NQ4060 (981218.3)	206_1	 	1088_7, 307_7	655	731_13	1387_11_19	731_13	1387_11_19	519_21, 858_22	858_22	 
Helicobacter pylori NQ4099 (992026.3)	1166_1	 	1042_7, 1586_7	606	1388_13	52_11_19	1388_13	52_11_19	1440_21, 481_22	481_22	 
Helicobacter pylori NQ4110 (992031.3)	1082_1	 	77_7, 959_7	604	1302_13	136_11_19	1302_13	136_11_19	1354_21, 492_22	492_22	 
Helicobacter pylori NQ4161 (992030.3)	683_1	 	1665_7, 561_7	879	1389_13	1174_11_19	1389_13	1174_11_19	1442_21, 362_22	362_22	 
Helicobacter pylori NQ4191 (981221.3)	603_1	 	1084_7, 766_7	1285	370_13	1209_11_19	370_13	1209_11_19	1551_22, 1552_22, 884_21	1551_22, 1552_22	 
Helicobacter pylori NQ4200 (992024.3)	983_1	 	1359_7, 860_7	302	1108_13	1454_11_19	1108_13	1454_11_19	1162_21, 191_22	191_22	 
Helicobacter pylori NQ4216 (992023.3)	1264_1	 	1146_7, 87_7	615	1459_13	145_11_19	1459_13	145_11_19	1513_21, 495_22, 496_22	495_22, 496_22	 
Helicobacter pylori NQ4228 (992025.3)	583_1	 	115_7, 1267_7	876	1476_13	175_11_19	1476_13	175_11_19	1532_21, 669_22	669_22	 
Helicobacter pylori OK113 (1248725.3)	1013_1	 	1552_7, 896_7	453	1288_13	1618_11_19	1288_13	1618_11_19	1340_21, 331_22	331_22	 
Helicobacter pylori OK310 (1248726.3)	940_1	 	1458_7, 568_7	440	1203_13	1558_11_19	1203_13	1558_11_19	1252_21, 320_22	320_22	 
Helicobacter pylori P12 (570508.6)	967_1	 	1566_7, 855_7	431	1259_13	1625_11_19	1259_13	1625_11_19	1312_21, 308_22	308_22	 
Helicobacter pylori PeCan18 (1163742.3)	937_1	 	1445_7, 814_7	420	1255_13	1591_11_19	1255_13	1591_11_19	1312_21, 302_22, 303_22	302_22, 303_22	 
Helicobacter pylori PeCan4 (765963.4)	948_1	 	1500_7, 825_7	428	1220_13	1601_11_19	1220_13	1601_11_19	1274_21, 304_22	304_22	 
Helicobacter pylori Puno120 (1055528.4)	905_1	 	1472_7, 792_7	417	1195_13	1556_11_19	1195_13	1556_11_19	1247_21, 296_22	296_22	 
Helicobacter pylori Puno135 (1055529.4)	910_1	 	1519_7, 793_7	418	1255_13	1575_11_19	1255_13	1575_11_19	1305_21, 295_22	295_22	 
Helicobacter pylori R036d (1145113.3)	1076_1	 	1635_7, 922_7	409	1270_13	1540_11_19	1270_13	1540_11_19	1327_21, 298_22	298_22	 
Helicobacter pylori R037c (1145114.3)	1187_1	 	1068_7, 79_7	636	1470_13	173_11_19	1470_13	173_11_19	1531_21, 523_22	523_22	 
Helicobacter pylori R038b (1145115.3)	1061_1	 	1583_7, 942_7	488	1309_13	25_11_19	1309_13	25_11_19	1360_21, 370_22	370_22	 
Helicobacter pylori R046Wa (1145116.3)	320_1	 	1393_7, 470_7	855	1131_13	1486_11_19	1131_13	1486_11_19	1193_21, 972_22	972_22	 
Helicobacter pylori R055a (1145117.3)	1155_1	 	1039_7, 30_7	714	1421_13	124_11_19	1421_13	124_11_19	1484_21, 470_22	470_22	 
Helicobacter pylori R056a (1145118.3)	1344_1	 	1219_7, 133_7	679	1548_13	223_11_19	1548_13	223_11_19	1614_21, 562_22	562_22	 
Helicobacter pylori R32b (1145112.3)	1226_1	 	578_7, 79_7	702	1415_13	141_11_19	1415_13	141_11_19	1511_21, 820_22	820_22	 
Helicobacter pylori Rif1 (1234365.3)	969_1	 	1598_7, 843_7	1088	1293_13	1637_11_19	1293_13	1637_11_19	1346_21, 304_22	304_22	 
Helicobacter pylori Rif2 (1234600.3)	969_1	 	1598_7, 845_7	1089	1295_13	1637_11_19	1295_13	1637_11_19	1348_21, 304_22	304_22	 
Helicobacter pylori SJM180 (765962.4)	940_1	 	1547_7, 819_7	429	1229_13	1602_11_19	1229_13	1602_11_19	1285_21, 311_22	311_22	 
Helicobacter pylori SNT49 (1055530.4)	965_1	 	1505_7, 841_7	447	1238_13	1557_11_19	1238_13	1557_11_19	1293_21, 336_22	336_22	 
Helicobacter pylori Sat464 (794851.3)	904_1	 	1459_7, 543_7	413	1188_13	1519_11_19	1188_13	1519_11_19	1239_21, 289_22	289_22	 
