Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Haemophilus influenzae 86-028NP (281310.6)	1565	1	548_4	1234	 	 	958	 	1795_14, 1796_13	 	 
Haemophilus influenzae F3031 (866630.3)	737	1	1818_4	1083	 	 	1409	 	555_13, 556_14	 	 
Haemophilus influenzae F3047 (935897.3)	1512	1	738_4	1859	 	 	276	 	1279_13, 1280_14	 	 
Haemophilus influenzae NT127 (656913.3)	1510	 	716_4	541	 	 	127	781_11	1099_13, 1100_14	 	 
Haemophilus influenzae PittAA (374928.4)	953	 	505_4	983	 	 	686	566_11	424_14, 425_13	 	 
Haemophilus influenzae PittHH (374932.4)	102	745	217_4	1023	 	 	953	276_11	1928_14, 1929_13	 	 
Haemophilus influenzae PittII (374933.4)	871	1622	545_4	1233	 	 	243	610_11	1118_13, 1119_14	 	 
Haemophilus influenzae R2846 (262727.7)	909	632	119_4	1194	 	 	1486	179_11	730_13, 731_14	 	 
Haemophilus influenzae R2866 (262728.5)	936	1182	1744_4	641	 	 	340	1683_11	1085_14, 1086_13	 	 
Haemophilus influenzae Rd KW20 (71421.8)	1501	 	 	1219	 	 	904	424_11	1723_14, 1724_13	 	 
Haemophilus influenzae RdAW (656912.3)	928	 	 	1345	 	 	146	729_11	1458_14, 1459_13	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	758	319	1731_4	975	 	 	1617	1304_11	 	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	380	1622	147_4	833	 	 	267	1133_11	 	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	405	1258	811_4	625	 	 	1925	118_11	 	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	1673	 	 	1357	 	 	529	1063_11	 	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	1983	1533	1725_4	391	 	 	677	 	 	1616_16	 
Haemophilus sputorum HK 2154 (1078483.3)	457	669	1649_4	769	 	 	1587	 	 	586_16	 
Acinetobacter baumannii AB0057 (480119.5)	3420	1279	2942_3	2921	3315_6	2853	3622	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	388	2313	798_3	821	493_6	890	158	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	2519	2740	3471_4, 3518_3	336	3357_6	402	3080	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	3334	1243	1962_4, 2914_3	2893	3228_6	2826	3536	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	2540	3063	2231_3	2254	3614_6	2319	3422	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	463	2502	906_3	928	568_6	994	263	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	408	1384	360_4, 829_3	856	2710_6	935	3251	 	 	 	 
Acinetobacter baumannii 1656-2 (696749.3)	3391	1633	2382_4, 2971_3	2947	3286_6	2875	3605	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	1879	3576	1370_3, 3676_4	732	3492_6	663	1659	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	1434	3167	1966_3, 3580_4	353	3200_6	422	1220	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	3232	1143	1880_4, 2815_3	2793	3126_6	2724	3446	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	1536	298	2059_3, 865_4	2037	976_6	1967	1744	 	 	 	 
Acinetobacter baumannii AB1H8 (1222031.3)	2009	1171	1948_4, 639_3	615	3558_6	546	1542	 	 	 	 
Acinetobacter baumannii AB210 (886886.3)	1475	3502	245_3, 3752_4	222	3483_6	153	1913	 	 	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	964	2814	3260_3	1330	2855_6	224	422	 	 	 	 
Acinetobacter baumannii AB4A3 (1222032.3)	549	1977	3674_3	2700	3110_6	144	394	 	 	 	 
Acinetobacter baumannii AB5256 (1116235.3)	178	1865	3596_3	3571	72_6	3503	393	 	 	 	 
Acinetobacter baumannii AB5711 (1116236.3)	759	2724	1917_3, 3495_4	1941	869_6	2008	550	 	 	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	3244	1138	1937_4, 2829_3	2805	3136_6	2735, 2736	3458	 	 	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	3463	856	1884_3, 3008_4	1860	1957_6	1792	2232	 	 	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	3601	1260	2060_3	704	3615_6	2729	255	 	 	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	722	3080	3224_3	2305	2973_6	106	887	 	 	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	493	3056	2594_3	2023	2906_6	54	728	 	 	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	91	2902	3610_3	2473	3075_6	384	1463	 	 	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	547	1609	1793_3, 3168_4	1817	2944_6	850	1130	 	 	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	2758	1639	3427_3	3060	2993_6	644	1121	 	 	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	260	2491	3162_3	1726	2951_6	54	807	 	 	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	375	2961	3125_3	1465	2801_6	74	547	 	 	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	1007	3275	200_4, 3361_3	3385	1951_6	3454	2167	 	 	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	3652	1773	2554_3	2577	72_6	2646	3441	 	 	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	3442	2442	1082_3, 1662_4	1106	1403_6	1173	3653	 	 	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	2122	2816	1561_3, 1989_4	510	3520_6	990	2492	 	 	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	191	2017	1231_4, 1856_3	1954	3716_6	2679	1589	 	 	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	2668	2309	2107_3	3087	3594_6	2901	1143	 	 	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	794	2398	2232_3, 517_4	3314	3070_6	37	3488	 	 	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	3177	6	2962_3, 743_4	536	2909_6	467	1051	 	 	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	1228	33	163_3	141	278_6	72	1752	 	 	 	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	2479	2174	1098_3, 1603_4	1168	33_6	1237	2538	 	 	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	1269	1487	814_3	837	2003_6	905	1044	 	 	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	587	2741	341_3	364	2947_6	432	2171	 	 	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	3458	3128	1776_4, 2010_3	1987	2778_6	1918	1531	 	 	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	148	2053	480_3	608	2226_6	2288	3492	 	 	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	3150	2756	581_3	604	2378_6	674	2153	 	 	 	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	1221	444	2892_3	2915	1880_6	2985	3322	 	 	 	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	2121	1822	3556_4, 361_3	384	572_6	453	1756	 	 	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	3372	904	2861_4, 3890_3	2500	3089_6	1163	3161	 	 	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	1328	2931	1171_3	1149	2083_6	1080	1615	 	 	 	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	2840	2977	836_3	813	2635_6	745	2173	 	 	 	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	2777	107	1808_3, 3241_4	1831	1080_6	3075	583	 	 	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	2672	2875	2073_3	2051	2202_6	1982	1499	 	 	 	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	3460	3450	2706_3	2684	2983_6	2615	782	 	 	 	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	87	700	1524_4, 774_3	797	3428_6	2356	3590	 	 	 	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	433	405	3208_3	3186	2066_6	3116	2926	 	 	 	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	871	2641	1000_3, 1428_4	977	1942_6	1173	3725	 	 	 	 
Acinetobacter baumannii AB_515-8 (1221265.3)	371	534	1996_4, 3567_3	2173	3452_6	2104	3379	 	 	 	 
Acinetobacter baumannii AB_908-12 (1221266.3)	3093	2566	1917_3, 715_4	1894	2370_6	2924	298	 	 	 	 
Acinetobacter baumannii AB_908-13 (1221267.3)	184	2204	1402_3	1427	3151_6	1495	2690	 	 	 	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	2828	3190	164_3	186	600_6	850	1028	 	 	 	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	2067	274	1923_3	1948	2173_6	2016	168	 	 	 	 
Acinetobacter baumannii AB_909-05 (1221271.3)	312	3533	2654_3, 417_4	2631	2264_6	2730	3848	 	 	 	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	1821	979	3030_3	3054	2301_6	3123	1610	 	 	 	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	1701	2770	1964_3	1986	762_6	2055	3570	 	 	 	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	1656	907	735_4, 780_3	3186	3628_6	3117	47	 	 	 	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	3094	2260	1402_4, 2018_3	2041	3160_6	2110	1942	 	 	 	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	68	2673	918_3, 967_4	895	15_6	826	1258	 	 	 	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	1537	2812	290_3	314	240_6	382	1647	 	 	 	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	2527	922	809_3	785	86_6	716	2331	 	 	 	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	3240	1025	139_3	115	1966_6	47	3314	 	 	 	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	1348	1843	3208_3, 889_4	1202	869_6	2004	1415	 	 	 	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	1071	543	2220_3	2197	965_6	2295	1291	 	 	 	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	2473	266	235_3	212	2701_6	144	2257	 	 	 	 
Acinetobacter baumannii AC12 (1198108.3)	336	320	1925_3, 3114_4	1902	2734_6	1833	1235	 	 	 	 
Acinetobacter baumannii AC30 (1224747.3)	1793	3638	2540_4, 368_3	345	3354_6	276	145	 	 	 	 
Acinetobacter baumannii ANC 4097 (1217638.3)	3488	1238	2977_3	2953	3919_6	2885	3695	 	 	 	 
Acinetobacter baumannii Ab11111 (1168588.3)	431	2610	1870_4, 972_3	995	541_6	1064	208	 	 	 	 
Acinetobacter baumannii Ab33333 (1168590.3)	416	2419	1702_4, 841_3	864	529_6	933	200	 	 	 	 
Acinetobacter baumannii Ab44444 (1168591.3)	369	2850	783_3	806	475_6	875	152	 	 	 	 
Acinetobacter baumannii BZICU-2 (1210907.3)	3167	1169	1840_4, 2433_3	2409	2879_6	715	3044	 	 	 	 
Acinetobacter baumannii Canada BC-5 (903895.3)	2881	732	2387_3	2363	2772_6	2295	3113	 	 	 	 
Acinetobacter baumannii Canada BC1 (903924.3)	1473	2175	3486_3	3462	2471_6	3394	746	 	 	 	 
Acinetobacter baumannii IS-116 (903912.3)	548	969	260_3	235	1624_6	167	757	 	 	 	 
Acinetobacter baumannii IS-123 (903899.3)	1948	1392	453_4, 835_3	858	1836_6	929	2160	 	 	 	 
Acinetobacter baumannii IS-143 (903911.3)	113	1176	3103_3, 987_4	3080	3332_6	3763	2882	 	 	 	 
Acinetobacter baumannii IS-235 (903905.3)	287	3127	3623_3	2418	845_6	2486	492	 	 	 	 
Acinetobacter baumannii IS-251 (903906.3)	2180	659	1785_3	1809	1466_6	1877	2386	 	 	 	 
Acinetobacter baumannii IS-58 (903914.3)	891	2719	3117_3	3093	56_6	3025	686	 	 	 	 
Acinetobacter baumannii MDR-TJ (889738.3)	626	2764	1055_3, 2021_4	1079	732_6	1148	412	 	 	 	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	3387	1270	2006_4, 2966_3	2944	3280_6	2876	3598	 	 	 	 
Acinetobacter baumannii MSP4-16 (1278070.3)	3633	1756	3065_3	3089	877_6	3158	1266	 	 	 	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	3285	1783	1047_4, 74_3	97	3180_6	166	3498	 	 	 	 
Acinetobacter baumannii NIPH 146 (1217639.3)	90	1663	3344_3	3321	3649_6	3253	319	 	 	 	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	369	2428	1662_4, 844_3	867	478_6	938	163	 	 	 	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	417	2475	1740_4, 836_3	859	523_6	928	207	 	 	 	 
Acinetobacter baumannii NIPH 190 (1217640.3)	400	2534	824_3	845	507_6	922	173	 	 	 	 
Acinetobacter baumannii NIPH 201 (1217630.3)	391	2499	813_3	836	500_6	905	173	 	 	 	 
Acinetobacter baumannii NIPH 2061 (1217645.3)	3308	1263	2001_4, 2888_3	2865	3201_6	2796	3521	 	 	 	 
Acinetobacter baumannii NIPH 24 (1217646.3)	374	2437	1712_4, 792_3	815	481_6	884	165	 	 	 	 
Acinetobacter baumannii NIPH 290 (1217631.3)	373	2515	910_3	934	480_6	1005	167	 	 	 	 
Acinetobacter baumannii NIPH 329 (1217632.3)	379	2421	802_3	826	491_6	893	166	 	 	 	 
Acinetobacter baumannii NIPH 335 (1217633.3)	397	2377	348_4, 838_3	861	504_6	932	182	 	 	 	 
Acinetobacter baumannii NIPH 410 (1217634.3)	399	2619	885_3	908	508_6	977	171	 	 	 	 
Acinetobacter baumannii NIPH 527 (1217635.3)	375	2561	864_3	888	484_6	956	163	 	 	 	 
Acinetobacter baumannii NIPH 528 (1217636.3)	3237	1212	1938_4, 2819_3	2796	3130_6	2727	3447	 	 	 	 
Acinetobacter baumannii NIPH 60 (1217647.3)	3322	1845	345_3	370	32_6	440	3559	 	 	 	 
Acinetobacter baumannii NIPH 601 (1217637.3)	407	2358	804_3	828	3784_6	897	168	 	 	 	 
Acinetobacter baumannii NIPH 615 (1217641.3)	631	1778	3268_3	3245	32_6	3173	409	 	 	 	 
Acinetobacter baumannii NIPH 67 (1217627.3)	382	2594	1644_4, 793_3	816	490_6	884	161	 	 	 	 
Acinetobacter baumannii NIPH 70 (1217628.3)	390	2336	824_3	846	3519_6	918	163	 	 	 	 
Acinetobacter baumannii NIPH 80 (1217629.3)	366	2901	1318_3	1341	476_6	1414	161	 	 	 	 
Acinetobacter baumannii Naval-113 (903920.3)	2606	752	1635_4, 3214_3	3191	3405_6	3122	2819	 	 	 	 
Acinetobacter baumannii Naval-13 (903904.3)	1618	963	264_3, 2716_4	287	3163_6	356	3509	 	 	 	 
Acinetobacter baumannii Naval-17 (903896.3)	820	3142	2384_4, 57_3	80	712_6	149	1038	 	 	 	 
Acinetobacter baumannii Naval-18 (903897.3)	1267	3795	1718_3	1742	57_6	1821	1047	 	 	 	 
Acinetobacter baumannii Naval-2 (903922.3)	508	274	1555_4, 682_3	705	62_6	774	170	 	 	 	 
Acinetobacter baumannii Naval-21 (903923.3)	1869	3366	279_3	255	2881_6	186	427	 	 	 	 
Acinetobacter baumannii Naval-57 (903927.3)	197	3289	2334_3	2312	3333_6	2241	3686	 	 	 	 
Acinetobacter baumannii Naval-72 (903908.3)	1464	976	1999_3	2022	1051_6	2094	1233	 	 	 	 
Acinetobacter baumannii Naval-78 (903936.3)	1620	774	3020_4, 970_3	947	2944_6	878	3507	 	 	 	 
Acinetobacter baumannii Naval-81 (903898.3)	935	2836	1990_3, 3342_4	1966	180_6	1896	1140	 	 	 	 
Acinetobacter baumannii Naval-82 (903921.3)	2508	3654	193_3	214	590_6	2306	3333	 	 	 	 
Acinetobacter baumannii Naval-83 (903909.3)	2682	209	1120_3	1144	3314_6	3798	3930	 	 	 	 
Acinetobacter baumannii OIFC0162 (903907.3)	514	2935	14_3, 650_4	37	234_6	106	858	 	 	 	 
Acinetobacter baumannii OIFC021 (903928.3)	2580	2012	1883_4, 193_3, 2294_4	2628	316_6	2699	3506	 	 	 	 
Acinetobacter baumannii OIFC032 (903890.3)	193	2537	1546_3	1521	15_6	1454	407	 	 	 	 
Acinetobacter baumannii OIFC035 (903926.3)	3065	55	693_3	670	3330_6	603	883	 	 	 	 
Acinetobacter baumannii OIFC047 (903933.3)	50	1844	2644_3, 2936_4	2621	920_6	2552	3214	 	 	 	 
Acinetobacter baumannii OIFC065 (903932.3)	972	1344	459_3	434	232_6	366	762	 	 	 	 
Acinetobacter baumannii OIFC074 (903901.3)	1567	1522	3038_3	3062	1489_6	3131	849	 	 	 	 
Acinetobacter baumannii OIFC087 (903929.3)	785	269	1637_3	1660	343_6	1728	3038	 	 	 	 
Acinetobacter baumannii OIFC098 (903902.3)	713	321	2266_3, 363_4	2290	884_6	2359	529	 	 	 	 
Acinetobacter baumannii OIFC099 (903930.3)	68	3385	1684_3	1660	1296_6	1593	1038	 	 	 	 
Acinetobacter baumannii OIFC109 (903892.3)	1678	1465	2593_4, 895_3	871	1324_6	802	1888	 	 	 	 
Acinetobacter baumannii OIFC110 (903910.3)	62	527	2100_4, 2726_3	2749	2681_6	2819	1892	 	 	 	 
Acinetobacter baumannii OIFC111 (903935.3)	3441	2362	3366_4, 982_3	1004	2169_6	1073	3109	 	 	 	 
Acinetobacter baumannii OIFC137 (903889.3)	2331	128	1797_3, 899_4	1774	2223_6	1705	2537	 	 	 	 
Acinetobacter baumannii OIFC143 (903893.3)	2130	638	2548_3	2571	2238_6	2644	1915	 	 	 	 
Acinetobacter baumannii OIFC180 (903903.3)	1392	1732	1718_4, 703_3	680	997_6	611	280	 	 	 	 
Acinetobacter baumannii OIFC189 (903894.3)	2357	199	1572_3, 944_4	1595	2248_6	1664	2570	 	 	 	 
Acinetobacter baumannii OIFC338 (903934.3)	280	1582	1368_4, 3420_3	3397	3448_6	3328	2511	 	 	 	 
Acinetobacter baumannii TCDC-AB0715 (980514.3)	3627	1379	2171_4, 3196_3	3173	3521_6	3052	3836	 	 	 	 
Acinetobacter baumannii TYTH-1 (1100841.3)	3585	1550	2274_4, 3149_3	3126	3477_6	3057	56	 	 	 	 
Acinetobacter baumannii UMB001 (933263.3)	3661	949	188_3, 2672_4	164	3374_6	94	1719	 	 	 	 
Acinetobacter baumannii UMB003 (933265.3)	2318	2100	1908_3	1352	2832_6	2404	601	 	 	 	 
Acinetobacter baumannii W7282 (981329.3)	146	3158	2605_3, 3516_4	1193	3070_6	1262	282	 	 	 	 
Acinetobacter baumannii WC-136 (903916.3)	1560	3652	2376_3, 58_4	2395	2092_6	2463	3811	 	 	 	 
Acinetobacter baumannii WC-141 (903915.3)	676	923	2674_4, 3591_3, 962_4	3567	1013_6	3499	2254	 	 	 	 
Acinetobacter baumannii WC-323 (903918.3)	2563	2893	1393_3, 2611_4, 3648_4	3007	2320_6	2928	1010	 	 	 	 
Acinetobacter baumannii WC-348 (903919.3)	1206	191	3051_3, 3264_4	3028	766_6	2959	983	 	 	 	 
Acinetobacter baumannii WC-487 (903917.3)	2624	2090	1464_3, 3608_4	1435	688_6	1363	3764	 	 	 	 
Acinetobacter baumannii WC-692 (903913.3)	2083	3114	2045_3, 3643_4	2021	3947_6	1952	166	 	 	 	 
Acinetobacter baumannii WC-A-694 (903925.3)	1247	2213	3583_3, 673_4	3560	3047_6	3491	1452	 	 	 	 
Acinetobacter baumannii WC-A-92 (903931.3)	1087	3046	1316_4, 3592_3	3351	3134_6	1803	2720	 	 	 	 
Acinetobacter baumannii WM99c (945555.3)	1212	630	3018_4, 792_3	97	3114_6	961	764	 	 	 	 
Acinetobacter baumannii ZWS1122 (1223564.3)	3241	1380	2058_4, 2825_3	2802	3135_6	2733	3454	 	 	 	 
Acinetobacter baumannii ZWS1219 (1224141.3)	3207	1289	2030_4, 2792_3	2769	3101_6	2700	3419	 	 	 	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	1281, 2426	3225	1229_4, 1428_3	1449	3798_6	1517	1054	 	 	 	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	3456	1966	1146_4, 310_3, 3391_4	334	3562_6	403	3224	 	 	 	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	411	1926	3609_3, 461_4	3588	24_6	3473	642	 	 	 	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	2570	 	2074_3	2053	2461_6	1984	2785	 	 	 	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	1494	2438	1544_4, 300_3	321	132_6	387	2219	 	 	 	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	2820	969	2328_3, 2868_4	2307	3220_6	2240	3046	 	 	 	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	1147	2139	1098_4, 2451_3	2472	2003_6	2540	1209	 	 	 	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	2213	1708	1009_4, 84_3	104	3678_6	175	2440	 	 	 	 
Acinetobacter pittii ANC 3678 (1217673.3)	933	2596	1126_3, 886_4	1144	77_6	1211	703	 	 	 	 
Acinetobacter pittii ANC 4050 (1217691.3)	3182	1672	3136_4, 60_3, 810_4	77	3286_6	144	2972	 	 	 	 
Acinetobacter pittii ANC 4052 (1217689.3)	481	79	3613_3, 530_4	3592	374_6	3521	706	 	 	 	 
Acinetobacter pittii CIP 70.29 (1217672.3)	907	749	2202_3, 3043_4	2221	3082_6	2289	1123	 	 	 	 
Acinetobacter pittii D499 (1086014.3)	452	2549	1809_4, 967_3	986	563_6	1055	229	 	 	 	 
Acinetobacter pittii TG6411 (1221309.3)	3560	1611	1287_4, 1356_3, 3609_4	1375	495_6	1444	2476	 	 	 	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	2163	1418	1277_3, 2211_4	1807	3417_6	1948	2383	 	 	 	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	1422	2882	1465_4, 2683_3	872	1243_6	797	1665	 	 	 	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	583	2024	1804_3, 637_4	406	2599_6	3122	799	 	 	 	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	417	2433	2622_3, 461_4	1233	834_6	1312	633	 	 	 	 
Acinetobacter haemolyticus TG21157 (1221299.3)	170	2929	1193_3, 2463_4	2273	2419_6	 	1641	 	 	 	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	142	2206	1436_3, 175_4, 637_4	2314	2650_6	1288	319	 	 	 	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	3142	2145	255_4, 3176_4, 976_3	1961	1553_6	823	3378	 	 	 	 
Acinetobacter johnsonii SH046 (575586.4)	2455	1282	1655_4, 2488_4, 369_3	1195	986_6	275	2574	 	 	 	 
Acinetobacter junii CIP 107470 (1217666.3)	1018	1913	1063_4, 2107_3	2495	870_6	2419	1236	 	 	 	 
Acinetobacter junii CIP 64.5 (1217664.3)	2532	1809	2017_3, 2573_4	603	2388_6	530	2764	 	 	 	 
Acinetobacter junii NIPH 182 (1217665.3)	748	2216	2514_3, 702_4	1177	159_6	1254	554	 	 	 	 
Acinetobacter junii SH205 (575587.3)	2078	426	203_3, 2118_4	1466	213_6	1392	1847	 	 	 	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	3224	767	1062_3, 243_4, 2712_4, 3254_4	1022	1344_6	946	2421	 	 	 	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	861	15	1422_4, 1783_4, 2584_3, 525_4	166	2523_6	85	412	 	 	 	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	2899	678	1071_4, 2223_4, 2868_4, 488_3	525	229_6	607	2378	 	 	 	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	2561	1989	1521_4, 2185_3, 2593_4, 491_4	2151	2454_6	2063	334	 	 	 	 
Acinetobacter lwoffii SH145 (575588.3)	2468	414	1703_4, 1738_3, 2499_4, 84_4	565	2599_6	484	2334	 	 	 	 
Acinetobacter lwoffii TG19636 (1221307.3)	2509	2639	2004_4, 2179_4, 2422_3, 3211_4	364	3370_6	734	2337	 	 	 	 
Acinetobacter lwoffii WJ10621 (1046625.3)	2341	1037	1372_4, 16_3, 2372_4	2519	3027_6	109	 	 	 	 	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	664	 	120_3, 1414_4, 633_4, 647_4	99	1103_6	31	1541	 	 	 	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	1923	 	2409_3	2429	1006_6	2501	1738	 	 	 	 
Acinetobacter radioresistens SH164 (575589.3)	2319	 	1669_3	1688	783_6	1757	2470	 	 	 	 
Acinetobacter radioresistens SK82 (596318.3)	1699	 	2159_3	2140	1511_6	2558	1851	 	 	 	 
Acinetobacter radioresistens TG02010 (1221310.3)	1182	2779	1013_3, 1152_4, 1166_4, 2610_4	1033	2439_6	1103	109	 	 	 	 
Acinetobacter radioresistens WC-A-157 (903900.3)	2660	4	1983_3, 2630_4, 2643_4, 2760_4	2003	2138_6	2073	2507	 	 	 	 
Moraxella catarrhalis 101P30B1 (857572.3)	1470	233	127_4, 1550_4, 481_3	1617	1758_6	965	179	 	 	 	 
Moraxella catarrhalis 103P14B1 (857579.3)	1547, 1548	890	246_3, 444_4	1806	1113_6	1949	672	 	 	 	 
Moraxella catarrhalis 12P80B1 (857577.3)	889	1286	1238_4, 423_3	149	997_6	620	117	 	 	 	 
Moraxella catarrhalis 46P47B1 (857578.3)	1638	94	347_4, 601_3	958	864_6	1289	1682	 	 	 	 
Moraxella catarrhalis 7169 (857581.3)	1778	970	716_3	1567	1351_6	256	1006	 	 	 	 
Moraxella catarrhalis BC1 (857576.3)	968	1357	31_3	327	1708_6	1530	911	 	 	 	 
Moraxella catarrhalis BC7 (857575.3)	1611	412	666_3	780	945_6	1813	98	 	 	 	 
Moraxella catarrhalis BC8 (857574.3)	1793	1492	114_4, 1174_3	863	1038_6	268	1532	 	 	 	 
Moraxella catarrhalis CO72 (857573.3)	1968	 	823_3	767	544_6	323	1201	 	 	 	 
Moraxella catarrhalis O35E (857571.5)	1379	661	411_3	1170	1004_6	1627	703	 	 	 	 
Moraxella catarrhalis RH4 (749219.3)	1404	 	410_3	1196	1029_6	1685	703	 	 	 	 
Pseudomonas aeruginosa 152504 (983919.3)	3510	2211, 4575	1140_4, 1532_4, 1771_3, 3911_4	5772	4482_6, 744_6	3011	124	894_11	 	 	 
Pseudomonas aeruginosa 18A (1286151.3)	62	1914	2212_3, 2434_4	5156	913_6	4917	3470, 4563	1072_11	 	 	 
Pseudomonas aeruginosa 19BR (1051003.3)	4599	3676	1427_3, 5317_4	3645	629_6	809	1093, 1997, 4783	6254_11	 	 	 
Pseudomonas aeruginosa 213BR (1051004.3)	4572	3700	1464_3, 5283_4	3669	632_6	810	1130, 4754	6220_11	 	 	 
Pseudomonas aeruginosa 39016 (798130.4)	2713	1759	3479_4, 3699_4, 5659_4, 5749_3	1731	418_6, 443_6, 4842_6	4994	2895, 5382	4536_11	 	 	 
