Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Pseudomonas stutzeri T13 (1210443.6)	 	1347_7, 1349_6, 1350_5, 4273_5, 4274_6, 4274_6	 	3567_13, 3568_14, 3569_16, 4282_13, 4283_14, 4284_15, 4285_16	3564_19, 3565_17, 4315_19, 4316_17	 
Pseudomonas stutzeri TS44 (477228.3)	 	1847_5, 1848_6, 1850_7, 3166_6, 3167_5	 	1112_13, 2887_13, 2888_14, 2889_16, 2890_13, 2891_14, 2892_15, 2893_16, 3935_13	789_19, 790_17	 
Pseudomonas stutzeri XLDN-R (1200345.6)	 	1787_7, 1789_6, 1790_5, 2235_6, 2236_5	 	18_14, 19_16, 20_13, 2227_13, 2379_16, 2380_15, 2381_14	1350_19, 1351_17, 2349_17, 2350_19	 
Grimontia hollisae CIP 101886 (675812.3)	 	557_7, 559_6, 560_5	 	 	3114, 3115	 
Vibrio parahaemolyticus BB22OP (1211705.3)	3578, 3579_2, 3580_3, 3581_4	3485_5, 3486_6, 3488_7	 	1461_16, 1462_15, 1463_14, 1464_13	1008, 1009	 
Vibrio parahaemolyticus PCV08-7 (1276919.3)	2593, 2594_2, 2595_3, 2596_4	1871_5, 1872_6, 1874_7	 	4322_16, 4323_15, 4324_14, 4325_13	2132_19, 2133, 3402, 3403	 
Vibrio parahaemolyticus SNUVpS-1 (1234128.4)	1979_1, 1980, 1981_3, 1982_4	1519_7, 1521_6, 1522_5	 	2729_16, 2730_15, 2731_14, 2732_13	2249, 2250	 
Vibrio mimicus CAIM 602 (1259812.3)	 	 	 	826_13, 827_14, 828_15, 829_16	1127_19, 1128_17	 
Vibrio mimicus MB-451 (675806.3)	 	 	 	1226_13, 1227_14, 1228_15, 1229_16	890_17, 891_19	 
Vibrio mimicus VM223 (675820.3)	 	 	 	2669_16, 2670_15, 2671_14, 2672_13	2999_19, 3000_17	 
Vibrio mimicus VM603 (671074.4)	 	 	 	2816_16, 2817_15, 2818_14, 2819_13	3081_17, 3082_19	 
Vibrio parahaemolyticus AN-5034 (563773.3)	1243, 1244, 1245_3, 1246_4	1153_5, 1154_6, 1156_7	 	2467_16, 2468_15, 2469_14, 2470_13	3672, 3673, 789, 790	 
Vibrio parahaemolyticus RIMD 2210633 (223926.6)	3566, 3567, 3568_3, 3569_4	3477_5, 3478_6, 3480_7	 	1471_16, 1472_15, 1473_14, 1474_13	4062, 4063, 997, 998	 
Stenotrophomonas maltophilia ATCC 19867 (1279018.3)	3506_4, 3507_3, 3508_2, 3509_1, 601_4, 602_3, 603_2, 604_1	3943_7, 3946_6, 3947_5	 	 	1831_17, 1832_19	 
Stenotrophomonas maltophilia Ab55555 (1183154.3)	1171_1, 1172_2, 1173_3, 1174_4, 4111_4, 4112_3, 4113_2, 4114_1	317_5, 318_6, 321_7	 	 	2979_17, 2980_19	 
Stenotrophomonas maltophilia D457 (1163399.5)	1230_1, 1231_2, 1232_3, 1233_4, 4074_4, 4075_3, 4076_2, 4077_1	367_5, 368_6, 371_7	 	 	2900_17, 2901_19, 4212_19, 4213_17	 
Stenotrophomonas maltophilia PML168 (1118235.3)	2085_4, 2086_3, 2087_2, 2088_1, 2234_4, 2235_3, 2236_2, 2237_1	3598_7, 3601_6, 3602_5	 	 	462_19, 463_17	 
Stenotrophomonas maltophilia K279a (522373.3)	1304_1, 1305_2, 1306_3, 1307_4, 4156_4, 4157_3, 4158_2, 4159_1	404_5, 405_6, 408_7	 	 	3079_17, 3080_19, 4308_19, 4309_17	 
Stenotrophomonas maltophilia R551-3 (391008.4)	1158, 1159_2, 1160_3, 1161_4, 3840_4, 3841_3, 3842_2, 3843	312_5, 313_6, 315_7	 	 	2725, 2726, 3979, 3980	 
Bilophila wadsworthia 3_1_6 (563192.3)	 	 	 	 	3529, 3530	 
Desulfovibrio desulfuricans subsp. aestuarii DSM 17919 = ATCC 29578 (1121444.3)	 	 	 	 	2067_17, 2068_19	 
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774 (525146.4)	 	 	 	 	2565, 2566	 
Desulfovibrio desulfuricans subsp. desulfuricans str. G20 (207559.7)	 	1809_6, 1810_7, 1811_8, 1812_5	 	 	3136, 3137_19	 
Desulfovibrio piger ATCC 29098 (411464.8)	 	 	 	 	1654_17, 1655_19	 
Desulfovibrio sp. 3_1_syn3 (457398.5)	 	 	 	 	249_17, 250_19	 
Arcobacter butzleri ED-1 (944546.4)	 	 	 	1894_16, 1895_15, 1896_14, 1897_13	 	 
Arcobacter butzleri JV22 (888827.3)	 	 	 	1939_16, 1940_15, 1941_14, 1942_13	 	 
Arcobacter butzleri RM4018 (367737.6)	 	 	 	2024_16, 2025_15, 2026_14, 2027_13	1077, 1078	 
Campylobacter coli BIGS0003 (1247729.4)	 	 	 	239_13, 240_14, 241_15, 242_16	751_19, 752_17	 
Campylobacter coli 1098 (887291.3)	 	 	 	1376_13, 1377_14, 1378_15, 1379_16	137_19, 138_17	 
Campylobacter coli 111-3 (887280.3)	 	 	 	857_16, 858_15, 859_14, 860_13	951_19, 952_17	 
Campylobacter coli 1148 (887292.3)	 	 	 	533_13, 534_14, 535_15, 536_16	1088_19, 1089_17	 
Campylobacter coli 132-6 (887282.3)	 	 	 	369_16, 370_15, 371_14, 372_13	1425_19, 1426_17	 
Campylobacter coli 1417 (887293.3)	 	 	 	1043_13, 1044_14, 1045_15, 1046_16	1371_17, 1372_19	 
Campylobacter coli 151-9 (887285.3)	 	 	 	1558_13, 1559_14, 1560_15, 1561_16	859_19, 860_17	 
Campylobacter coli 1891 (887294.3)	 	 	 	246_16, 247_15, 248_14, 249_13	776_19, 777_17	 
Campylobacter coli 1909 (887295.3)	 	 	 	554_16, 555_15, 556_14, 557_13	464_19, 465_17	 
Campylobacter coli 1948 (887296.3)	 	 	 	152_16, 153_15, 154_14, 155_13	1033_17, 1034_19	 
Campylobacter coli 1957 (887297.3)	 	 	 	1160_16, 1161_15, 1162_14, 1163_13	1326_19, 1327_17	 
Campylobacter coli 1961 (887298.3)	 	 	 	662_13, 663_14, 664_15, 665_16	1027_17, 1028_19	 
Campylobacter coli 202/04 (887299.3)	 	 	 	280_16, 281_15, 282_14, 283_13	794_17, 795_19	 
Campylobacter coli 2548 (887315.3)	 	 	 	596_13, 597_14, 598_15, 599_16	1619_19, 1620_17	 
Campylobacter coli 2553 (887316.3)	 	 	 	988_13, 989_14, 990_15, 991_16	278_19, 279_17	 
Campylobacter coli 2680 (887317.3)	 	 	 	1018_13, 1019_14, 1020_15, 1021_16	1601_17, 1602_19	 
Campylobacter coli 2685 (887318.3)	 	 	 	854_13, 855_14, 856_15, 857_16	1560_19, 1561_17	 
Campylobacter coli 2698 (887321.3)	 	 	 	664_16, 665_15, 666_14, 667_13	1053_19, 1054_17	 
Campylobacter coli 317/04 (887300.3)	 	 	 	1053_16, 1054_15, 1055_14, 1056_13	942_17, 943_19	 
Campylobacter coli 37/05 (887301.3)	 	 	 	602_13, 603_14, 604_15, 605_16	708_19, 709_17	 
Campylobacter coli 59-2 (887283.3)	 	 	 	1356_16, 1357_15, 1358_14, 1359_13	1505_19, 1506_17	 
Campylobacter coli 7--1 (887281.3)	 	 	 	30_13, 31_14, 32_15, 33_16	1011_19, 1012_17	 
Campylobacter coli 84-2 (887287.3)	 	 	 	876_13, 877_14, 878_15, 879_16	1343_19, 1344_17	 
Campylobacter coli 86119 (887289.3)	 	 	 	489_13, 490_14, 491_15, 492_16	860_19, 861_17	 
Campylobacter coli 90-3 (887286.3)	 	 	 	1085_16, 1086_15, 1087_14, 1088_13	207_19, 208_17	 
Campylobacter coli H56 (887312.3)	 	 	 	18_13, 19_14, 20_15, 21_16	1249_19, 1250_17	 
Campylobacter coli H6 (887309.3)	 	 	 	503_16, 504_15, 505_14, 506_13	1289_17, 1290_19	 
Campylobacter coli LMG 23336 (887303.3)	 	 	 	384_16, 385_15, 386_14, 387_13	1081_17, 1082_19	 
Campylobacter coli LMG 23341 (887304.3)	 	 	 	1003_13, 1004_14, 1005_15, 1006_16	1153_19, 1154_17	 
Campylobacter coli LMG 23342 (887305.3)	 	 	 	1101_16, 1102_15, 1103_14, 1104_13	1169_17, 1170_19	 
Campylobacter coli LMG 9853 (887307.3)	 	 	 	971_13, 972_14, 973_15, 974_16	234_19, 235_17	 
Campylobacter coli LMG 9854 (887302.3)	 	 	 	1093_13, 1094_14, 1095_15, 1096_16	412_19, 413_17	 
Campylobacter coli LMG 9860 (887308.3)	 	 	 	1025_16, 1026_15, 1027_14, 1028_13	852_17, 853_19	 
Campylobacter coli RM2228 (306254.7)	 	 	 	1505_16, 1506_15, 1507_14, 1508_13	1240_19, 1241_17	 
Campylobacter coli Z156 (887313.3)	 	 	 	252_16, 253_15, 254_14, 255_13	1496_19, 1497_17	 
Campylobacter coli Z163 (887314.3)	 	 	 	640_13, 641_14, 642_15, 643_16	1304_19, 1305_17	 
Campylobacter concisus 13826 (360104.9)	 	 	 	299_13, 300_14, 301_15, 302_16	2006_17, 2007_19	 
Campylobacter concisus UNSWCD (929793.3)	 	 	 	16_16, 17_15, 18_14, 19_13	890_17, 891_19	 
Campylobacter curvus 525.92 (360105.8)	 	 	 	287_13, 288_14, 289_15, 290_16	2012_17, 2013_19	 
Campylobacter curvus DSM 6644 (1121268.3)	 	 	 	1964_13, 1965_14, 1966_15, 1967_16	1595_17, 1596_19	 
Campylobacter fetus subsp. fetus 82-40 (360106.6)	 	 	 	373_13, 374_14, 375_15, 376_16	 	 
Campylobacter fetus subsp. venerealis NCTC 10354 (983328.4)	 	 	 	458_13, 459_14, 460_15, 461_16	 	 
Campylobacter gracilis RM3268 (553220.3)	 	 	 	 	1331_17, 1332_19	 
Campylobacter hominis ATCC BAA-381 (360107.7)	 	 	 	1348_16, 1349_15, 1350_14, 1351_13	600, 601	 
Campylobacter jejuni RM1221 (195099.5)	 	 	 	1671_16, 1672_15, 1673_14, 1674_13	81, 82	 
Campylobacter jejuni str. NCCP No. 15742 (1293289.3)	 	 	 	1427_16, 1428_15, 1429_14, 1430_13	77, 78_19	 
Campylobacter jejuni subsp. doylei 269.97 (360109.10)	 	 	 	1817_16, 1818_15, 1819_14, 1820_13	85_17, 86_19	 
Campylobacter jejuni subsp. jejuni 04197 (1111075.3)	 	 	 	690_13, 691_14, 692_15, 693_16	460_17, 461	 
Campylobacter jejuni subsp. jejuni 04199 (1111076.3)	 	 	 	1177_13, 1178_14, 1179_15, 1180_16	969, 970_17	 
Campylobacter jejuni subsp. jejuni 110-21 (889214.3)	 	 	 	691_13, 692_14, 693_15, 694_16	1317, 1318_17	 
Campylobacter jejuni subsp. jejuni 1213 (889230.3)	 	 	 	195_16, 196_15, 197_14, 198_13	1168_17, 1169	 
Campylobacter jejuni subsp. jejuni 129-258 (889213.3)	 	 	 	1135_16, 1136_15, 1137_14, 1138_13	118, 119	 
Campylobacter jejuni subsp. jejuni 1336 (683082.3)	 	 	 	1131_16, 1132_15, 1133_14, 1134_13	400_17, 401_19	 
Campylobacter jejuni subsp. jejuni 140-16 (889215.3)	 	 	 	760_16, 761_15, 762_14, 763_13	27, 28_19	 
Campylobacter jejuni subsp. jejuni 1854 (889233.3)	 	 	 	718_16, 719_15, 720_14, 721_13	1580_17, 1581_19	 
Campylobacter jejuni subsp. jejuni 1893 (889234.3)	 	 	 	443_16, 444_15, 445_14, 446_13	850, 851_19	 
Campylobacter jejuni subsp. jejuni 1997-1 (889221.3)	 	 	 	634_16, 635_15, 636_14, 637_13	1354, 1355_19	 
Campylobacter jejuni subsp. jejuni 1997-11 (889225.3)	 	 	 	159_13, 160_14, 161_15, 162_16	1067_17, 1068_19	 
Campylobacter jejuni subsp. jejuni 1997-7 (889223.3)	 	 	 	818_16, 819_15, 820_14, 821_13	1204, 1205_19	 
Campylobacter jejuni subsp. jejuni 2008-1025 (889250.3)	 	 	 	1189_16, 1190_15, 1191_14, 1192_13	859, 860_19	 
Campylobacter jejuni subsp. jejuni 2008-831 (889255.3)	 	 	 	778_16, 779_15, 780_14, 781_13	894, 895	 
Campylobacter jejuni subsp. jejuni 2008-894 (889251.3)	 	 	 	596_16, 597_15, 598_14, 599_13	1584_17, 1585_19	 
Campylobacter jejuni subsp. jejuni 51037 (889227.3)	 	 	 	483_16, 484_15, 485_14, 486_13	909_19, 910	 
Campylobacter jejuni subsp. jejuni 53161 (889220.3)	 	 	 	626_13, 627_14, 628_15, 629_16	1327, 1328_19	 
Campylobacter jejuni subsp. jejuni 55037 (889218.3)	 	 	 	987_16, 988_15, 989_14, 990_13	431_19, 432_17	 
Campylobacter jejuni subsp. jejuni 60004 (889217.3)	 	 	 	151_16, 152_15, 153_14, 154_13	1154, 1155_19	 
Campylobacter jejuni subsp. jejuni 6399 (1111074.3)	 	 	 	172_16, 173_15, 174_14, 175_13	958, 959_17, 960_17	 
Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17)	 	 	 	1536_16, 1537_15, 1538_14, 1539_13	94_17, 95_17, 96	 
Campylobacter jejuni subsp. jejuni 81116 (407148.6)	 	 	 	1402_16, 1403_15, 1404_14, 1405_13	78_17, 79_19	 
Campylobacter jejuni subsp. jejuni 84-25 (360110.4)	 	 	 	213_13, 214_14, 215_15, 216_16	1735_17, 1736	 
Campylobacter jejuni subsp. jejuni 86605 (889219.3)	 	 	 	660_16, 661_15, 662_14, 663_13	1646_19, 1647	 
Campylobacter jejuni subsp. jejuni 87330 (889228.3)	 	 	 	927_16, 928_15, 929_14, 930_13	708, 709	 
Campylobacter jejuni subsp. jejuni CG8421 (478547.3)	 	 	 	881_13, 882_14, 883_15, 884_16	1334_17, 1335_19	 
Campylobacter jejuni subsp. jejuni CG8486 (398000.3)	 	 	 	64_16, 65_15, 66_14, 67_13	1676, 1677_19, 1678_19	 
Campylobacter jejuni subsp. jejuni D2600 (1093789.3)	 	 	 	555_13, 556_14, 557_15, 558_16	1126, 1127	 
Campylobacter jejuni subsp. jejuni DFVF1099 (691336.3)	 	 	 	1006_16, 1007_15, 1008_14, 1009_13	721_17, 722_19, 723_19	 
Campylobacter jejuni subsp. jejuni H22082 (885274.3)	 	 	 	531_13, 532_14, 533_15, 534_16	424, 425_19	 
Campylobacter jejuni subsp. jejuni IA3902 (567106.3)	 	 	 	1456_16, 1457_15, 1458_14, 1459_13	80, 81_19	 
Campylobacter jejuni subsp. jejuni ICDCCJ07001 (757425.3)	 	 	 	1655_16, 1656_15, 1657_14, 1658_13, 1659_13	135_17, 136_19	 
Campylobacter jejuni subsp. jejuni ICDCCJ07002 (1295394.3)	 	 	 	714_16, 715_15, 716_14, 717_13	1026_17, 1027_19	 
Campylobacter jejuni subsp. jejuni ICDCCJ07004 (1295400.3)	 	 	 	1295_13, 1296_14, 1297_15, 1298_16	1606_19, 1607_17	 
Campylobacter jejuni subsp. jejuni LMG 23210 (889237.3)	 	 	 	568_16, 569_15, 570_14, 571_13	127, 128_19	 
Campylobacter jejuni subsp. jejuni LMG 23211 (889238.3)	 	 	 	127_16, 128_15, 129_14, 130_13	587_17, 588_19	 
Campylobacter jejuni subsp. jejuni LMG 23216 (889239.3)	 	 	 	624_13, 625_14, 626_15, 627_16	879_17, 880_19	 
Campylobacter jejuni subsp. jejuni LMG 23218 (889240.3)	 	 	 	640_13, 641_14, 642_15, 643_16	940, 941_19	 
Campylobacter jejuni subsp. jejuni LMG 23223 (889241.3)	 	 	 	283_13, 284_14, 285_15, 286_16	1606_17, 1607_19	 
Campylobacter jejuni subsp. jejuni LMG 23264 (889243.3)	 	 	 	375_13, 376_14, 377_15, 378_16	342, 343_19	 
Campylobacter jejuni subsp. jejuni LMG 23269 (889244.3)	 	 	 	756_13, 757_14, 758_15, 759_16	1616, 1617_19	 
Campylobacter jejuni subsp. jejuni LMG 23357 (889246.3)	 	 	 	302_16, 303_15, 304_14, 305_13	1221_17, 1222_19	 
Campylobacter jejuni subsp. jejuni LMG 9081 (889248.3)	 	 	 	767_13, 768_14, 769_15, 770_16	1267_17, 1268	 
Campylobacter jejuni subsp. jejuni LMG 9217 (889249.3)	 	 	 	216_13, 217_14, 218_15, 219_16	176_19, 177	 
Campylobacter jejuni subsp. jejuni LMG 9872 (889236.3)	 	 	 	220_16, 221_15, 222_14, 223_13	571_19, 572_17	 
Campylobacter jejuni subsp. jejuni LMG 9879 (889245.3)	 	 	 	703_16, 704_15, 705_14, 706_13	1500_19, 1501	 
Campylobacter jejuni subsp. jejuni M1 (645464.3)	 	 	 	1423_16, 1424_15, 1425_14, 1426_13	79_17, 80_19	 
Campylobacter jejuni subsp. jejuni NCTC 11168 (192222.6)	 	 	 	1467_16, 1468_15, 1469_14, 1470_13	80_17, 81	 
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148 (1211776.3)	 	 	 	1455_16, 1456_15, 1457_14, 1458_13	78_17, 79	 
Campylobacter jejuni subsp. jejuni NW (1093788.3)	 	 	 	246_13, 247_14, 248_15, 249_16	1440, 1441	 
Campylobacter jejuni subsp. jejuni P110B (885273.3)	 	 	 	969_13, 970_14, 971_15, 972_16	1072_19, 1073	 
Campylobacter jejuni subsp. jejuni PT14 (1201032.3)	 	 	 	1426_16, 1427_15, 1428_14, 1429_13	78, 79	 
Campylobacter jejuni subsp. jejuni S3 (718271.4)	 	 	 	1556_16, 1557_15, 1558_14, 1559_13	82, 83	 
Campylobacter lari RM2100 (306263.5)	 	 	 	375_13, 376_14, 377_15, 378_16	 	 
Campylobacter rectus RM3267 (553218.4)	 	 	 	768_13, 769_14, 770_15, 771_16	229_19, 230_17	 
Campylobacter showae CSUNSWCD (1244083.3)	 	 	 	100_14, 101_15, 102_16, 99_13	1184_19, 1185_17	 
Campylobacter showae RM3277 (553219.3)	 	 	 	1684_13, 1685_14, 1686_15, 1687_16	2188_17, 2189_19	 
Campylobacter upsaliensis JV21 (888826.3)	 	 	 	1108_16, 1109_15, 1110_14, 1111_13	1121_17, 1122_19	 
Bacteroides ureolyticus DSM 20703 (1121102.3)	 	 	 	659_13, 660_14, 661_15, 662_16	622_19, 623_17	 
Helicobacter bilis ATCC 43879 (613026.4)	 	 	 	1478_13, 1479_14, 1480_15, 1481_16	 	 
Helicobacter bilis WiWa (1235804.3)	 	 	 	1893_16, 1894_15, 1895_14, 1896_13	 	 
Helicobacter canadensis MIT 98-5491 (Prj:30719) (537970.9)	 	 	 	 	391, 392	 
Helicobacter cinaedi ATCC BAA-847 (1206745.3)	 	 	 	2357_16, 2358_15, 2359_14, 2360_13	59_17, 60_19	 
Helicobacter cinaedi CCUG 18818 (537971.5)	 	 	 	221_16, 222_15, 223_14, 224_13	429_17, 430_19	 
Helicobacter pullorum MIT 98-5489 (537972.5)	 	 	 	1455_13, 1456_14, 1457_15, 1458_16	1327_17, 1328_19	 
Helicobacter pylori 2017 (985081.3)	 	 	 	157_13, 158_14, 159_15, 160_16	 	 
Helicobacter pylori 2018 (985080.3)	 	 	 	157_13, 158_14, 159_15, 160_16	 	 
Helicobacter pylori 26695 (85962.8)	 	 	 	153_13, 154_14, 155_15, 156_16	 	 
Helicobacter pylori 35A (585535.5)	 	 	 	392_13, 393_14, 394_15, 395_16	 	 
Helicobacter pylori 51 (290847.5)	 	 	 	166_13, 167_14, 168_15, 169_16	 	 
Helicobacter pylori 83 (585538.3)	 	 	 	207_13, 208_14, 209_15, 210_16	 	 
Helicobacter pylori 98-10 (544405.3)	 	 	 	1000_14, 1001_15, 1002_16, 999_13	 	 
Helicobacter pylori A45 (1231719.3)	 	 	 	472_16, 473_15, 474_14, 475_13	 	 
Helicobacter pylori Aklavik117 (1055531.3)	 	 	 	146_13, 147_14, 148_15, 149_16	 	 
Helicobacter pylori Aklavik86 (1055532.3)	 	 	 	1298_16, 1299_15, 1300_14, 1301_13	 	 
Helicobacter pylori B128 (544406.3)	 	 	 	506_13, 507_14, 508_15, 509_16	 	 
Helicobacter pylori B38 (592205.3)	 	 	 	145_13, 146_14, 147_15, 148_16	 	 
Helicobacter pylori B45 (999629.3)	 	 	 	1581_13, 1582_14, 1583_15, 566_16	 	 
Helicobacter pylori B8 (693745.3)	 	 	 	1366_16, 1367_15, 1368_14, 1369_13	 	 
Helicobacter pylori BCS100H1 (981210.3)	 	 	 	235_13, 236_13, 237_14, 238_15, 239_16	 	 
Helicobacter pylori CCHI 33 (1200325.3)	 	 	 	237_13, 238_14, 239_15, 240_16	 	 
Helicobacter pylori CPY1124 (992013.3)	 	 	 	359_13, 360_14, 361_15, 362_16	 	 
Helicobacter pylori CPY1313 (992014.3)	 	 	 	747_13, 748_14, 749_15, 750_16	 	 
Helicobacter pylori CPY1662 (992015.3)	 	 	 	707_16, 708_15, 709_14, 710_13	 	 
Helicobacter pylori CPY1962 (992016.3)	 	 	 	378_13, 379_14, 380_15, 381_16	 	 
Helicobacter pylori CPY3281 (992017.3)	 	 	 	169_13, 170_14, 171_15, 172_16	 	 
Helicobacter pylori CPY6081 (992018.3)	 	 	 	109_13, 110_14, 111_15, 112_16	 	 
Helicobacter pylori CPY6261 (992019.3)	 	 	 	442_13, 443_14, 444_15, 445_16	 	 
Helicobacter pylori CPY6271 (992020.3)	 	 	 	781_16, 782_15, 783_14, 784_13	 	 
Helicobacter pylori CPY6311 (992022.3)	 	 	 	174_13, 175_14, 176_15, 177_16	 	 
Helicobacter pylori ELS37 (1055527.3)	 	 	 	142_13, 143_14, 144_15, 145_16	 	 
Helicobacter pylori F16 (866344.4)	 	 	 	167_13, 168_14, 169_15, 170_16	 	 
Helicobacter pylori F30 (866345.4)	 	 	 	1207_16, 1208_15, 1209_14, 1210_13	 	 
Helicobacter pylori F32 (102608.4)	 	 	 	165_13, 166_14, 167_15, 168_16	 	 
Helicobacter pylori F57 (866346.4)	 	 	 	182_13, 183_14, 184_15, 185_16	 	 
Helicobacter pylori G27 (563041.6)	 	 	 	149_13, 150_14, 151_15, 152_16	 	 
Helicobacter pylori GAM100Ai (1159019.3)	 	 	 	1014_13, 1015_14, 1016_15, 1017_16	 	 
Helicobacter pylori GAM101Biv (1159020.3)	 	 	 	338_13, 339_14, 340_15, 341_16	 	 
Helicobacter pylori GAM103Bi (1159021.3)	 	 	 	744_13, 745_14, 746_15, 747_16	 	 
Helicobacter pylori GAM105Ai (1159022.3)	 	 	 	1437_16, 1438_15, 1439_14, 1440_13	 	 
Helicobacter pylori GAM114Ai (1159024.3)	 	 	 	971_16, 972_15, 973_14, 974_13	 	 
Helicobacter pylori GAM115Ai (1159025.3)	 	 	 	905_13, 906_14, 907_15, 908_16	 	 
Helicobacter pylori GAM118Bi (1159027.3)	 	 	 	558_13, 559_14, 560_15, 561_16	 	 
Helicobacter pylori GAM119Bi (1159028.3)	 	 	 	773_16, 774_15, 775_14, 776_13	 	 
Helicobacter pylori GAM120Ai (1159029.3)	 	 	 	567_13, 568_14, 569_15, 570_16	 	 
Helicobacter pylori GAM121Aii (1159030.3)	 	 	 	1076_16, 1077_15, 1078_14, 1079_13	 	 
Helicobacter pylori GAM201Ai (1159031.3)	 	 	 	1280_13, 1281_14, 1282_15, 1283_16	 	 
Helicobacter pylori GAM210Bi (1159032.3)	 	 	 	732_13, 733_14, 734_15, 735_16	 	 
Helicobacter pylori GAM231Ai (1159033.3)	 	 	 	895_16, 896_15, 897_14, 898_13	 	 
Helicobacter pylori GAM239Bi (1159034.3)	 	 	 	1398_16, 1399_15, 1400_14, 1401_13	 	 
Helicobacter pylori GAM244Ai (1159035.3)	 	 	 	1135_13, 1136_14, 1137_15, 1138_16	 	 
Helicobacter pylori GAM245Ai (1159036.3)	 	 	 	1515_13, 1516_14, 1517_15, 1518_16	 	 
Helicobacter pylori GAM246Ai (1159037.3)	 	 	 	82_13, 83_14, 84_15, 85_16	 	 
Helicobacter pylori GAM249T (1159038.3)	 	 	 	982_13, 983_14, 984_15, 985_16	 	 
Helicobacter pylori GAM250AFi (1159039.3)	 	 	 	283_13, 284_14, 285_15, 286_16	 	 
Helicobacter pylori GAM250T (1159040.3)	 	 	 	1428_13, 1429_14, 1430_15, 1431_16	 	 
Helicobacter pylori GAM252Bi (1159041.3)	 	 	 	959_16, 960_15, 961_14, 962_13	 	 
Helicobacter pylori GAM252T (1159042.3)	 	 	 	197_16, 198_15, 199_14, 200_13	 	 
Helicobacter pylori GAM254Ai (1159043.3)	 	 	 	517_16, 518_15, 519_14, 520_13	 	 
Helicobacter pylori GAM260ASi (1159044.3)	 	 	 	779_13, 780_14, 781_15, 782_16	 	 
Helicobacter pylori GAM260BSi (1159046.3)	 	 	 	1491_13, 1492_14, 1493_15, 1494_16	 	 
Helicobacter pylori GAM260Bi (1159045.3)	 	 	 	767_13, 768_14, 769_15, 770_16	 	 
Helicobacter pylori GAM263BFi (1159047.3)	 	 	 	772_16, 773_15, 774_14, 775_13	 	 
Helicobacter pylori GAM264Ai (1159048.3)	 	 	 	1530_13, 1531_14, 1532_15, 1533_16	 	 
Helicobacter pylori GAM265BSii (1159049.3)	 	 	 	575_13, 576_14, 577_15, 578_16	 	 
Helicobacter pylori GAM270ASi (1159051.3)	 	 	 	296_16, 297_15, 298_14, 299_13	 	 
Helicobacter pylori GAM42Ai (1159052.3)	 	 	 	1195_13, 1196_14, 1197_15, 1198_16	 	 
Helicobacter pylori GAM80Ai (1159054.3)	 	 	 	1297_13, 1298_14, 1299_15, 1300_16	 	 
Helicobacter pylori GAM83Bi (1159055.3)	 	 	 	984_13, 985_14, 986_15, 987_16	 	 
Helicobacter pylori GAM83T (1159056.3)	 	 	 	1404_13, 1405_14, 1406_15, 1407_16	 	 
Helicobacter pylori GAM96Ai (1159058.3)	 	 	 	85_16, 86_15, 87_14, 88_13	 	 
Helicobacter pylori GAMchJs106B (1159059.3)	 	 	 	1203_13, 1204_14, 1205_15, 1206_16	 	 
Helicobacter pylori GAMchJs114i (1159060.3)	 	 	 	1390_16, 1391_15, 1392_14, 1393_13	 	 
Helicobacter pylori GAMchJs117Ai (1159061.3)	 	 	 	954_16, 955_15, 956_14, 957_13	 	 
Helicobacter pylori GAMchJs124i (1159062.3)	 	 	 	777_13, 778_14, 779_15, 780_16	 	 
Helicobacter pylori GAMchJs136i (1159064.3)	 	 	 	797_16, 798_15, 799_14, 800_13	 	 
Helicobacter pylori Gambia94/24 (907240.3)	 	 	 	153_13, 154_14, 155_15, 156_16	 	 
Helicobacter pylori HLJHP193 (1213457.3)	 	 	 	144_13, 145_14, 146_15, 147_16	 	 
Helicobacter pylori HLJHP253 (1214223.3)	 	 	 	840_16, 841_15, 842_14, 843_13	 	 
Helicobacter pylori HLJHP256 (1214221.3)	 	 	 	527_16, 528_15, 529_14, 530_13	 	 
Helicobacter pylori HLJHP271 (1214222.3)	 	 	 	844_16, 845_15, 846_14, 847_13	 	 
Helicobacter pylori HP116Bi (1159065.3)	 	 	 	645_13, 646_14, 647_15, 648_16	 	 
Helicobacter pylori HP250AFiV (1159068.3)	 	 	 	82_13, 83_14, 84_15, 85_16	 	 
Helicobacter pylori HP250AFii (1159066.3)	 	 	 	398_13, 399_14, 400_15, 401_16	 	 
Helicobacter pylori HP250AFiii (1159067.3)	 	 	 	959_13, 960_14, 961_15, 962_16	 	 
Helicobacter pylori HP250ASi (1159069.3)	 	 	 	727_13, 728_14, 729_15, 730_16	 	 
Helicobacter pylori HP250ASii (1159070.3)	 	 	 	1311_13, 1312_14, 1313_15, 1314_16	 	 
Helicobacter pylori HP250BFiV (1159074.3)	 	 	 	1354_13, 1355_14, 1356_15, 1357_16	 	 
Helicobacter pylori HP250BFii (1159072.3)	 	 	 	439_13, 440_14, 441_15, 442_16	 	 
Helicobacter pylori HP250BFiii (1159073.3)	 	 	 	75_13, 76_14, 77_15, 78_16	 	 
Helicobacter pylori HP250BSi (1159075.3)	 	 	 	1428_16, 1429_15, 1430_14, 1431_13	 	 
