Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	811_1	 	9	10_7	1463_14, 1779_8, 3808_10	11	2841_21, 2847_21	3980_23	4124_25, 8_26	 	2848, 4415
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	4012_1	 	2615	2614_7	1239_10, 4664_14, 4760	2613	3161_21, 3167_21	4330_23	1315_25, 2616_26	 	2971, 3168
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	595_1	 	1774	1773_7	103_14, 1094, 3344_10	1772	2107_21, 2113_21	913_23	1775_26, 3269_25	 	2106, 3515
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	289_1	 	1348	1347_7	1078_14, 2776_10, 782_8	1346	1854_21, 1860_21	648_23	1349_26, 2700_25	 	1861, 3453
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	2081_1	 	4292	4293_7	1472_10, 2496_8, 527_14	4294	2679_21, 2685_21	65_23	1548_25, 4291_26	 	232, 2686
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	567_1	 	1768	1769_7	2096_14, 2480_10, 2999_8	1770	736_21, 742_21	64_23	1767_26, 2405_25	 	2651, 735
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	2050_1	 	264	263_7	3810_8, 4642_10, 465_14	262	3363_21, 3369_21	1730_23	265_26, 4236_25	 	3087, 3370
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	834_1	 	141	140_7	1795_8, 2034_10, 3443_14	139	2533_21, 2539_21	1661_23	142_26, 2110_25	 	1170, 2532
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	391_1	 	1899	1898_7	2429, 3744_14, 4738_10	1897	1032_21, 1038_21	3951_23	1900_26, 457_25	 	1031, 3417
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	4062_1	 	4847	4846_7	1515_14, 2850_10, 3489	4845	399_21, 405_21	3745_23	2923_25, 4848_26	 	398, 763
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	3619_1	 	4505	4506_7	1544_10, 3323, 4287_14	4507	267_21, 273_21	3777_23	2574_25, 4504_26	 	266, 953
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	1951_1	 	2587	2586_7	3861_10, 4470, 904_14	2585	4100_21, 4106_21	2271_23	2588_26, 3939_25	 	1231, 4107
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	2524_1	 	4108	4107_7	2742_14, 3285, 876_10	4106	1718_21, 1724_21	2202_23	4109_26, 962_25	 	1717, 703
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	1877_1	 	4543	4542_7	2551_8, 470_10, 4937_14	4541	2275_21, 2281_21	1511_23	392_25, 4544_26	 	2274, 645
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	771_1	 	169	170_7	1470_10, 1730_8, 357_14	171	3817_21, 3823_21	453_23	168_26, 2114_25	 	1155, 3824
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	2548_1	 	1906	1907_7	1153_10, 2082_14, 4083_8	1908	1690_21, 1696_21	2215_23	1905_26, 87_25	 	1689, 980
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	1920_1	 	3616	3617_7	2144_14, 2236_10, 4575	3618	1021_21, 1027_21	867_23	1649_25, 3615_26	 	1020, 21
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	3267_1	 	4445	4444_7	1525_10, 3048_14, 3759	4443	4776_21, 4782_21	3580_23	1447_25, 4446_26	 	1696, 4775
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	1209_1	 	4336	4335_7	1422_14, 2442_8, 754_10	4334	1905_21, 1910_21	899_23	4095_25, 4337_26	 	1911, 577
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	1669_1	 	4149	4148_7	1449_14, 2889, 786_10	4147	2328_21, 2334_21	1984_23	4150_26, 862_25	 	2327, 615
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	3012_1	 	4179	4178_7	1618_10, 2797_14, 3507_8	4177_17	4485_21, 4490_21	3328_23	1701_25, 4180_26	 	1454, 4484
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	3045_1	 	4217	4216_7	1645_10, 2829_14, 3544_8	4215_17	4526_21, 4532_21	3366_23	1728_25, 4218_26	 	1475, 4525
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	3035_1	 	4211	4210_7	1643_10, 2821_14, 3533_8	4209_17	4522_21, 4527_21	3355_23	1725_25, 4212_26	 	1475, 4521
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	2978_1	 	4152	4151_7	1580_10, 2759_14, 3478_8	4149_17, 4150_17	4459_21, 4465_21	3300_23	1663_25, 4153_26	 	1411, 4458
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	2974_1	 	4183	4182_7	1571_10, 2754_14, 3470_8	4181_17	4486_21, 4492_21	3294_23	1654_25, 4184_26	 	1403, 4485
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	2973_1	 	4187	4186_7	1583_10, 2753_14, 3470_8	4185_17	4489_21, 4495_21	3294_23	1664_25, 4188_26	 	1413, 4488
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	2948_1	 	4156	4155_7	1595_10, 2726_14, 3451_8	4154_17	4461_21, 4467_21	3274_23	1676_25, 4157_26	 	1422, 4460
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	3007_1	 	4137_5	4136_7	1676_10, 2806_14, 3491_8	4134_17	4546_21, 4550_21	3315_23	1850_25, 4138_26	 	1500, 4545
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	3114_1	 	4293	4292_7	2500_10, 2899, 3592	4290_17	4632_21, 4636_21	3420_23	2586_25, 4294_26	 	2315, 4631
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	1672_1	 	769	770_7	2118_14, 3317_10, 3818_8	771	429_21, 435_21	731_23	2009_25, 768_26	 	2090, 428
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	700_1	 	529	528_7	1651_14, 3402_8, 3773_10	527	1262_21, 1268_21	4520_23	3863_25, 530_26	 	1269, 245
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	3459_1	 	4626	4625_7	1802_10, 3247_14, 3956	4624	336_21, 342_21	3778_23	1653_25, 4627_26	 	1975, 335
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	3160_1	 	4285	4284_7	1472_10, 2955, 3646	4283	4649_21, 4650_21, 4654_21	3469_23	1384_25, 4286_26	 	1650, 4648
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	3176_1	 	4305	4304_7	1478_10, 2970, 3663	4303	4672_21, 4673_21, 4678_21	3487_23	1390_25, 4306_26	 	1655, 4671
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	2819_1	 	18	17_7	2025_10, 2646_8, 3149_14	16_17	3632_21, 3638_21	4200_23	19_26, 1945_25	 	3639, 828
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	3403_1	 	1426	1425_7	1265_10, 1457, 3620_14	1424	4432_21, 4438_21	3088_23	1427_26, 4103_25	 	1910, 4431
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	285_1	 	2916	2915_7	1460_10, 4306_8, 62_14	2914	1181_21, 1185_21	619_23	1538_25, 2917_26	 	1180, 2342
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	3630_1	 	3933	3934_7	1985_14, 201, 802_10	3935	2715_21, 2721_21	611_23	3932_26, 726_25	 	2123, 2714
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	452_1	 	1905	1906_7	1327, 2748_10, 3215	1907	91_21, 97_21	1686_23	1904_26, 2979_25	 	710, 98
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	2592_1	 	3774	3775_7	1552, 3189_10, 4277	3776	4772_21, 4778_21	2766_23	3773_26, 936_25	 	4453, 4779
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	3185_1	 	3826	3827_7	1823_10, 2964, 4423	3828_17	4911_21, 4916_21	3532_23	1277_25, 3825_26	 	1656, 4910
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	5047_1	 	5196	5195_7	1259_8, 1260_8, 4753_10, 973	5194	1045_21, 1046_21, 1052_21	2177_23	3661_25, 5197_26	 	1043, 1044, 1318
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	3103_1	 	3729	3730_7	1290_10, 2872, 4325	3731	4811_21, 4817_21	3441_23	1820_25, 3728_26	 	1453, 4810
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	4471_1	 	2768	2767_7	4825, 818_10, 879	2766	2981_21, 2987_21	207_23	2715_25, 2769_26	 	2988, 3806
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	3146_1	 	3782	3783_7	1304_10, 2924, 4374	3784	4857_21, 4863_21	3487_23	1851_25, 3781_26	 	1472, 4856
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	3091_1	 	3721	3722_7	1282_10, 2866, 4326	3723	4809_21, 4816_21	3429_23	1816_25, 3720_26	 	1446, 4808
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	3208_1	 	4387	4386_7	1341_10, 2994, 3708_8	4385	4745_21, 4751_21	3533_23	1262_25, 4388_26	 	1517, 4744
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	3144_1	 	4360	4359_7	1373_10, 2930, 3683	4358	4715_21, 4720_21	3506_23	1292_25, 4361_26	 	1549, 4714
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	3166_1	 	4344	4343_7	1385_10, 2947, 3665	4342	4698_21, 4704_21	3488_23	1303_25, 4345_26	 	1560, 4697
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	3326_1	 	4500	4499_7	1531_10, 3111, 3822_8	4498	4854_21, 4859_21	3645_23	1380_25, 4501_26	 	1706, 4853
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	3310_1	 	4531	4530_7	1385_10, 3089, 3824_8	4529	4897_21, 4903_21	3641_23	1299_25, 4532_26	 	1563, 4896
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	2959_1	 	4217	4216_7	1133_10, 2740, 3467	4215	4544_21, 4550_21	3287_23	1053_25, 4218_26	 	1306, 4543
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	3030_1	 	4197	4196_7	1325_10, 2814, 3527_8	4195	4551_21, 4557_21	3353_23	1245_25, 4198_26	 	1500, 4550
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	2984_1	 	4145	4144_7	1262_10, 2769, 3486_8	4143	4499_21, 4500_21, 4505_21	3313_23	1182_25, 4146_26	 	1437, 4498
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	3128_1	 	4227	4226_7	1362_10, 2913, 3542_8	4225	4584_21, 4589_21	3458_23	1283_25, 4228_26	 	4583, 4887
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	3082_1	 	4260	4259_7	1286_10, 2867, 3581_8	4258	4615_21, 4621_21	3408_23	1207_25, 4261_26	 	1458, 4614
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	3059_1	 	4245	4244_7	1318_10, 2839, 3561_8	4243	4603_21, 4608_21	3389_23	1238_25, 4246_26	 	1493, 4602
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	2931_1	 	4116	4115_7	1224_10, 2716, 3429_8	4114	4470_21, 4476_21	3254_23	1145_25, 4117_26	 	1399, 4469
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	3004_1	 	4178	4177_7	1226_10, 2791, 3526_8	4176	4535_21, 4540_21	4847_23	1147_25, 4179_26	 	1401, 4534
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	3051_1	 	4246	4245_7	1347_10, 2834, 3555_8	4244	4599_21, 4603_21	3382_23	1268_25, 4247_26	 	1521, 4598
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	2925_1	 	4007	4006_7	1211_10, 2711, 3327_8	4005	4364_21, 4369_21	3253_23	1132_25, 4008_26	 	4363, 4812
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	3164_1	 	4432	4431_7	1372_10, 2947, 3667	4430	4778_21, 4784_21	3489_23	1297_25, 4433_26	 	1543, 4777
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	3193_1	 	4382	4381_7	2970, 3702, 609_10	4380	4741_21, 4747_21	3522_23	4383_26, 530_25	 	4740, 783
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	3120_1	 	4295	4294_7	1329_10, 2905, 3619	4293	4649_21, 4655_21	3441_23	1251_25, 4296_26	 	1503, 4648
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	1961_1	 	782	783_7	1467, 2185_14, 3728_10	784	430_21, 435_21	1644_23	3805_25, 781_26	 	3496, 436
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	3160_1	 	4288	4287_7	1958_10, 2936, 4313_8	4286	4672_21, 4678_21	3492_23	2071_25, 4289_26	 	1785, 4671
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	2855_1	 	3889_5	3888_7	1159_10, 2646_14, 3427_8	3887_17	4196_21, 4200_21	3217_23	1101_25, 3890_26	 	1365, 4195
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	2947_1	 	4078_5	4077_7	1204_10, 2755_14, 3443_8	4076_17	4399_21, 4403_21	3276_23	1104_25, 4079_26	 	1371, 4398
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	3262_1	 	2040_5	2041_7	2666_8, 3468_14, 4957_10	2042_17	1691_21, 1695_21	2846_23	189_25, 2039_26	 	1696, 4796
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	2743_1	 	3918	3917_7	1461_10, 3360_8, 480_14	3916_17	3691_21, 3723_21	3335_23	1466_25, 3919_26	 	2317, 3690
Shigella dysenteriae CDC 74-1112 (941429.3)	1118_1	 	4491	4492_7	1334_8, 3938_10, 3939_10, 701_14	4493_17, 4494_17	440_21	2011_23	1901_25, 4490_26	 	3386
Shigella dysenteriae 155-74 (766142.3)	3304_1	 	4440_5	4439_7	3092_14, 3976_10, 4057, 510_14	4438_17	5252_21	3714_23	2061_25, 3245_25, 4441_26	 	3382, 3384, 391
Shigella dysenteriae 1617 (754093.3)	1724_1	 	364_5	365_7	2311, 2977_14, 2978, 5185_14, 5757_10, 5761_10, 5762_10	366	632_21	2128_23	363_26, 5074_25	 	5726
Shigella dysenteriae 225-75 (766143.3)	3615_1	 	4364_5	4363_7	1755_14, 2127_10, 4117_8	4362_17	4863_21	3995_23	2254_25, 4365_26	 	1873
Shigella dysenteriae Sd197 (300267.13)	3640_1	 	4483	4482_7	1828_10, 1829_10, 1832_10, 2341, 3426, 3427, 4176	4481	5038_21	4004_23	2434_25, 4484_26	 	1857
Shigella flexneri CDC 796-83 (945360.3)	2528_1	 	5029	5028_7	104_14, 3604_10, 3698_8, 872_14, 873_14	5027_17	5042_21	1114_23	3427_25, 5030_26	 	2985
Shigella flexneri 1485-80 (766155.3)	3261_1	 	4087	4088_7	1481_14, 1729_10, 3684_14, 3685_14, 4779_8	4089_17	4964_21	3749_23	1301_25, 4086_26	 	1932
Shigella flexneri 2002017 (591020.3)	3359_1	 	4719	4718_7	1585, 1798_10, 1799_10, 3197_14, 3198, 3964	4717	4966_21	3795_23	1407_25, 4720_26	 	1968
Shigella flexneri 2747-71 (766157.3)	3329_1	 	4042	4043_7	1612, 1771_10, 1772_10, 3166_14, 3167, 4790	4044	4911_21	3717_23	1439_25, 4041_26	 	2019
Shigella flexneri 2850-71 (766158.3)	3090_1	 	4041_5	4042_7	1515_14, 1739_10, 1740_10, 4754	4043_17	4830_21	3686_23	1329_25, 4040_26	 	1899, 586
Shigella flexneri 2930-71 (766159.3)	3291_1	 	3988	3989_7	1579, 1741_10, 1742_10, 3131_14, 3132, 4708	3990	4782_21	3705_23	1409_25, 3987_26	 	1917
Shigella flexneri 2a str. 2457T (198215.9)	3356_1	 	2668	2667_7	2088, 2292_10, 2293_10, 3198_14, 3199, 4200	2666	5195_21	2955_23	1021_25, 2669_26	 	2459
Shigella flexneri 2a str. 301 (198214.7)	3367_1	 	4758	4757_7	1533_14, 1743_10, 1744_10, 3201_14, 3202, 3988	4756	4995_21	3812_23	1351_25, 4759_26	 	1920
Shigella flexneri 4343-70 (766160.3)	2978_1	 	3587	3588_7	105_10, 106_10, 1623, 2819_14, 4340	3589	4460_21	3337_23	1452_25, 3586_26	 	1838
Shigella flexneri 5 str. 8401 (373384.11)	3314_1	 	4581_5	4580_7	1511_14, 1698_10, 1699_10, 3254_14, 3834	4579_17	4816_21	3666_23	1341_25, 4582_26	 	1872
Shigella flexneri 5a str. M90T (1086030.3)	3152_1	 	4357_5	4356_7	1442_14, 1610_10, 1611_10, 3094_14, 3643	4355_17	4576_21	3483_23	1279_25, 4358_26	 	1771
Shigella flexneri 6603-63 (766161.3)	3352_1	 	3977	3978_7	1595, 1837_10, 1838_10, 3191_14, 4751	3979	4862_21	3748_23	1420_25, 3976_26	 	2008
Shigella flexneri CCH060 (754091.3)	3520_1	 	4122	4123_7	1498_14, 1730_10, 3354_14, 3355_14, 4807_8	4124_17	4881_21	3755_23	1263_25, 4121_26	 	1949
Shigella flexneri J1713 (754092.3)	3239_1	 	3827_5	3828_7	1442_14, 1785_10, 1786_10, 4547	3829_17	4886_21	3638_23	1260_25, 3826_26	 	1951, 647
Shigella flexneri K-218 (766146.3)	3898_1	 	4561	4562_7	2084, 2402_10, 2403_10, 3726_14, 5359	4563	121_21	4275_23	1915_25, 4560_26	 	2581
Shigella flexneri K-227 (766147.3)	3403_1	 	4051_5	4052_7	1475_14, 1797_10, 1798_10	4053_17	5092_21	3773_23	1295_25, 4050_26	 	1974, 373
Shigella flexneri K-272 (766148.3)	3409_1	 	4225_5	4226_7	1922_14, 2154_10, 2155_10	4227_17	205_21	3968_23	1684_25, 4224_26	 	2293, 952
Shigella flexneri K-304 (766149.3)	3571_1	 	4287_5	4288_7	1744_14, 2043_10, 2044_10, 3403_14, 3404, 5037	4289	5176_21	3970_23	1567_25, 4286_26	 	2210
Shigella flexneri K-315 (766150.3)	3644_1	 	3906_5, 3907_5	3908_7	1389_14, 1633_10, 4587_8	3909_17	4813_21	3167_23	2367_25, 3905_26	 	1825
Shigella flexneri VA-6 (766145.3)	3695_1	 	4301	4302_7	2150_14, 2396_10, 2397_10, 5035_8	4303_17	71_21	4077_23	1698_25, 4300_26	 	1993
Shigella sonnei 3233-85 (766163.3)	3331_1	 	4584_5	4583_7	1494_10, 2025_14, 2026_14, 3153_14, 3875_8	4582_17	4863_21	3709_23	1214_25, 4585_26	 	1712, 693
Shigella sonnei 4822-66 (766164.3)	3063_1	 	4307_5	4306_7	1475_10, 1930_14, 1931_14, 2880_14, 3616_8	4305_17	1645_21	3445_23	1225_25, 4308_26	 	1625, 722
Shigella sonnei Ss046 (300269.12)	3544_1	 	4906_5	4905_7	1684_10, 2217_14, 2218_14, 3353_14, 4124_8	4904_17	5260_21	3947_23	1355_25, 4907_26	 	1852, 738
Shigella sonnei str. Moseley (754077.4)	3738_1	 	5106_5	5105_7	1799_10, 2390_14, 2391_14, 3519_14, 4308_8	5104_17	5500_21	4137_23	1474_25, 5107_26	 	2029, 868
Yersinia bercovieri ATCC 43970 (349968.5)	1266_1	 	3380_5	3382_7	654_8, 766_10	3383_17	1011_21	1865_23	1346_25, 3379_26	 	146, 263, 3483
Yersinia enterocolitica IP 10393 (1243181.3)	3890_1	 	3984	3983_7	1354_8, 1536_10	3982_17	4271_21	2325_23	2190_25, 3986_26	 	1760, 2146, 3567
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	3517_1	 	211	210_7	2620_10, 4210	209	589_21	2846_23	1866_25, 212_26	 	1902, 2244, 3744, 625
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	2725_1	 	3945	3946_7	1143_10, 3362	3947_17	3696_21	929_23	1836_25, 3944_26	 	1455, 1803, 2867, 3654
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	1004_1	 	124	123_7	1988_10, 3991_8	122_17	531_21	1708_23	125_26, 2663_25	 	2259, 2617, 569
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	1697_1	 	956	955_7	1032_8, 3029_10	954_17	1319_21	3319_23	2554_25, 957_26	 	1358, 2277, 2601
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	1922_1	 	48	49_7	2098_8, 993_10	50_17	1541_21	2839_23	2693_25, 47_26	 	1576, 1577, 2650, 3491
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	4063_1	 	2865	2866_7	1437_8, 1943_10	2867_17	2_21	3639_23	2864_26, 740_25	 	1183, 1832, 784
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	4057_1	 	2795	2796_7	1217_10, 3239_8, 3240_8	2797_17	3710_21	1548_23	2793_26, 560_25	 	3748, 604, 896
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	4071_1	 	2782	2783_7	1247_10, 3232_8	2784_17	3712_21	1544_23	2780_26, 574_25	 	3753, 618, 920
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	4080_1	 	2789	2790_7	1248_10, 3239_8	2791_17	3718_21	1548_23	2787_26, 571_25	 	3759, 615, 922
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	4066_1	 	2781	2782_7	1242_10, 3227_8	2783_17	3708_21	1542_23	2779_26, 568_25	 	3748, 612, 915
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	4059_1	 	2766	2767_7	1239_10, 3214_8	2768_17	3697_21	1524_23	2764_26, 568_25	 	3737, 612, 915
Yersinia frederiksenii ATCC 33641 (349966.5)	670_1	 	3130_5	3129_7	2426_8, 399_10	3128_17	1070_21	2982_23	2580_25, 3131_26	 	2551, 3576, 3893
Yersinia kristensenii ATCC 33638 (527012.3)	3083_1	 	3588_5	3587_7	2077_10, 2837_8	3586_17	820_21	148_23, 415_23	1255_25, 3589_26	 	1295, 1612, 884, 885
Yersinia pseudotuberculosis B-6863 (1286086.3)	375_1	 	1236	1235_7	3564_10, 754_14, 923_8	1234_17	3958_21	797_23	1237_26, 2187_25	 	1940
Yersinia pseudotuberculosis B-7194 (1324608.3)	1916_1	 	1017	1016_7	2181_14, 3027_10, 3534_8	1015_17	1126_21	15_23	1018_26, 2396_25	 	3491
Yersinia pseudotuberculosis B-7195 (1324587.3)	2515_1	 	445	444_7	1007_8, 2452_14, 2778_10	443_17	3920_21	4129_23	3942_25, 446_26	 	1051
Yersinia pseudotuberculosis IP 31758 (349747.9)	1289_1	 	349	348_7	1530_14, 2511_10, 4492_8	347_17	4061_21	2822_23	1964_25, 350_26	 	2204
Yersinia pseudotuberculosis IP 32953 (273123.10)	3663_1	 	262	261_7	2414_10, 3420_14, 4470	260_17	727_21	1965_23	263_26, 2968_25	 	2731
Yersinia pseudotuberculosis PB1/+ (502801.6)	3422_1	 	128	127_7	2170_10, 3174_14, 4248	126_17	586_21	1827_23	129_26, 2727_25	 	2493
Yersinia pseudotuberculosis YPIII (502800.6)	1120_1	 	4414	4415_7	1419_14, 2407_10, 262_8	4416_17	3989_21	2703_23	1857_25, 4413_26	 	2092
Yersinia rohdei ATCC 43380 (527004.3)	2234_1	 	1603_5	1602_7	1864_8, 2294_10	1601_17	875_21	727_23	1604_26, 335_25	 	301, 3622, 45
Yokenella regensburgei ATCC 43003 (1002368.3)	1831_1	 	1201_5	1202_7	1017_14, 2863_10, 940_8	1203_17	322_21, 327_21	1508_23	1200_26, 2792_25	 	321, 3298
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	1583_1	 	4121_5	4120_7	1745_14, 3715_8, 549_14	4119_17	3534_21	4122_23	1965_25, 4123_26	 	1843, 1845, 2123
Actinobacillus pleuropneumoniae L20 (416269.6)	732_1	 	248_5	247_7	249	1133	1374_21	435_23	1231_26, 862_25	 	1130, 1131
Actinobacillus pleuropneumoniae S8 (1224142.3)	239_1	 	1768_5	1767_7	1769_8	1124	1999_21	615_23	1542_26, 95_25	 	1121, 1122
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	728_1	 	275_5	274_7	276_8	1144	1389_21	479_23	1243_26, 883_25	 	1140, 1141, 1142
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	768_1	 	267_5	266_7	268_8	1218	1456_21	467_23	1315_26, 900_25	 	1214, 1215
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	725_1	 	276_5	275_7	277_8	1132_17	1368_21	472_23	1231_26, 870_25	 	1128, 1129, 1130
